
[00:00:00.000 --> 00:00:01.640]  鐵聰姐妹平安
[00:00:01.640 --> 00:00:03.680]  弟兄姊妹平安
[00:00:03.680 --> 00:00:05.400]  我很喜歡故事
[00:00:05.400 --> 00:00:08.240]  聽故事 講故事 創造故事
[00:00:08.240 --> 00:00:10.720]  我很喜歡故事和聽故事
[00:00:10.720 --> 00:00:13.680]  講故事也都去創造一些故事
[00:00:13.680 --> 00:00:16.360]  今天我要與大家一起分享
[00:00:16.360 --> 00:00:17.720]  一個小故事
[00:00:17.720 --> 00:00:21.000]  今天我又和大家分享一個小故事
[00:00:21.000 --> 00:00:22.800]  有一個人在曠野行走
[00:00:22.800 --> 00:00:24.280]  迷失了方向
[00:00:24.280 --> 00:00:26.520]  有一個人在曠野那裡行走
[00:00:26.520 --> 00:00:28.920]  他就迷失了路了
[00:00:28.920 --> 00:00:31.120]  找不到出路
[00:00:31.120 --> 00:00:33.960]  他不知道哪裡才可以走出去
[00:00:33.960 --> 00:00:36.400]  突然間見到另外一個人
[00:00:36.400 --> 00:00:39.240]  他突然間就見到有另一個人在那裡
[00:00:39.240 --> 00:00:40.360]  他就很開心
[00:00:40.360 --> 00:00:42.240]  快跑上去就問了
[00:00:42.240 --> 00:00:43.520]  他就很開心
[00:00:43.520 --> 00:00:45.760]  趕快跑上去見這個人
[00:00:45.760 --> 00:00:47.240]  他說 先生 我迷了路
[00:00:47.240 --> 00:00:50.280]  你可以告訴我怎麼走出這片曠野嗎
[00:00:50.280 --> 00:00:51.480]  他就問那個人
[00:00:51.480 --> 00:00:53.280]  他說 先生 我迷失了路
[00:00:53.280 --> 00:00:54.240]  你可不可以告訴我
[00:00:54.240 --> 00:00:56.480]  怎樣可以先走出這裏呢
[00:00:56.480 --> 00:00:57.680]  那個陌生人就說
[00:00:57.680 --> 00:00:59.880]  不行啊
[00:00:59.880 --> 00:01:01.120]  那個陌生人就說
[00:01:01.120 --> 00:01:04.240]  不行 我也不知道怎樣走出去
[00:01:04.240 --> 00:01:06.840]  我自己都不知道怎樣才走得出去
[00:01:06.840 --> 00:01:10.880]  但也許我們可以接班同行一起找出路
[00:01:10.880 --> 00:01:13.040]  但我們可以一起走的
[00:01:13.040 --> 00:01:15.440]  看看哪裡才可以出去
[00:01:15.440 --> 00:01:18.280]  這個就是今天我要講的好消息
[00:01:18.280 --> 00:01:21.520]  今天就是我要和大家講的好消息
[00:01:21.520 --> 00:01:23.520]  人生中有許多的艱難
[00:01:23.520 --> 00:01:26.520]  試探 引誘 或者是考驗
[00:01:26.520 --> 00:01:29.840]  人生其實會有很多的艱難
[00:01:29.840 --> 00:01:32.480]  試探 引誘和考驗的
[00:01:32.480 --> 00:01:34.360]  但是這些是必然的
[00:01:34.360 --> 00:01:36.280]  因為這些是必然的
[00:01:36.280 --> 00:01:38.840]  但要緊的就是有主統選
[00:01:38.840 --> 00:01:40.960]  願意走出這個困境
[00:01:40.960 --> 00:01:43.040]  但是最重要的是有主
[00:01:43.040 --> 00:01:44.280]  和我們一起行
[00:01:44.280 --> 00:01:46.520]  和我們一起走出困境
[00:01:46.520 --> 00:01:48.920]  其實耶穌從嬰孩時代
[00:01:48.920 --> 00:01:52.960]  已經開始遇到人生中的困難
[00:01:52.960 --> 00:01:56.120]  其實耶穌在祂小時候開始的時候
[00:01:56.120 --> 00:01:58.960]  就已經遇到人生中的艱難
[00:01:58.960 --> 00:02:01.360]  你看祂出生在馬槽裡面
[00:02:01.360 --> 00:02:03.600]  耶穌是出生在馬槽裡面的
[00:02:03.600 --> 00:02:06.040]  為了避開那個斯律王追殺
[00:02:06.040 --> 00:02:09.320]  就走到人生路不熟的地方來居住
[00:02:09.320 --> 00:02:12.240]  祂為了避開黑律王的追殺
[00:02:12.240 --> 00:02:15.920]  要去到人生路不熟的地方在那裡居住
[00:02:15.920 --> 00:02:19.240]  為了拯救人 進入苦難當中
[00:02:19.240 --> 00:02:21.080]  祂為了要拯救人類
[00:02:21.080 --> 00:02:22.880]  也都進入苦難中
