
[00:00:00.000 --> 00:00:03.000]  各位同學大家早安
[00:00:03.000 --> 00:00:05.260]  我們每一次能夠見面都是神的恩典
[00:00:05.260 --> 00:00:07.340]  是不是
[00:00:07.340 --> 00:00:09.260]  沒有被地震震到
[00:00:09.260 --> 00:00:10.560]  不是沒有被地震震到
[00:00:10.560 --> 00:00:13.000]  被震到但是沒有震死
[00:00:13.000 --> 00:00:13.900]  感謝詹美竹
[00:00:13.900 --> 00:00:16.260]  你們在蘭丸比較沒有那麼強烈的感覺
[00:00:16.260 --> 00:00:19.300]  我們在St. Gabriel很強烈的感覺
[00:00:19.300 --> 00:00:22.200]  真是感覺祖來的日子越來越近了
[00:00:22.200 --> 00:00:27.060]  所以什麼東西可以帶得走呢
[00:00:27.060 --> 00:00:29.360]  這是讓我們值得思想的
[00:00:29.360 --> 00:00:35.200]  這一段時間我們一直在看啟示錄
[00:00:35.200 --> 00:00:37.100]  我想這也是主的心意
[00:00:37.100 --> 00:00:39.640]  讓我們更明白主來的日子近了
[00:00:39.640 --> 00:00:41.200]  主的心意是什麼
[00:00:41.200 --> 00:00:44.860]  在啟示錄裡面有很多的一些奧秘的事情
[00:00:44.860 --> 00:00:46.440]  也可以說是預言
[00:00:46.440 --> 00:00:50.600]  啟示錄第四章開始到二十二章
[00:00:50.600 --> 00:00:54.640]  有很多這些預言是還沒有成就的
[00:00:54.640 --> 00:00:58.000]  這些就是所謂關乎天上的事情
[00:00:58.000 --> 00:01:01.360]  也是關乎基督還有聖徒的啟示
[00:01:01.360 --> 00:01:05.200]  關乎未來的審判還有征戰
[00:01:05.200 --> 00:01:10.560]  那這些的奧秘必須要藉著第四章開始
[00:01:10.560 --> 00:01:15.860]  這一個寶座前的敬拜而啟示出來的
[00:01:15.860 --> 00:01:19.200]  在啟示錄裡面一共有七次的敬拜
[00:01:19.200 --> 00:01:22.400]  所以你可以看見敬拜是非常重要一件事情
[00:01:22.400 --> 00:01:27.040]  啟示錄單單啟示錄二十二章裡面就有七次的敬拜
[00:01:27.040 --> 00:01:28.840]  所以我們的敬拜很重要
[00:01:28.840 --> 00:01:31.040]  所以今天早上的敬拜感謝三位美主
[00:01:31.040 --> 00:01:34.860]  Amen
[00:01:34.860 --> 00:01:35.560]  兄姊妹
[00:01:35.560 --> 00:01:39.040]  雖然你在家中可能別人都看不到
[00:01:39.040 --> 00:01:41.960]  也許別人也不知道
[00:01:41.960 --> 00:01:43.740]  也許你就躺在床上
[00:01:43.740 --> 00:01:45.240]  但是我真是告訴你
[00:01:45.240 --> 00:01:47.940]  有一天如果你在地上不會敬拜
[00:01:47.940 --> 00:01:50.400]  你到天上你會失業的
[00:01:50.400 --> 00:01:52.240]  你在地上不懂得敬拜
