
[00:00:00.000 --> 00:00:04.440]  今年我們是跟大家一起思想生命記
[00:00:04.440 --> 00:00:09.400]  做一次透過摩西在生命記裏面
[00:00:09.400 --> 00:00:14.680]  向新生一代提醒他們神話語的重要
[00:00:14.680 --> 00:00:21.000]  做一次認真的提醒神頒布的誡命律例是甚麼
[00:00:21.000 --> 00:00:23.800]  好讓他們能夠長久的遵守
[00:00:23.800 --> 00:00:25.800]  不要像上一代一樣
[00:00:25.800 --> 00:00:31.320]  在這個抗疫的地方裏面向上得罪神
[00:00:31.320 --> 00:00:33.920]  所以求主來幫助我們在不同的年代
[00:00:33.920 --> 00:00:35.920]  新的年代開始的時候
[00:00:35.920 --> 00:00:39.320]  我們都來確切的相信
[00:00:39.320 --> 00:00:42.120]  神是我們的神
[00:00:42.120 --> 00:00:44.520]  是我們個人的救主
[00:00:44.520 --> 00:00:46.520]  我們願意來追隨祂
[00:00:46.520 --> 00:00:48.200]  願意來愛祂
[00:00:48.200 --> 00:00:50.800]  所以我跟大家來思想的一個主題
[00:00:50.800 --> 00:00:51.800]  好像很簡單
[00:00:51.800 --> 00:00:54.120]  怎樣去愛我們的神
[00:00:54.120 --> 00:00:57.800]  正正就是在十誡裏面給我們一個很寶貴的提醒
[00:00:57.800 --> 00:01:02.600]  就是我們怎樣來在當中按著神教導我們
[00:01:02.600 --> 00:01:05.800]  去愛祂、愛人的方式
[00:01:05.800 --> 00:01:10.400]  來建立我們與神之間、與人之間的關係
[00:01:10.400 --> 00:01:14.600]  生命記是摩西來向新生的一代
[00:01:14.600 --> 00:01:18.600]  知道神要使用他們來準備進入一個艱難地
[00:01:18.600 --> 00:01:23.800]  所以重複的是在當中將神的誡命律例典章
[00:01:23.800 --> 00:01:27.200]  來去教導這班新的以色列民
[00:01:27.200 --> 00:01:30.800]  盼望他們去填守神自己的說話
[00:01:30.800 --> 00:01:34.800]  無論怎樣我相信摩西是帶著一個極大的盼望
[00:01:34.800 --> 00:01:39.200]  這班新生的一代能夠進入這個艱難地當中
[00:01:39.200 --> 00:01:41.600]  去領受神的應許
[00:01:41.600 --> 00:01:43.200]  所以求主來幫助我們
[00:01:43.200 --> 00:01:47.200]  當我們一起有機會來去欣賞生命記的時候
[00:01:47.200 --> 00:01:50.800]  我們看到摩西的那種心情
[00:01:50.800 --> 00:01:55.000]  看到神對他自己百姓的那種愛護
[00:01:55.000 --> 00:01:58.000]  怎樣來輔助他們、引大他們
[00:01:58.000 --> 00:01:59.400]  希望我們教會也是一樣
[00:01:59.400 --> 00:02:01.600]  我們在這個新的年代裏面
[00:02:01.600 --> 00:02:05.400]  我們要面對建堂、面對其他各樣的工作的時候
[00:02:05.400 --> 00:02:07.800]  我們相信最核心的就是
[00:02:07.800 --> 00:02:11.400]  我們怎樣去愛我們自己的神
[00:02:11.400 --> 00:02:13.400]  在以色列有一個很重要的經文
[00:02:13.400 --> 00:02:17.800]  就是生命記第六章第四節到第五節一起讀
[00:02:17.800 --> 00:02:22.800]  「以色列人你要聽」「我們神是獨一的主」
[00:02:22.800 --> 00:02:28.400]  「你要盡心盡性盡義盡主你的神」
