
[00:00:00.000 --> 00:00:03.240]  不知道大家今早吃過早餐沒有?
[00:00:03.240 --> 00:00:05.080]  我相信應該都吃過了
[00:00:05.080 --> 00:00:07.320]  吃了什麼早餐呢?
[00:00:07.320 --> 00:00:10.040]  是一個比較健康的早餐
[00:00:10.040 --> 00:00:13.040]  還是一個比較邪惡的早餐呢?
[00:00:13.040 --> 00:00:17.360]  或者你喜歡吃哪一類的早餐呢?
[00:00:17.360 --> 00:00:21.880]  我大概兩年多前做身體檢查
[00:00:21.880 --> 00:00:24.120]  因為年紀的關係
[00:00:24.120 --> 00:00:29.480]  醫生告訴我我有膽固醇高
[00:00:29.480 --> 00:00:32.640]  應該都是一個很普遍的情況
[00:00:32.640 --> 00:00:35.880]  也告訴我我是過重
[00:00:35.880 --> 00:00:39.320]  我的體重是超了磅的
[00:00:39.320 --> 00:00:45.320]  他提醒我必須在飲食方面要節制
[00:00:45.320 --> 00:00:48.720]  要好好控制自己的飲食
[00:00:48.720 --> 00:00:52.240]  大家可能看不出其實我是超重的
[00:00:52.240 --> 00:00:56.840]  特別是在被隱藏的中部的部分
[00:00:56.840 --> 00:00:59.480]  我是過重的
[00:00:59.480 --> 00:01:02.680]  於是為了解決這個問題
[00:01:02.680 --> 00:01:06.200]  所以當時太太指導、監督
[00:01:06.200 --> 00:01:10.600]  一定不讓我吃一些我平時很喜歡吃的東西
[00:01:10.600 --> 00:01:12.760]  要多吃一些我不喜歡吃
[00:01:12.760 --> 00:01:15.960]  但是健康的一些東西
[00:01:15.960 --> 00:01:22.160]  吃飯差不多減少了我每一餐吃飯的份量
[00:01:22.160 --> 00:01:24.760]  所謂飯是指白飯
[00:01:24.760 --> 00:01:27.840]  以前可能我每一餐是吃一、兩碗飯
[00:01:27.840 --> 00:01:32.400]  於是我就變成每一餐只吃半碗飯
[00:01:32.400 --> 00:01:34.160]  盡量多做一些運動
[00:01:34.160 --> 00:01:35.520]  這個都是盡量
[00:01:35.520 --> 00:01:39.520]  都是比較難去堅持到
[00:01:39.520 --> 00:01:42.080]  在一個這樣的情況後
[00:01:42.080 --> 00:01:46.680]  經過了差不多一年的努力之後再去驗血
[00:01:46.680 --> 00:01:49.760]  膽固醇的情況就好轉了
[00:01:49.760 --> 00:01:52.200]  回到一個比較正常的水平
[00:01:52.200 --> 00:01:56.480]  而體創也是減了磅
[00:01:56.480 --> 00:01:59.320]  有些人還以為是否因為我工作壓力
[00:01:59.320 --> 00:02:01.840]  所以人變瘦了
[00:02:01.840 --> 00:02:07.040]  其實是因為在飲食上要去節制
[00:02:07.040 --> 00:02:11.400]  回顧那段日子其實飲食真的很節制
