
[00:00:00.000 --> 00:00:04.200]  好,今天我們繼續講《仕途行傳》第八章
[00:00:04.200 --> 00:00:08.300]  《仕途行傳》有一節聖經是你應該會背的
[00:00:08.300 --> 00:00:10.300]  是哪一節?
[00:00:10.300 --> 00:00:13.900]  《仕途行傳》,哪一節聖經?你覺得是最重要的
[00:00:13.900 --> 00:00:17.300]  什麼都不記得不要緊,記得這一節就已經很好了
[00:00:17.300 --> 00:00:18.500]  是哪一節?
[00:00:18.500 --> 00:00:21.000]  一章,第八節是吧?
[00:00:21.000 --> 00:00:22.500]  有誰會背的?
[00:00:22.500 --> 00:00:28.300]  不是吧?我們不是這麼斯文是吧?
[00:00:29.300 --> 00:00:32.300]  好,如果你不會背不要緊,你可以打開聖經
[00:00:32.300 --> 00:00:36.300]  其實我想每一次講《仕途行傳》都看一次這節聖經
[00:00:36.300 --> 00:00:37.300]  因為它真的很重要
[00:00:37.300 --> 00:00:42.300]  好,請你打開,如果你不會背,打開《仕途行傳》一章第八節
[00:00:42.300 --> 00:00:44.300]  會背的就背一次吧
[00:00:44.300 --> 00:00:47.300]  我們不要靠螢幕
[00:00:47.300 --> 00:00:55.300]  如果你不會背就打開這節聖經看看
[00:00:55.300 --> 00:00:57.300]  一章第八節,請
[00:00:57.300 --> 00:01:11.300]  「但聖靈降臨在你們身上,你們就必得著能力,並要在耶路撒冷,猶太傳遞和撒瑪利亞直到地極,作我的見證」
[00:01:11.300 --> 00:01:13.300]  好,給你隔壁一個
[00:01:13.300 --> 00:01:17.300]  我看到很多人真的會的,有些人都很忠心地讀的
[00:01:17.300 --> 00:01:23.300]  如果你不會的話,我想過了這一季之後應該都會背的了,這一節我相信
[00:01:23.300 --> 00:01:28.300]  《仕途行傳》其實我已經講過了,不過我想重申一次
[00:01:28.300 --> 00:01:31.300]  《仕途行傳》不是講教會的發展
[00:01:31.300 --> 00:01:34.300]  《仕途行傳》是講神國的發展
[00:01:34.300 --> 00:01:36.300]  是有些不同的
[00:01:36.300 --> 00:01:42.300]  是在講神的國,神的主權,神的恩典,神的能力
[00:01:42.300 --> 00:01:46.300]  在耶路撒冷開始,靠著聖靈的加力
[00:01:46.300 --> 00:01:53.300]  仕途為耶穌作見證,一路由這個中心點,一路向外推出去
[00:01:53.300 --> 00:01:56.300]  去到不同的領域裏面
[00:01:56.300 --> 00:02:00.300]  今天我想跟大家講的經文,第八章,四至二十五節
[00:02:00.300 --> 00:02:03.300]  真是一個擴展的一步,這一步很重要的
[00:02:03.300 --> 00:02:07.300]  因為前面那七章,《仕途行傳》裏面記載
