
[00:00:00.000 --> 00:00:02.000]  大英哲會 晚安
[00:00:02.000 --> 00:00:05.000]  我們先一起祈禱
[00:00:05.000 --> 00:00:12.000]  掌管著時間和歷史的神
[00:00:12.000 --> 00:00:17.000]  多謝祢願意將我們納入祢的故事裏面
[00:00:17.000 --> 00:00:20.000]  祢不但願意稱我們為兒女
[00:00:20.000 --> 00:00:24.000]  更願意用我們這群不完美的人
[00:00:24.000 --> 00:00:27.000]  在祢的故事裏面
[00:00:27.000 --> 00:00:29.000]  在祢的救贖工作裏面
[00:00:30.000 --> 00:00:33.000]  願祢在今天的訊息裏面
[00:00:33.000 --> 00:00:38.000]  讓我們一起去領受祢給我們的訊息
[00:00:38.000 --> 00:00:43.000]  讓我們更加去認識自己 認識神
[00:00:43.000 --> 00:00:46.000]  以致我們都可以憑信
[00:00:46.000 --> 00:00:48.000]  活在祢的故事裏面
[00:00:48.000 --> 00:00:51.000]  祈禱
[00:00:51.000 --> 00:00:59.000]  我前陣子去看了一套電影
[00:00:59.000 --> 00:01:04.000]  那套電影是所有人進去都會哭出來
[00:01:04.000 --> 00:01:07.000]  不知道大家有沒有看過一套這樣的電影
[00:01:07.000 --> 00:01:10.000]  因為看完之後覺得很感動
[00:01:10.000 --> 00:01:13.000]  我在裏面哭死了
[00:01:13.000 --> 00:01:18.000]  出來之後後勁未過
[00:01:18.000 --> 00:01:25.000]  所以不斷在社交媒體上看他們上載的花絮
[00:01:25.000 --> 00:01:29.000]  裏面有一些導演的訪問片段
[00:01:29.000 --> 00:01:34.000]  他講到有很多大家最終很深刻
[00:01:34.000 --> 00:01:37.000]  一說起就很想哭的一些畫面
[00:01:37.000 --> 00:01:40.000]  其實都是劇本沒有寫
[00:01:40.000 --> 00:01:46.000]  而是一班演員去揣摩和投入角色去發揮出來的
[00:01:46.000 --> 00:01:51.000]  那些演員會說如果是什麼什麼角色的話
[00:01:51.000 --> 00:01:55.000]  在這裏他們應該會這樣反應
[00:01:55.000 --> 00:02:00.000]  或者他們去描述那時怎樣出現這個畫面
[00:02:00.000 --> 00:02:02.000]  就是他們演戲的時候
[00:02:02.000 --> 00:02:04.000]  因為很投入角色當時的心境
[00:02:04.000 --> 00:02:09.000]  一些劇本沒有的對白他們就脫口而出
[00:02:09.000 --> 00:02:12.000]  看完之後
[00:02:12.000 --> 00:02:14.000]  看到一個好的劇本
[00:02:14.000 --> 00:02:19.000]  會在故事的發展裏面塑造一個立體的角色
[00:02:19.000 --> 00:02:25.000]  但往往他們不會將每一句說話和每一個表情寫上去
