
[00:00:00.000 --> 00:00:04.160]  今天的題目叫做「性靈女的新生命」
[00:00:04.160 --> 00:00:06.720]  上星期陳牧師分享過
[00:00:06.720 --> 00:00:10.560]  有些人移民前和移民後的生活
[00:00:10.560 --> 00:00:15.880]  今天我也分享以前我留學前和留學後的生活
[00:00:15.880 --> 00:00:20.280]  大家知道我中學時去了英國寄宿學校讀書
[00:00:20.280 --> 00:00:24.600]  去到英國時發現英國寄宿學校和香港有很多不同的地方
[00:00:24.600 --> 00:00:26.120]  特別當我去到學校後
[00:00:26.120 --> 00:00:28.720]  第一件事大開眼界的
[00:00:28.720 --> 00:00:33.960]  原來學校有很多個珍草的足球場
[00:00:33.960 --> 00:00:35.120]  我很喜歡足球
[00:00:35.120 --> 00:00:36.920]  我記得在香港讀書時
[00:00:36.920 --> 00:00:41.720]  要跟同學爭奪到學校後面有一個三角形的石屎地
[00:00:41.720 --> 00:00:43.920]  十多人在那裡
[00:00:43.920 --> 00:00:46.600]  一個很小的石屎地爭奪踢西瓜球
[00:00:46.600 --> 00:00:50.040]  但去到英國這麼漂亮的草地
[00:00:50.040 --> 00:00:52.880]  原來可以踢珍草的草地
[00:00:52.880 --> 00:00:55.720]  原來還要有正式的球衣
[00:00:55.720 --> 00:00:59.280]  還要帶護膝和護墊去踢
[00:00:59.280 --> 00:01:03.600]  環境改變,生活的模式也會改變
[00:01:03.600 --> 00:01:05.480]  以前是上體育課
[00:01:05.480 --> 00:01:06.800]  大家拿著西瓜球
[00:01:06.800 --> 00:01:08.600]  大家一起踢幾分鐘
[00:01:08.600 --> 00:01:11.000]  然後就要坐在一起,到其他人
[00:01:11.000 --> 00:01:15.000]  但原來去到英國不單止要踢
[00:01:15.000 --> 00:01:16.760]  還有要求
[00:01:16.760 --> 00:01:20.880]  原來我去到英國時有一本叫做「運動手冊」
[00:01:20.880 --> 00:01:26.040]  原來社監每星期要檢視你的運動手冊
[00:01:26.040 --> 00:01:28.000]  看你做得運動夠不夠
[00:01:28.000 --> 00:01:29.960]  於是我們要將運動手冊給社監
[00:01:29.960 --> 00:01:35.320]  社監就會說「余主任,你只踢了少許球」
[00:01:35.320 --> 00:01:36.960]  「其他沒有做運動」
[00:01:36.960 --> 00:01:39.480]  大家知道運動不是我的強項
[00:01:39.480 --> 00:01:40.520]  但他說「不行」
[00:01:40.520 --> 00:01:43.880]  「你最少要做一個星期七小時運動」
[00:01:43.880 --> 00:01:45.440]  「要寫下來」
[00:01:45.440 --> 00:01:51.120]  原來環境改變,我們的生活模式也會改變
[00:01:51.120 --> 00:01:52.960]  另外,我去到英國的學校
[00:01:52.960 --> 00:01:55.960]  希望我們適應英國的文化
[00:01:55.960 --> 00:02:00.520]  所以在第一年,我們有些運動是一定要參加的
[00:02:00.520 --> 00:02:03.640]  秋季的時候一定要踢足球
[00:02:03.640 --> 00:02:05.400]  那我很開心
[00:02:05.400 --> 00:02:09.960]  冬季的時候,我學校有一種很近似籃球的運動
[00:02:09.960 --> 00:02:11.440]  叫做「Winterster football」
[00:02:11.440 --> 00:02:12.720]  是他們自己創的
[00:02:12.720 --> 00:02:15.520]  「Winterster」是我以前讀書的學校名字
[00:02:15.520 --> 00:02:19.080]  到了夏天一定要學習打板球
[00:02:19.080 --> 00:02:20.320]  我不懂得打板球
[00:02:20.320 --> 00:02:23.520]  我只穿上那些衣服後,已經不太能走
[00:02:23.520 --> 00:02:25.720]  坐下來時,人們說「不要緊」
[00:02:25.720 --> 00:02:28.120]  「跟打棒球差不多」
[00:02:28.120 --> 00:02:30.720]  「但那些東西重很多」
[00:02:30.720 --> 00:02:34.080]  於是這個球很重,一飛過來會打傷,很痛
[00:02:34.080 --> 00:02:39.240]  於是我不是打板球,而是避開板球
[00:02:39.240 --> 00:02:46.000]  但是你去到這個地方,環境、文化、生活模式都要改變
[00:02:46.000 --> 00:02:49.440]  同樣我們信了耶穌,我們的生活模式都要改變
[00:02:49.440 --> 00:02:53.000]  我們有聖靈在我們生命裡面的時候
[00:02:53.000 --> 00:02:57.320]  我們怎樣去活出聖靈裡面的新生命呢?
[00:02:57.320 --> 00:03:00.600]  如果大家記得陳牧師在第六章裡說
[00:03:00.600 --> 00:03:02.480]  洗禮的意義是怎樣?
[00:03:02.480 --> 00:03:06.400]  我們跟基督同死,然後同復活
[00:03:06.400 --> 00:03:08.960]  我們的生命跟基督的死連上了關係
[00:03:08.960 --> 00:03:10.600]  因為赦免了我們的罪
[00:03:10.600 --> 00:03:14.840]  而同復活的意思是我們要活出新生的樣式
[00:03:14.840 --> 00:03:16.320]  心理師的你可能會說
[00:03:16.320 --> 00:03:18.160]  第六章之後,你又去到第八章
[00:03:18.160 --> 00:03:19.680]  第七章說了甚麼?
[00:03:19.680 --> 00:03:22.880]  其實保羅在第七章說了一件很重要的事
[00:03:22.880 --> 00:03:25.840]  他說了我們人的狀況
[00:03:25.840 --> 00:03:30.200]  他說有時我們特別是未信主之前
[00:03:30.200 --> 00:03:33.280]  我們想做好,但我們做不到
[00:03:33.280 --> 00:03:35.720]  於是其實在第七章保羅這樣說
[00:03:35.720 --> 00:03:37.720]  大家可能聽過一段聖經
[00:03:37.720 --> 00:03:42.760]  「我也知道,在我裡頭就是我肉體之中」
[00:03:42.760 --> 00:03:45.920]  「沒有良善,因為立志為善」
[00:03:45.920 --> 00:03:48.040]  「由得我,我想行善的」
[00:03:48.040 --> 00:03:50.880]  「只是行出來,由不得我」
[00:03:50.880 --> 00:03:53.720]  「故此我所願意的事,我想做的好事」
[00:03:53.720 --> 00:03:57.080]  「我反不做,我所不願意的我」
[00:03:57.080 --> 00:03:58.360]  「我倒去做」
[00:03:58.360 --> 00:04:00.960]  原來我們在罪的權勢
[00:04:00.960 --> 00:04:04.400]  在罪的合制之下,我們沒有能力突破
[00:04:04.400 --> 00:04:08.520]  我以前脾氣很差,現在也不太好
[00:04:08.520 --> 00:04:12.080]  但我記得以前爸爸媽媽經常罵我
[00:04:12.080 --> 00:04:14.840]  「你不要經常發脾氣,為何你的脾氣那麼壞」
[00:04:14.840 --> 00:04:17.880]  有時我心裡也想「不要發脾氣」
[00:04:17.880 --> 00:04:18.920]  我不知道你有沒有試過
[00:04:18.920 --> 00:04:21.840]  有些事刺激你的時候,你的心就說「不要發脾氣」
[00:04:21.840 --> 00:04:24.480]  「不要發脾氣,但你控制不了,控制不了就…」
[00:04:24.480 --> 00:04:26.760]  因為發脾氣了
[00:04:26.760 --> 00:04:29.400]  或者大家認識我,知道我信耶穌之前
[00:04:29.400 --> 00:04:31.880]  我是一個病態賭徒
[00:04:31.880 --> 00:04:35.360]  那時騙著老婆,即當時女朋友去賭錢
[00:04:35.360 --> 00:04:39.360]  跟自己說「不要再去賭了,不要再去賭了」
[00:04:39.360 --> 00:04:42.560]  但怎樣?去到那些時段,夜闌人靜的時候
[00:04:42.560 --> 00:04:45.200]  你控制不了,你又去賭
