
[00:00:00.000 --> 00:00:03.040]  我呢就真係醫生嚟㗎
[00:00:03.040 --> 00:00:07.380]  不過呢係神呼召我改咗行
[00:00:07.380 --> 00:00:12.060]  咁我一陣都會講我改行之後呢令我屋企撕裂咗
[00:00:12.060 --> 00:00:16.360]  咁我呢就所以好多年呢都係做青年工作
[00:00:16.360 --> 00:00:17.860]  喺淺線㗎
[00:00:17.860 --> 00:00:20.780]  就喺學校呀喺好多
[00:00:20.780 --> 00:00:25.600]  咁所以呢幾個月呢我心好傷痛
[00:00:25.600 --> 00:00:28.200]  即係點解香港會變成咁樣呀
[00:00:28.200 --> 00:00:31.240]  而好多年青人呢都喺街上
[00:00:31.240 --> 00:00:35.040]  咁我呢就見到中文大學呢就好傷心
[00:00:35.040 --> 00:00:38.040]  即係連我哋嘅校園都變成咁樣
[00:00:38.040 --> 00:00:41.740]  但係呢我睇到一啲好美麗嘅圖畫
[00:00:41.740 --> 00:00:45.380]  中大校長好愛啲學生
[00:00:45.380 --> 00:00:48.140]  仍然想去同啲學生傾計
[00:00:48.140 --> 00:00:54.220]  仍然係好勇敢同啲警察係希望大家和解
[00:00:54.220 --> 00:00:57.220]  但係好不幸呢佢都中咗催淚彈
[00:00:57.220 --> 00:00:59.060]  咁就退下咗
[00:00:59.060 --> 00:01:03.020]  咁我好熟呀沈祖堯教授前校長
[00:01:03.020 --> 00:01:04.700]  好好嘅教徒
[00:01:04.700 --> 00:01:08.440]  佢當晚呢我知道㗎我同佢通過電話
[00:01:08.440 --> 00:01:10.300]  佢揸車上唔到去
[00:01:10.300 --> 00:01:12.660]  佢喺山腳跑上去㗎
[00:01:12.660 --> 00:01:16.340]  所以你喺電視見到佢滿頭大汗
[00:01:16.340 --> 00:01:18.980]  咁佢先同啲學生
[00:01:18.980 --> 00:01:20.980]  講我好關心你哋
[00:01:20.980 --> 00:01:23.140]  希望我哋平平靜靜
[00:01:23.140 --> 00:01:25.440]  咁然之後呢佢都好勇敢
[00:01:25.440 --> 00:01:28.680]  就繼續去同啲警察嚟到傾
[00:01:28.680 --> 00:01:33.460]  咁結果雙方呢都願意退一步
[00:01:33.460 --> 00:01:36.120]  否則呢你估唔到發生咩事
[00:01:36.120 --> 00:01:37.960]  因為大家都睇到啦
[00:01:37.960 --> 00:01:42.100]  好多在場嗰啲呢唔係中大學生嚟㗎
[00:01:42.100 --> 00:01:43.740]  已經公佈咗
[00:01:43.740 --> 00:01:45.800]  大部分都唔係
[00:01:45.800 --> 00:01:49.440]  咁我今朝早呢就中大另一個教授
[00:01:49.440 --> 00:01:52.440]  就我同佢通電話話佢好識識比你聽
[00:01:52.440 --> 00:01:56.620]  原來呢啲校長同啲老師冇退過場
[00:01:56.620 --> 00:01:59.120]  仍然看守住啲學生
[00:01:59.120 --> 00:02:03.460]  仍然好勇敢同嗰啲唔係學生講
[00:02:03.460 --> 00:02:06.960]  請你哋安全退場
[00:02:06.960 --> 00:02:10.720]  我哋唔想搵警察嚟到捉你哋
[00:02:10.720 --> 00:02:13.700]  咁結果經過一段時間嘅商討
[00:02:13.700 --> 00:02:15.560]  佢哋答應咗
[00:02:15.560 --> 00:02:18.240]  而家陸續退場
[00:02:18.240 --> 00:02:20.340]  我估唔到係咁樣收場
[00:02:22.440 --> 00:02:25.280]  係咪呀
