
[00:00:00.000 --> 00:00:08.000]  我們今天要說的就是《撒末爾記》的第六年
[00:00:08.000 --> 00:00:20.000]  這個《撒末爾記》在西部來的聖經是緊接著這個四世紀以後的
[00:00:20.000 --> 00:00:26.000]  這裡我們聖經是有錄的記中間插上了一段
[00:00:26.000 --> 00:00:39.000]  其實是在原來的西部來我們聖經是四世紀完了以後就是撒末爾記
[00:00:39.000 --> 00:00:43.000]  那四世紀的最後一個句話就是說
[00:00:43.000 --> 00:00:51.000]  指那時以色列總內王個人任意而行
[00:00:51.000 --> 00:00:58.000]  這就講到四世紀的最後一個情況
[00:00:58.000 --> 00:01:05.000]  這句話是說到那時
[00:01:05.000 --> 00:01:13.000]  那時就是說到以色列國靈性是最低落的時候
[00:01:13.000 --> 00:01:20.000]  在當時的話他們經常被周圍的國家所欺負
[00:01:20.000 --> 00:01:29.000]  那時候就神就差遣四世來救他們
[00:01:29.000 --> 00:01:35.000]  可是四世紀過去以後他們又是落在痛苦裡頭了
[00:01:35.000 --> 00:01:39.000]  又有別的國家的人來欺負他們
[00:01:39.000 --> 00:01:45.000]  所以四世紀所記載的就是以色列人有這段時間
[00:01:45.000 --> 00:01:53.000]  有幾百年的時間有七次被外族的人所欺壓
[00:01:53.000 --> 00:01:59.000]  七次神都派四世來拯救他
[00:01:59.000 --> 00:02:02.000]  所以四世就是當時的審判官
[00:02:02.000 --> 00:02:06.000]  四世也就是當時管理國家的人
[00:02:06.000 --> 00:02:09.000]  但他不是管理全國
[00:02:09.000 --> 00:02:12.000]  他只管理一部分就是一個支派
[00:02:12.000 --> 00:02:15.000]  所以這是局部的
[00:02:15.000 --> 00:02:18.000]  那麼百姓在當時的話
[00:02:18.000 --> 00:02:20.000]  他是任意而行
[00:02:20.000 --> 00:02:24.000]  意思就是他問神的職責是什麼
[00:02:24.000 --> 00:02:26.000]  就按照自己所喜歡的
[00:02:26.000 --> 00:02:28.000]  自己看為好的
[00:02:28.000 --> 00:02:30.000]  他們就去做了
[00:02:30.000 --> 00:02:33.000]  那這樣的話就整個在國家裡頭
[00:02:33.000 --> 00:02:37.000]  就是整個向著神的關係
[00:02:37.000 --> 00:02:41.000]  個人的靈性也都是很低落的時候
[00:02:41.000 --> 00:02:43.000]  在這種混亂的情況下
[00:02:43.000 --> 00:02:47.000]  神就興起了撒末爾
[00:02:47.000 --> 00:02:55.000]  讓他起來帶領以色列人回到正常的光景
[00:02:55.000 --> 00:02:58.000]  撒末爾這一生他是敬畏神
[00:02:58.000 --> 00:03:01.000]  可以說在聖經裡頭
[00:03:01.000 --> 00:03:08.000]  我們看到有幾個聖經都沒有指出他什麼缺點的
[00:03:08.000 --> 00:03:12.000]  這樣的一個先知或者君王也好
