
[00:00:00.000 --> 00:00:02.000]  《出埃及記》的序幕
[00:00:02.000 --> 00:00:06.000]  我們用一個題目去展現在大家當中
[00:00:06.000 --> 00:00:10.000]  卑微與偉大之間的距離
[00:00:10.000 --> 00:00:12.000]  在世上沒有一個人喜歡
[00:00:12.000 --> 00:00:15.000]  自己一生卑卑賤賤地生活
[00:00:15.000 --> 00:00:18.000]  亦都因為這種人裡面
[00:00:18.000 --> 00:00:21.000]  很想自己好、很想世界好的
[00:00:21.000 --> 00:00:23.000]  一份的意欲推動
[00:00:23.000 --> 00:00:26.000]  我們人會一路向前行
[00:00:26.000 --> 00:00:28.000]  亦都因為這一份的推動
[00:00:28.000 --> 00:00:30.000]  我們人會改善社會
[00:00:30.000 --> 00:00:32.000]  改善整個的環境
[00:00:32.000 --> 00:00:35.000]  但是人間的偉大
[00:00:35.000 --> 00:00:39.000]  又是不是真的在神的眼中同時偉大呢?
[00:00:39.000 --> 00:00:42.000]  今天我們會透過三個的人物
[00:00:42.000 --> 00:00:43.000]  三類的人物
[00:00:43.000 --> 00:00:47.000]  第一類或者第一個的人物是以色列人
[00:00:47.000 --> 00:00:50.000]  在今天的讀經裡面
[00:00:50.000 --> 00:00:52.000]  其實一章一至二十一節
[00:00:52.000 --> 00:00:54.000]  是我們今天會講解的經文
[00:00:54.000 --> 00:00:56.000]  當中有三個七
[00:00:56.000 --> 00:01:00.000]  頭七節是講述以色列的民族
[00:01:00.000 --> 00:01:03.000]  很平舖直敘地講述
[00:01:03.000 --> 00:01:06.000]  他們在埃及所經歷的歷史
[00:01:06.000 --> 00:01:09.000]  第二個是八節到十四節
[00:01:09.000 --> 00:01:11.000]  是講述埃及王
[00:01:11.000 --> 00:01:14.000]  在當時約瑟離開了世界
[00:01:14.000 --> 00:01:17.000]  而這群他的子民百姓進到埃及
[00:01:17.000 --> 00:01:19.000]  慢慢地生活了三百多年
[00:01:19.000 --> 00:01:21.000]  近四百年的時候
[00:01:21.000 --> 00:01:24.000]  新生的一個法老王出現了
[00:01:24.000 --> 00:01:29.000]  很奇怪的是一個能夠統管埃及的一個王
[00:01:29.000 --> 00:01:33.000]  他在聖經裡面沒有提到他的名字
[00:01:33.000 --> 00:01:35.000]  或者神也要提醒我們
[00:01:35.000 --> 00:01:37.000]  人間如何偉大
[00:01:37.000 --> 00:01:40.000]  在神的眼中仍是卑微
[00:01:40.000 --> 00:01:43.000]  是因為你的生命是怎樣
[00:01:43.000 --> 00:01:45.000]  第三類的人物
[00:01:45.000 --> 00:01:48.000]  我們提到修身婆
[00:01:48.000 --> 00:01:50.000]  兩個的修身婆
[00:01:50.000 --> 00:01:54.000]  成為了出埃及記第一個先鋒者
