
[00:00:00.000 --> 00:00:02.540]  各位兄弟姐妹
[00:00:02.540 --> 00:00:06.400]  今日很想就在這裏跟大家來談談
[00:00:06.400 --> 00:00:10.560]  昨晚我講同樣的題目
[00:00:10.560 --> 00:00:14.720]  有一個報道會昨晚在恩福那裏
[00:00:14.720 --> 00:00:19.060]  帶有偉成茶經的工程師
[00:00:19.060 --> 00:00:21.340]  昨晚就來了
[00:00:21.340 --> 00:00:24.380]  因為他參加了一個叫做愛基金
[00:00:24.380 --> 00:00:26.300]  來幫忙
[00:00:26.300 --> 00:00:29.660]  所以昨晚蔣麗萍講見證的時間
[00:00:29.660 --> 00:00:30.700]  她也出席了
[00:00:30.700 --> 00:00:32.560]  他們是熟悉的
[00:00:32.560 --> 00:00:35.940]  再一次問回偉成
[00:00:35.940 --> 00:00:39.160]  其實偉成第一次去恩福
[00:00:39.160 --> 00:00:40.480]  就是方方那邊
[00:00:40.480 --> 00:00:41.920]  方方小學
[00:00:41.920 --> 00:00:44.500]  坐幼稚園椅來到聚會的時間
[00:00:44.500 --> 00:00:45.660]  我不知道他在那裏
[00:00:45.660 --> 00:00:47.020]  這是第一個
[00:00:47.020 --> 00:00:48.920]  第二我更加不知道
[00:00:48.920 --> 00:00:50.640]  他已經走投無路
[00:00:50.640 --> 00:00:54.860]  是被一個建築的老闆
[00:00:54.860 --> 00:00:57.540]  來整到渾身債
[00:00:57.540 --> 00:01:00.080]  欠下千萬
[00:01:00.080 --> 00:01:03.620]  令他的房子全部暗了
[00:01:03.620 --> 00:01:05.620]  面臨破產的邊緣
[00:01:05.620 --> 00:01:07.220]  我也不知道
[00:01:07.220 --> 00:01:08.940]  我更加不知道
[00:01:08.940 --> 00:01:11.220]  他買了一把刀
[00:01:11.220 --> 00:01:12.660]  放在皮包裏
[00:01:12.660 --> 00:01:16.420]  想要捅死這個老闆
[00:01:16.420 --> 00:01:19.580]  我是輪流將出埃及記
[00:01:19.580 --> 00:01:21.460]  一路一路地數下去
[00:01:21.460 --> 00:01:24.620]  剛剛就講到第六屆
[00:01:24.620 --> 00:01:27.260]  這一屆叫做不可殺人
[00:01:27.260 --> 00:01:28.820]  講完那一屆
[00:01:28.820 --> 00:01:31.500]  下一屆我也不知道
[00:01:31.500 --> 00:01:33.340]  他有婚外情
[00:01:33.340 --> 00:01:34.620]  我完全不知道
[00:01:34.620 --> 00:01:37.740]  不過我只是輪流講
[00:01:37.740 --> 00:01:40.020]  那麼巧合
[00:01:40.020 --> 00:01:41.380]  又中
[00:01:41.380 --> 00:01:43.820]  我記得我第一次講完道
[00:01:43.820 --> 00:01:45.380]  不可殺人之後
[00:01:45.380 --> 00:01:48.340]  那時候方方是有一個規矩的
[00:01:48.340 --> 00:01:51.860]  有可能以前在方方聚會的頂姐妹知道
[00:01:51.860 --> 00:01:54.460]  我一定叫頂姐妹分小組祈禱
[00:01:54.460 --> 00:01:55.620]  有沒有印象?
[00:01:55.620 --> 00:01:57.980]  Joyce 有沒有印象?
[00:01:57.980 --> 00:01:59.860]  Victor 有沒有印象?
[00:01:59.860 --> 00:02:00.940]  分小組
[00:02:00.940 --> 00:02:03.260]  三、四個一起祈禱
[00:02:03.260 --> 00:02:04.820]  我很流行
[00:02:04.820 --> 00:02:06.220]  我一講完道就下來
[00:02:06.220 --> 00:02:07.660]  再加入那些小組
[00:02:07.660 --> 00:02:09.340]  剛巧
[00:02:09.340 --> 00:02:11.460]  我就去了偉成的小組
[00:02:11.460 --> 00:02:12.140]  為什麼呢?
[00:02:12.140 --> 00:02:15.220]  因為我一直在看有沒有陌生人
[00:02:15.220 --> 00:02:16.460]  我怕他們不會祈禱
[00:02:16.460 --> 00:02:17.340]  所以就過來
[00:02:17.340 --> 00:02:19.060]  結果他們真的會祈禱
[00:02:19.060 --> 00:02:21.020]  他們講了他們的事
[00:02:21.020 --> 00:02:22.500]  阿門也不會講
[00:02:22.500 --> 00:02:25.100]  是我幫他們講阿門
[00:02:25.100 --> 00:02:27.380]  但我就安慰他
[00:02:27.380 --> 00:02:30.100]  我說「新冤在主那裡」
[00:02:30.100 --> 00:02:31.900]  「主一定報應」
[00:02:31.900 --> 00:02:33.260]  而實質上
[00:02:33.260 --> 00:02:34.620]  我看到這個主
[00:02:34.620 --> 00:02:37.380]  就是這樣報應
