
[00:00:00.000 --> 00:00:04.800]  今天和大家繼續分享提多書的內容
[00:00:04.800 --> 00:00:08.000]  我們之前已經講了兩次關於提多書
[00:00:08.000 --> 00:00:09.760]  不知道大家印象是怎樣
[00:00:09.760 --> 00:00:17.000]  提多書是保羅差派提多去了一個很挑戰性的地方
[00:00:17.000 --> 00:00:20.300]  在克里特這個地方去服侍
[00:00:20.300 --> 00:00:22.800]  要去立一些領袖
[00:00:22.800 --> 00:00:27.200]  而克里特這個地方的肢體
[00:00:27.200 --> 00:00:29.400]  或者教會的背景都是很複雜的
[00:00:29.400 --> 00:00:34.200]  很多人性的軟弱很多的問題在當中去衍生
[00:00:34.200 --> 00:00:39.000]  在幾章裏面很多的吩咐很多的命令很多的教導
[00:00:39.000 --> 00:00:42.200]  但究竟是不是講一下就可以的呢
[00:00:42.200 --> 00:00:44.400]  我想有時候講一下是不行的
[00:00:44.400 --> 00:00:47.400]  所以保羅去到第三章有很多的內容
[00:00:47.400 --> 00:00:54.000]  講到福音一種很深入的精要的地方
[00:00:54.000 --> 00:00:55.600]  今天我們會講這個題目
[00:00:55.600 --> 00:01:00.000]  題目叫做重生和更新的生命
[00:01:00.000 --> 00:01:01.400]  我們先讀這幾節的經文
[00:01:01.400 --> 00:01:05.400]  今天要分享的經文是三章三至到七節
[00:01:05.400 --> 00:01:07.400]  好 一起請同聲讀出來
[00:01:07.400 --> 00:01:12.400]  我們從前也是無知 活逆 受迷惑
[00:01:12.400 --> 00:01:16.800]  服侍各樣私慾和厭惡 常存惡毒
[00:01:16.800 --> 00:01:21.400]  嫉妒的心 是可恨的 又是彼此傷痕
[00:01:21.400 --> 00:01:28.400]  但到了神我們救主因此和他向人所施的慈愛顯明的時候
[00:01:28.400 --> 00:01:30.400]  他們救了我們
[00:01:30.400 --> 00:01:33.400]  因我們自己所行的義
[00:01:33.400 --> 00:01:35.400]  乃是照他的憐憫
[00:01:35.400 --> 00:01:39.400]  藉著重生的洗和聖靈的更新
[00:01:39.400 --> 00:01:46.400]  聖靈就是神藉著耶穌基督我們救主厚厚囂貫在我們身上的
[00:01:46.400 --> 00:01:50.400]  好叫我們因他的恩得稱為義
[00:01:50.400 --> 00:01:56.400]  有一個故事是這樣說
[00:01:56.400 --> 00:02:01.400]  有一個很聰明的亞洲的年輕少女
[00:02:01.400 --> 00:02:03.400]  去到歐洲的地方去讀書去進修
[00:02:03.400 --> 00:02:05.400]  我不知道今天很多人都認識
[00:02:05.400 --> 00:02:07.400]  或者香港不夠學位
[00:02:07.400 --> 00:02:09.400]  都去到外地讀書
[00:02:09.400 --> 00:02:12.400]  這個聰明的女孩讀書是很厲害
[00:02:12.400 --> 00:02:14.400]  她的成績是很驚人
[00:02:14.400 --> 00:02:18.400]  經過了幾年在外地這個地方讀書
[00:02:18.400 --> 00:02:20.400]  她畢業大學畢業
[00:02:20.400 --> 00:02:23.400]  很好的成績非常之標青
[00:02:23.400 --> 00:02:25.400]  樣子又非常之甜美
[00:02:25.400 --> 00:02:29.400]  她的語言她的學習的能力非常之高
[00:02:29.400 --> 00:02:32.400]  於是她很有信心去見工
[00:02:32.400 --> 00:02:36.400]  她找一份工去見將她很好的履歷遞上去
[00:02:36.400 --> 00:02:39.400]  開頭的時候見到對方接見她的那些人
[00:02:39.400 --> 00:02:43.400]  都是好印象很深
[00:02:43.400 --> 00:02:47.400]  這個亞洲的女孩來到我們這個歐洲的地方
[00:02:47.400 --> 00:02:49.400]  居然有這麼好的成績
[00:02:49.400 --> 00:02:51.400]  語言能力這麼高
[00:02:51.400 --> 00:02:54.400]  是很合適我們公司去工作
[00:02:54.400 --> 00:02:58.400]  但是最後當這個接見她的人再看她履歷的時候
[00:02:58.400 --> 00:02:59.400]  面有難色
[00:02:59.400 --> 00:03:02.400]  然後說對不起小姐我們不能夠聘用你
[00:03:02.400 --> 00:03:04.400]  這個女孩很好奇
[00:03:04.400 --> 00:03:07.400]  但是她想可能工作內容不是很適合
[00:03:07.400 --> 00:03:10.400]  或者我的成績和她的不太吻合
[00:03:10.400 --> 00:03:13.400]  她接二連三去到不同的地方去見工
[00:03:13.400 --> 00:03:16.400]  遞上去的過程都是一樣
[00:03:16.400 --> 00:03:18.400]  於是經過了幾次這樣的面試
[00:03:18.400 --> 00:03:21.400]  她就忍不住說你們有沒有搞錯
[00:03:21.400 --> 00:03:22.400]  你們是不是種族歧視
[00:03:22.400 --> 00:03:23.400]  我是亞洲人而已
[00:03:23.400 --> 00:03:28.400]  但是我的成績我的能力一定能夠勝任這份工作
[00:03:28.400 --> 00:03:30.400]  於是這個接見的人就跟她說
[00:03:30.400 --> 00:03:35.400]  小姐是的的確你的成績是非常之優異
[00:03:35.400 --> 00:03:37.400]  你的能力絕對沒有問題
[00:03:37.400 --> 00:03:39.400]  你在我們這麼多接見的人裡面
[00:03:39.400 --> 00:03:42.400]  都是一個很標稱一個對象
[00:03:42.400 --> 00:03:44.400]  我們應該是聘請你的
[00:03:44.400 --> 00:03:46.400]  但是我們不能夠聘請你
[00:03:46.400 --> 00:03:47.400]  她說為什麼
[00:03:47.400 --> 00:03:51.400]  她說因為我們查到你有些記錄
