
[00:00:00.000 --> 00:00:03.700]  今天是1月5日,是2020年第一個主日
[00:00:03.700 --> 00:00:05.620]  我們互祝新年快樂
[00:00:05.620 --> 00:00:08.000]  跟你旁邊的弟兄姊妹說聲
[00:00:28.000 --> 00:00:30.000]  然後再跟他多說一句
[00:00:30.000 --> 00:00:32.000]  你說我完全說我是基督徒
[00:00:32.000 --> 00:00:34.000]  因為甚麼,你自己給個原因他
[00:00:34.000 --> 00:00:36.000]  跟他旁邊的弟兄姊妹說聲
[00:00:36.000 --> 00:00:39.000]  我完全說我是基督徒
[00:00:39.000 --> 00:00:54.000]  我們願意全說
[00:00:54.000 --> 00:00:56.000]  我們是基督徒見證主
[00:00:56.000 --> 00:00:58.000]  我們是神的兒女
[00:00:58.000 --> 00:01:00.000]  因為這個真的是
[00:01:00.000 --> 00:01:02.000]  一生最大的福氣
[00:01:02.000 --> 00:01:09.000]  大家不知道有沒有試過去驗眼呢?
[00:01:09.000 --> 00:01:15.000]  即是有沒有誰是近視、遠視
[00:01:15.000 --> 00:01:17.000]  甚麼老花那些
[00:01:17.000 --> 00:01:19.000]  我們每年都要
[00:01:19.000 --> 00:01:21.000]  驗一下眼
[00:01:26.000 --> 00:01:28.000]  我的近視不算好深
[00:01:28.000 --> 00:01:30.000]  不過呢
[00:01:30.000 --> 00:01:32.000]  不戴眼鏡就糊塗了
[00:01:32.000 --> 00:01:38.000]  所以這個是
[00:01:38.000 --> 00:01:40.000]  好像
[00:01:40.000 --> 00:01:42.000]  一個眼鏡
[00:01:42.000 --> 00:01:44.000]  當我們戴上去的時候
[00:01:44.000 --> 00:01:46.000]  那些模糊的景象
[00:01:46.000 --> 00:01:48.000]  就看得清楚
[00:01:48.000 --> 00:01:50.000]  今年是2020年
[00:01:50.000 --> 00:01:52.000]  如果用英文呢
[00:01:52.000 --> 00:01:54.000]  這個就是
[00:01:54.000 --> 00:01:56.000]  2020 Vision
[00:01:56.000 --> 00:01:58.000]  2020大家知道
[00:01:58.000 --> 00:02:00.000]  就是Perfect Vision
[00:02:00.000 --> 00:02:04.000]  有沒有誰是你的驗眼師
[00:02:04.000 --> 00:02:06.000]  或者你的眼科醫生告訴你
[00:02:06.000 --> 00:02:08.000]  你是2020 Vision的
[00:02:08.000 --> 00:02:10.000]  有沒有?我們當中有沒有?
[00:02:10.000 --> 00:02:12.000]  戴眼鏡那些不算
[00:02:12.000 --> 00:02:14.000]  戴了眼鏡就糊塗了
[00:02:14.000 --> 00:02:20.000]  很開心的就是
[00:02:20.000 --> 00:02:22.000]  戴了眼鏡的時候
[00:02:22.000 --> 00:02:24.000]  即是說
[00:02:24.000 --> 00:02:26.000]  你是完美的
[00:02:26.000 --> 00:02:28.000]  完全沒有視障的問題
[00:02:28.000 --> 00:02:32.000]  今年因為我們
[00:02:32.000 --> 00:02:34.000]  2020年
[00:02:34.000 --> 00:02:36.000]  是一個很特別的年份
[00:02:36.000 --> 00:02:40.000]  所以也讓我們牧師們
[00:02:40.000 --> 00:02:42.000]  想到這個是
[00:02:42.000 --> 00:02:44.000]  和這個
[00:02:44.000 --> 00:02:46.000]  好像我們驗眼一樣
[00:02:46.000 --> 00:02:48.000]  2020 Vision
[00:02:48.000 --> 00:02:50.000]  讓我們能夠看得清楚
[00:02:50.000 --> 00:02:52.000]  戴上這個
[00:02:52.000 --> 00:02:54.000]  淑玲的眼鏡
[00:02:54.000 --> 00:02:56.000]  神的話語和
[00:02:56.000 --> 00:02:58.000]  神的啟示
[00:02:58.000 --> 00:03:00.000]  讓我們能夠過一個
[00:03:00.000 --> 00:03:02.000]  合神心意的生活
[00:03:02.000 --> 00:03:04.000]  可能在
[00:03:04.000 --> 00:03:06.000]  模糊的當中
[00:03:06.000 --> 00:03:08.000]  我們不太知道前面的道路
[00:03:08.000 --> 00:03:10.000]  模糊當中不太知道
[00:03:10.000 --> 00:03:12.000]  我們人生有什麼
[00:03:12.000 --> 00:03:14.000]  的意義
[00:03:14.000 --> 00:03:16.000]  或者我們應該怎樣過我們的生活
[00:03:16.000 --> 00:03:18.000]  但當我們來到
[00:03:18.000 --> 00:03:20.000]  用上帝的話語和
[00:03:20.000 --> 00:03:22.000]  聖經裡面的教導幫助我們
[00:03:22.000 --> 00:03:24.000]  我認為今年就能夠
[00:03:24.000 --> 00:03:26.000]  有一個
[00:03:26.000 --> 00:03:28.000]  英文是Living with God's Perspective
[00:03:28.000 --> 00:03:30.000]  即是好像神的眼光
[00:03:30.000 --> 00:03:32.000]  來過我們的生活
[00:03:32.000 --> 00:03:34.000]  中文我們就
[00:03:34.000 --> 00:03:36.000]  將它翻譯做
[00:03:36.000 --> 00:03:38.000]  土神喜悅的生活
[00:03:38.000 --> 00:03:40.000]  能夠活出一個土神喜悅的生活
[00:03:40.000 --> 00:03:42.000]  我們有一個主題的經文
[00:03:42.000 --> 00:03:44.000]  是二福所書
[00:03:44.000 --> 00:03:46.000]  五章八至十節
[00:03:46.000 --> 00:03:48.000]  我們一起讀出這幾節
[00:03:48.000 --> 00:03:50.000]  聖經的經文
[00:03:50.000 --> 00:03:52.000]  請同聲讀出
[00:04:16.000 --> 00:04:18.000]  總要測驗
[00:04:18.000 --> 00:04:20.000]  就好像神的眼光
[00:04:20.000 --> 00:04:22.000]  我們來留意
[00:04:22.000 --> 00:04:24.000]  看清楚
[00:04:24.000 --> 00:04:26.000]  看清楚什麼是
[00:04:26.000 --> 00:04:28.000]  主所喜悅的事
[00:04:28.000 --> 00:04:30.000]  看不清楚
[00:04:30.000 --> 00:04:32.000]  那就是不是2020 Vision
[00:04:32.000 --> 00:04:44.000]  不要緊
[00:04:44.000 --> 00:04:46.000]  看得明白就行了
[00:04:46.000 --> 00:04:54.000]  可能我們再調淺色一點
[00:04:54.000 --> 00:04:56.000]  或者字白色
[00:04:56.000 --> 00:05:02.000]  這個看得清不清楚
[00:05:02.000 --> 00:05:06.000]  這個清不清楚
