
[00:00:00.000 --> 00:00:02.360]  我們實在是主的徵兵
[00:00:02.360 --> 00:00:05.040]  我們一個群體 一個教會
[00:00:05.040 --> 00:00:07.620]  我們就是為主去奮勇作戰
[00:00:07.620 --> 00:00:10.820]  今天我們講的講題是
[00:00:10.820 --> 00:00:13.180]  「在這世代 造福萬民」
[00:00:13.180 --> 00:00:14.920]  我想過去從一月起
[00:00:14.920 --> 00:00:17.740]  我們聽教會的使命宣言
[00:00:17.740 --> 00:00:20.000]  我們聽得都不少了
[00:00:20.000 --> 00:00:23.500]  今天也是來到這個使命宣言的一個總結
[00:00:23.500 --> 00:00:26.680]  「在這世代 造福萬民」
[00:00:26.680 --> 00:00:30.920]  在這世代其實講的是時間和空間
[00:00:30.920 --> 00:00:34.680]  在這世代講的是一個有時限性 有地域
[00:00:34.680 --> 00:00:38.240]  是現在和在這裡的時間的問題
[00:00:38.240 --> 00:00:41.360]  而萬民講的是造福的對象
[00:00:41.360 --> 00:00:44.840]  而這個對象是無界限性 是無限的
[00:00:44.840 --> 00:00:46.480]  是包括所有的人
[00:00:46.480 --> 00:00:49.640]  不分種族 階級 地域 不分年齡
[00:00:49.640 --> 00:00:53.480]  講的是一個理想的目標 是一個方向
[00:00:53.480 --> 00:00:55.760]  或許我們未必即時能夠做到
[00:00:55.760 --> 00:00:58.120]  但不代表我們不需要做
[00:00:58.120 --> 00:01:00.040]  而「在這世代 萬民」
[00:01:00.040 --> 00:01:02.280]  我相信一頭一尾不難理解
[00:01:02.280 --> 00:01:05.680]  所以今天我想和大家主要集中思想
[00:01:05.680 --> 00:01:07.680]  造福這個主題
[00:01:07.680 --> 00:01:10.600]  「在這世代 造福萬民」
[00:01:10.600 --> 00:01:14.480]  其實萬民這個異象在聖經出現過
[00:01:14.480 --> 00:01:17.360]  記載在《創世紀》十二章一至三節
[00:01:17.360 --> 00:01:18.800]  而這三節的經文
[00:01:18.800 --> 00:01:23.000]  也記載了神對阿伯拉罕的呼召
[00:01:23.000 --> 00:01:25.000]  其實你會說阿伯拉罕的呼召
[00:01:25.000 --> 00:01:27.240]  和我們今天有甚麼關係呢?
[00:01:27.240 --> 00:01:30.080]  司徒保羅在《迦太太書》裏面提到
[00:01:30.080 --> 00:01:31.800]  所有信主的人
[00:01:31.800 --> 00:01:34.320]  其實就是阿伯拉罕的子孫
[00:01:34.320 --> 00:01:37.160]  所以阿伯拉罕的生命和他的夢召
[00:01:37.160 --> 00:01:39.800]  和我們今天實在息息相關
[00:01:39.800 --> 00:01:41.440]  讓我們一起打開聖經
[00:01:41.440 --> 00:01:45.080]  我們一起來看《創世紀》十二章一至三節
[00:01:45.080 --> 00:01:49.360]  《創世紀》十二章一至三節
[00:01:53.600 --> 00:01:55.600]  我們一起來讀出
[00:02:23.600 --> 00:02:27.480]  「至上的萬族都要因祢得福」
[00:02:27.480 --> 00:02:30.920]  其實這個正正是教會存在的目的
[00:02:30.920 --> 00:02:33.520]  和我們的使命宣言
[00:02:33.520 --> 00:02:36.560]  「造福萬民」是同一個意思
[00:02:36.560 --> 00:02:39.160]  讓我們一起來看看它怎樣可以發生
[00:02:39.160 --> 00:02:40.440]  神對阿伯拉罕說
[00:02:40.440 --> 00:02:43.000]  「你要離開本地、本族、夫家
[00:02:43.000 --> 00:02:45.520]  往我所要指示你的地去」
[00:02:45.520 --> 00:02:48.560]  神呼召阿伯拉罕離開自己的家鄉
[00:02:48.560 --> 00:02:51.200]  他去到一個地方要成為大國
[00:02:51.200 --> 00:02:52.880]  並且要揚名天下
[00:02:52.880 --> 00:02:55.400]  藉此要造福萬民
[00:02:55.400 --> 00:02:57.240]  其實神為何要這樣做呢?
[00:02:57.240 --> 00:02:58.960]  神為何要選擇一個人
[00:02:58.960 --> 00:03:01.320]  去到一個地方成為大國
[00:03:01.320 --> 00:03:03.160]  然後造福萬民呢?
[00:03:03.160 --> 00:03:06.480]  我們讀聖經時常說要看上文下理
[00:03:06.480 --> 00:03:07.840]  原來有一個特別的背景
[00:03:07.840 --> 00:03:11.400]  就是十一章記載過的巴別塔的故事
[00:03:11.400 --> 00:03:14.000]  亦是世人敗壞的一個高峰
[00:03:14.000 --> 00:03:16.200]  如果我們看《創世紀》十一章時
[00:03:16.200 --> 00:03:18.480]  你會看到那群世人說甚麼呢?
[00:03:18.480 --> 00:03:22.120]  他們說「女兒,我們要建造一座城和一座塔
[00:03:22.120 --> 00:03:23.360]  塔頂通天
[00:03:23.360 --> 00:03:25.120]  為要傳揚我們的名
[00:03:25.120 --> 00:03:28.360]  免得我們分散在全地上」
[00:03:28.360 --> 00:03:29.960]  「塔頂通天
[00:03:29.960 --> 00:03:33.160]  傳揚我們的名」
[00:03:33.160 --> 00:03:33.880]  說的是甚麼呢?
[00:03:33.880 --> 00:03:35.240]  說的是一個運動
[00:03:35.240 --> 00:03:38.320]  是世人要想取代神敬拜自己
[00:03:38.320 --> 00:03:39.960]  當他們說要傳揚我們的名
[00:03:39.960 --> 00:03:41.880]  免得我們分散在地上的時候
[00:03:41.880 --> 00:03:43.200]  我不知道你會否記起
[00:03:43.200 --> 00:03:44.160]  《創世紀》
[00:03:44.160 --> 00:03:47.800]  神做男做女之後的吩咐
[00:03:47.800 --> 00:03:50.720]  神說「要生養眾多,遍滿全地」
[00:03:50.720 --> 00:03:53.760]  但這群世人卻要建造一座塔
[00:03:53.760 --> 00:03:55.760]  免得他們分散在地上
[00:03:55.760 --> 00:03:59.640]  這說的是要做一個自我造神的運動
[00:03:59.640 --> 00:04:01.400]  他要敬拜自己
[00:04:01.400 --> 00:04:03.880]  當神見到這群人要建造塔
[00:04:03.880 --> 00:04:05.360]  要建造國的時候
[00:04:05.360 --> 00:04:06.440]  他就親自介入
[00:04:06.440 --> 00:04:08.080]  辯論這群人的口音
[00:04:08.080 --> 00:04:11.640]  令他們分散在全地上
[00:04:11.640 --> 00:04:13.680]  而當人的驕傲叛逆
[00:04:13.680 --> 00:04:15.840]  人的自我中心去到極致
[00:04:15.840 --> 00:04:20.000]  人的罪已經遍到全地的時候
[00:04:20.000 --> 00:04:23.000]  神呼召一個人離開他的家鄉
[00:04:23.000 --> 00:04:24.400]  去到一個地方
[00:04:24.400 --> 00:04:27.880]  神要在這個地方重造一個新人類
[00:04:27.880 --> 00:04:31.360]  他要重造一群分別為勝屬於他的子民
[00:04:31.360 --> 00:04:33.960]  神要阿伯拉罕成為一個大國
[00:04:33.960 --> 00:04:36.200]  他要叫阿伯拉罕的名傳遍天下
[00:04:36.200 --> 00:04:37.840]  為的只有一個目的
[00:04:37.840 --> 00:04:40.880]  就是要使這群原本敗壞了的世人
[00:04:40.880 --> 00:04:44.600]  因著阿伯拉罕能夠得福
[00:04:44.600 --> 00:04:47.040]  神要這群屬神的子民
