
[00:00:00.000 --> 00:00:04.260]  大家平安,我們一齊同心祈禱
[00:00:04.260 --> 00:00:07.260]  今天我們感謝您的恩典
[00:00:07.260 --> 00:00:10.260]  祈禱我們在主耶穌的清晨有這個機會
[00:00:10.260 --> 00:00:15.260]  可以和您聚集、敬拜您和思想您的話語
[00:00:15.260 --> 00:00:19.260]  靠聖靈幫助我們聽得清楚、明白您自己的話語
[00:00:19.260 --> 00:00:25.260]  並且賜給我們能力在日常生活中實踐您的教導
[00:00:25.260 --> 00:00:29.260]  奉耶穌基督的名祈禱,阿們
[00:00:30.260 --> 00:00:36.260]  由今個星期開始,我們會思想彼得前書
[00:00:36.260 --> 00:00:40.260]  這本書信是由仕途彼得寫的
[00:00:40.260 --> 00:00:46.260]  我們稱這個系列為「活在此時此地」
[00:00:46.260 --> 00:00:48.260]  為甚麼呢?
[00:00:48.260 --> 00:00:53.260]  原因是彼得在這封書信中
[00:00:53.260 --> 00:00:57.260]  提到很多有關基督徒受苦的時候
[00:00:57.260 --> 00:01:00.260]  要如何去面對
[00:01:00.260 --> 00:01:06.260]  有一段教導我們如何與不同的人相處
[00:01:06.260 --> 00:01:13.260]  包括夫妻之間、主僕之間、年長、年輕人等等
[00:01:13.260 --> 00:01:17.260]  這些都是很實際的教導
[00:01:17.260 --> 00:01:22.260]  不過,它是在兩千年前寫的
[00:01:22.260 --> 00:01:25.260]  而我們卻是活在此時此地
[00:01:25.260 --> 00:01:30.260]  所以,我們讀這封書信時要小心思考
[00:01:30.260 --> 00:01:36.260]  在此時此地,如何應用它的教導
[00:01:36.260 --> 00:01:39.260]  在惡劣的環境之下
[00:01:39.260 --> 00:01:44.260]  基督徒是否可以保持喜樂、開心呢?
[00:01:44.260 --> 00:01:49.260]  彼得給他時代基督徒的勸勉是
[00:01:49.260 --> 00:01:55.260]  「雖然你們必須在百般試煉中暫時憂愁」
[00:01:55.260 --> 00:01:58.260]  「你們要為此喜樂」
[00:01:58.260 --> 00:02:00.260]  這是一章六節
[00:02:00.260 --> 00:02:02.260]  我一讀的時候可能會說
[00:02:02.260 --> 00:02:09.260]  「唉呀!有沒有搞錯?在受苦中還要喜樂?」
[00:02:09.260 --> 00:02:11.260]  真的沒有搞錯
[00:02:11.260 --> 00:02:14.260]  彼得不但在受苦的時候要喜樂
[00:02:14.260 --> 00:02:22.260]  他很清楚,在那時代基督徒不但在受一種苦
[00:02:22.260 --> 00:02:26.260]  並且是種種的苦,即是很多種
[00:02:26.260 --> 00:02:31.260]  所以,在百般試煉中,他們仍然要喜樂
[00:02:31.260 --> 00:02:35.260]  那麼,有甚麼秘訣呢?
[00:02:35.260 --> 00:02:40.260]  或者,我們要先嘗試了解他們所受的苦
[00:02:40.260 --> 00:02:50.260]  然後,才能夠找出可以不受環境控制的喜樂秘方
[00:02:50.260 --> 00:02:52.260]  今天的經文第一節說:
[00:02:52.260 --> 00:02:56.260]  「我彼得是基督耶穌的使徒」
[00:02:56.260 --> 00:03:00.260]  「我寫信給上帝所選召的子民」
[00:03:00.260 --> 00:03:06.260]  「那些因避難,散居在本都比拉多加伯多加」
[00:03:06.260 --> 00:03:12.260]  「阿世阿比推離各地的信徒們」
[00:03:12.260 --> 00:03:16.260]  我剛才讀的是「宴宗版」
[00:03:16.260 --> 00:03:21.260]  在原文和和合本都沒有「避難」的字
[00:03:21.260 --> 00:03:23.260]  只是說他們「散居」
[00:03:23.260 --> 00:03:26.260]  不過,如果加上「避難」
[00:03:26.260 --> 00:03:31.260]  就讓我們了解到他們「散居」的原因
[00:03:31.260 --> 00:03:37.260]  這裡提到的地名其實都是在今天土耳其境內的地區
[00:03:37.260 --> 00:03:39.260]  那麼,我們要問:
[00:03:39.260 --> 00:03:44.260]  這些基督徒為甚麼要逃難分散呢?
[00:03:44.260 --> 00:03:48.260]  他們逃避甚麼災難呢?
[00:03:48.260 --> 00:03:52.260]  那些學者的研究推測
[00:03:52.260 --> 00:03:58.260]  他們很有可能原本是住在羅馬城的基督徒
[00:03:58.260 --> 00:04:02.260]  時間大約在祖後六十四年
[00:04:02.260 --> 00:04:07.260]  那個時候,羅馬的皇帝叫做尼祿
[00:04:07.260 --> 00:04:10.260]  他為人是有些神經質的
[00:04:10.260 --> 00:04:15.260]  他看到整個羅馬城的設計
[00:04:15.260 --> 00:04:17.260]  他就覺得很不順眼
[00:04:17.260 --> 00:04:19.260]  很想重建羅馬城
[00:04:19.260 --> 00:04:24.260]  但要重建一個城市當然是很不簡單
[00:04:24.260 --> 00:04:29.260]  他首先要說服其他政治人物同意
[00:04:29.260 --> 00:04:33.260]  還要有計劃安置居民
[00:04:33.260 --> 00:04:38.260]  才可能將他們的舊屋拆下來重建
[00:04:38.260 --> 00:04:41.260]  所以即使是皇帝的意思
[00:04:41.260 --> 00:04:45.260]  當時都得不到其他政要的支持
[00:04:45.260 --> 00:04:51.260]  後來,羅馬城發生了一場大火
[00:04:51.260 --> 00:04:55.260]  這場火災是否尼祿放的火呢?
[00:04:55.260 --> 00:05:01.260]  我們沒有足夠的歷史證據證明是或不是
[00:05:01.260 --> 00:05:04.260]  但有一個記載說
[00:05:04.260 --> 00:05:07.260]  當羅馬城大火的時候
[00:05:07.260 --> 00:05:09.260]  尼祿走到山上
[00:05:09.260 --> 00:05:13.260]  拿著琴一邊唱歌一邊觀火
[00:05:13.260 --> 00:05:18.260]  這件事當然引起民眾的憤怒
[00:05:18.260 --> 00:05:21.260]  為了平息民憤
[00:05:21.260 --> 00:05:24.260]  尼祿或者他的手下就想到
[00:05:24.260 --> 00:05:28.260]  要找一個代罪羔羊出來才行
[00:05:28.260 --> 00:05:31.260]  結果他們就想到
[00:05:31.260 --> 00:05:33.260]  嫁禍給基督徒吧
[00:05:33.260 --> 00:05:38.260]  傳話出去就是由於基督徒不拜羅馬人的神
[00:05:38.260 --> 00:05:41.260]  甚至他們不拜神
[00:05:41.260 --> 00:05:44.260]  所以就遭受到神明的懲罰
[00:05:44.260 --> 00:05:47.260]  發生了這場大火
[00:05:47.260 --> 00:05:50.260]  於是人民就開始遷怒基督徒
[00:05:50.260 --> 00:05:53.260]  把所有基督徒從羅馬城趕走
[00:05:53.260 --> 00:05:59.260]  很多基督徒就散居在今天土耳其一帶的地方
[00:05:59.260 --> 00:06:02.260]  在毫無準備的情況下
[00:06:02.260 --> 00:06:07.260]  被人趕走、強迫移民是很痛苦的
[00:06:07.260 --> 00:06:09.260]  今天我們在澳洲
