
[00:00:00.000 --> 00:00:01.180]  考大家一下
[00:00:01.180 --> 00:00:05.240]  李正偉大三節,第一節講什麼?
[00:00:05.240 --> 00:00:09.400]  第一節講什麼?
[00:00:09.400 --> 00:00:12.220]  神的創造,第二節呢?
[00:00:12.220 --> 00:00:16.880]  耶穌基督的救贖,第三節呢?
[00:00:16.880 --> 00:00:21.780]  主在來,我們見主的面
[00:00:21.780 --> 00:00:23.780]  第二節特別講到
[00:00:23.780 --> 00:00:27.020]  我們講到神敬願拆他兒子
[00:00:27.640 --> 00:00:30.840]  我最近有一個感受,因為前幾天
[00:00:30.840 --> 00:00:34.480]  我的二女兒跟我的女婿去非洲加納
[00:00:34.480 --> 00:00:39.360]  他們帶Tennessee University的短訓隊去
[00:00:39.360 --> 00:00:44.080]  他們過去幾年,我的女婿是Tennessee University的director
[00:00:44.080 --> 00:00:45.420]  所以帶他們去
[00:00:45.420 --> 00:00:50.240]  然後呢,完了以後他們會留在非洲兩年
[00:00:50.240 --> 00:00:56.160]  因為他們的孩子快要一歲,所以還很小
[00:00:56.160 --> 00:01:00.160]  By the way,我的二女婿是African American
[00:01:00.160 --> 00:01:04.480]  當我二女兒要結婚的時候,我太太講一件事情
[00:01:04.480 --> 00:01:06.480]  她說我們從小唱一首歌
[00:01:06.480 --> 00:01:09.760]  耶穌喜愛一切小孩
[00:01:09.760 --> 00:01:11.760]  世上所有的小孩
[00:01:11.760 --> 00:01:15.080]  無論紅黃黑白中
[00:01:15.080 --> 00:01:17.080]  她說唱歌要小心
[00:01:17.080 --> 00:01:21.760]  唱到有一天我們的女婿是黑人
[00:01:21.760 --> 00:01:24.360]  那個感覺是很不一樣的
[00:01:24.360 --> 00:01:27.360]  去年我的大女婿是白人
[00:01:27.360 --> 00:01:30.160]  是從比利時移民到美國的
[00:01:30.160 --> 00:01:34.160]  他的祖先在中國宣教的歷史上很有名
[00:01:34.160 --> 00:01:37.360]  是在康熙皇朝裡面的青天劍
[00:01:37.360 --> 00:01:39.360]  南淮人
[00:01:39.360 --> 00:01:42.760]  所以我們家真的是紅黃黑白
[00:01:42.760 --> 00:01:48.160]  沒有,紅黃,沒有紅,黃白黑
[00:01:48.160 --> 00:01:51.560]  所以我太太說再生一個女兒可能要嫁給印第安人
[00:01:51.560 --> 00:01:54.560]  哈哈哈哈
[00:01:54.560 --> 00:01:56.560]  但是坦白的說呢
[00:01:56.560 --> 00:01:59.560]  我們女婿女兒他們要到非洲去
[00:01:59.560 --> 00:02:01.560]  孩子還不滿一歲
[00:02:01.560 --> 00:02:03.560]  身體也不是很好
[00:02:03.560 --> 00:02:05.560]  我們真是很掛心
[00:02:05.560 --> 00:02:09.560]  後來想到
[00:02:09.560 --> 00:02:14.560]  神的獨生子來到地上做宣教士
[00:02:14.560 --> 00:02:16.560]  這是大衛李文斯頓的名言
[00:02:16.560 --> 00:02:20.560]  神的獨生子來到世上做宣教士
[00:02:20.560 --> 00:02:26.560]  上帝豈不顧念他的宣教士的兒子嗎
[00:02:26.560 --> 00:02:28.560]  所以我們就感謝主
[00:02:28.560 --> 00:02:33.560]  因為我們知道天父比我們更會照顧我們的孩子
[00:02:33.560 --> 00:02:36.560]  這是從詩歌裡面有感而發的
[00:02:36.560 --> 00:02:38.560]  好,回到正題不然我時間就不夠了
[00:02:38.560 --> 00:02:40.560]  大家在擔心我怎麼會講得完
[00:02:40.560 --> 00:02:42.560]  我這一堂要到11點半
[00:02:42.560 --> 00:02:45.560]  是不是,一定要結束而且你們要過去
[00:02:45.560 --> 00:02:48.560]  好,我把剛才那一堂沒有結束的部分
[00:02:48.560 --> 00:02:50.560]  來繼續跟他講
[00:02:50.560 --> 00:02:53.560]  第一,耶路撒冷教會
[00:02:53.560 --> 00:02:55.560]  他們是在禱告裡面
[00:02:55.560 --> 00:02:57.560]  他們在聖靈的工作裡面
[00:02:57.560 --> 00:03:00.560]  他們是在宣講福音裡面而建立的
