
[00:00:00.000 --> 00:00:03.420]  (主席)今天是教會所定的聖樂與日
[00:00:03.420 --> 00:00:08.020]  剛才看到幾個師班一起獻上感恩
[00:00:08.020 --> 00:00:12.440]  我想問問大家喜歡哪些音樂風格?
[00:00:12.440 --> 00:00:20.160]  我想先說包括現在的除了聖樂之外的
[00:00:20.160 --> 00:00:24.000]  大家聽不聽聖樂之外的音樂?
[00:00:24.000 --> 00:00:26.580]  流行曲聽不聽?
[00:00:26.580 --> 00:00:27.580]  聽
[00:00:27.580 --> 00:00:29.580]  古典的聽不聽?
[00:00:29.580 --> 00:00:30.580]  聽
[00:00:30.580 --> 00:00:33.580]  除了聖詩之外都聽其他的
[00:00:33.580 --> 00:00:34.340]  OK
[00:00:34.340 --> 00:00:37.340]  那你可以說說你喜歡哪些風格?
[00:00:37.340 --> 00:00:44.800]  喜歡的是古典一點的
[00:00:44.800 --> 00:00:46.580]  古典一點的
[00:00:46.580 --> 00:00:49.580]  喜歡的是現代流行的
[00:00:49.580 --> 00:00:52.860]  其他的沒什麼所謂
[00:00:52.860 --> 00:00:55.380]  我回想我自己
[00:00:55.380 --> 00:00:58.580]  其實音樂也受到家庭影響
[00:00:58.580 --> 00:01:01.580]  我生於某個年代
[00:01:01.580 --> 00:01:07.580]  經常聽到爸爸放搖鬚絨
[00:01:07.580 --> 00:01:09.080]  黃清源
[00:01:09.080 --> 00:01:10.580]  類似的
[00:01:10.580 --> 00:01:11.580]  你都不認識
[00:01:11.580 --> 00:01:13.080]  國語
[00:01:13.080 --> 00:01:14.580]  什麼叫流行曲?
[00:01:14.580 --> 00:01:15.580]  國語歌
[00:01:15.580 --> 00:01:20.080]  當然這些我聽大了
[00:01:20.080 --> 00:01:22.080]  不過我不是很喜歡
[00:01:22.080 --> 00:01:27.080]  因為始終不是很直接
[00:01:27.080 --> 00:01:30.080]  國語歌不認識,不知道在說什麼
[00:01:30.080 --> 00:01:33.080]  當然大一點的會喜歡一些
[00:01:33.080 --> 00:01:37.080]  我那個年紀開始喜歡聽音樂的時候
[00:01:37.080 --> 00:01:40.080]  就開始有粵語流行曲的流行
[00:01:40.080 --> 00:01:43.080]  大家會知道許冠傑那些歌
[00:01:43.080 --> 00:01:45.080]  類似的歌流行了
[00:01:45.080 --> 00:01:46.080]  都很喜歡聽
[00:01:46.080 --> 00:01:48.080]  同時間
[00:01:48.080 --> 00:01:50.080]  我自己就
[00:01:50.080 --> 00:01:53.080]  不是很會聽這些古典音樂
[00:01:53.080 --> 00:01:55.080]  我的印象是很嘈吵的
[00:01:55.080 --> 00:02:00.080]  我岳父很喜歡聽古典音樂
[00:02:00.080 --> 00:02:03.080]  我還不認識他之前
[00:02:03.080 --> 00:02:04.080]  還不認識他之前
[00:02:04.080 --> 00:02:06.080]  認識我太太
[00:02:06.080 --> 00:02:09.080]  拍拖的時候就打電話去家裡
[00:02:09.080 --> 00:02:10.080]  接到電話
[00:02:10.080 --> 00:02:12.080]  家裡就聽到很嘈吵
[00:02:12.080 --> 00:02:13.080]  後面很多聲音
[00:02:13.080 --> 00:02:15.080]  就是古典音樂的聲音
[00:02:15.080 --> 00:02:16.080]  乒乒乓乓的
[00:02:16.080 --> 00:02:19.080]  他就開得很大聲
[00:02:19.080 --> 00:02:20.080]  唯一的好處
[00:02:20.080 --> 00:02:23.080]  我和當時的女朋友
[00:02:23.080 --> 00:02:24.080]  我太太
[00:02:24.080 --> 00:02:25.080]  講電話
[00:02:25.080 --> 00:02:27.080]  她聽不到他說什麼
[00:02:27.080 --> 00:02:30.080]  有些音樂就遮蓋了她
[00:02:30.080 --> 00:02:31.080]  原來發覺
[00:02:31.080 --> 00:02:34.080]  她常常都是聽古典音樂
[00:02:34.080 --> 00:02:35.080]  後來去到家裡
[00:02:35.080 --> 00:02:37.080]  都是不斷放古典音樂
[00:02:37.080 --> 00:02:39.080]  後來我慢慢
[00:02:39.080 --> 00:02:40.080]  在她裡面學習了
[00:02:40.080 --> 00:02:41.080]  怎樣聽
[00:02:41.080 --> 00:02:44.080]  欣賞古典音樂
[00:02:44.080 --> 00:02:46.080]  所以我又很喜歡一些
[00:02:46.080 --> 00:02:47.080]  如果你說我選
[00:02:47.080 --> 00:02:48.080]  我喜歡一些
[00:02:48.080 --> 00:02:52.080]  小提琴協奏曲
[00:02:52.080 --> 00:02:54.080]  那些很好
[00:02:54.080 --> 00:02:56.080]  有一些就好像
[00:02:56.080 --> 00:02:58.080]  查爾夫斯基的悲創
[00:02:58.080 --> 00:03:00.080]  那些真的很有感情
[00:03:00.080 --> 00:03:01.080]  慢慢聲音都沒有了
[00:03:01.080 --> 00:03:03.080]  你聽完都不記得
[00:03:03.080 --> 00:03:04.080]  不知道
[00:03:04.080 --> 00:03:07.080]  我記得我兒子
[00:03:07.080 --> 00:03:08.080]  懷胎
[00:03:08.080 --> 00:03:10.080]  我太太懷胎大兒子
[00:03:10.080 --> 00:03:13.080]  我就專放一些莫札特音樂給他聽
[00:03:13.080 --> 00:03:14.080]  歡呼喜樂
[00:03:14.080 --> 00:03:17.080]  所以他叫君樂
[00:03:17.080 --> 00:03:19.080]  所以在過去
[00:03:19.080 --> 00:03:22.080]  自己裡面都很喜歡聽
[00:03:22.080 --> 00:03:27.080]  不同風格的音樂
[00:03:27.080 --> 00:03:31.080]  有時候在教會工作
[00:03:31.080 --> 00:03:35.080]  我多數放古典音樂
[00:03:35.080 --> 00:03:39.080]  放流行曲又不是很好
