
[00:00:00.000 --> 00:00:03.000]  好!大家姐妹早晨!
[00:00:03.000 --> 00:00:06.000]  咁呢,想同大家先讀一段聖經啦!
[00:00:06.000 --> 00:00:09.500]  就係《傳道書》第十二章,一至七節。
[00:00:09.500 --> 00:00:14.000]  咁大家可以打開聖經,又或者呢,睇 PowerPoint。
[00:00:14.000 --> 00:00:16.000]  《傳道書》第十二章,一至七節。
[00:00:16.000 --> 00:00:19.500]  或者我哋一齊呢,仲讀呢七節嘅聖經,好嗎?
[00:00:19.500 --> 00:00:21.000]  預備起!
[00:00:21.000 --> 00:00:35.000]  你趁著年幼衰敗的日子尚未來到,就是你所說:我毫無喜樂的那些年日,未曾臨到之先,當紀念做你的主。
[00:00:35.000 --> 00:00:56.000]  不要等到日頭光明月星秀,然是黑暗,雨後雲彩返回,看守房屋的發展,有力的屈膝,推磨的稀少就止息,同窗戶往外看的都昏暗。
[00:00:56.000 --> 00:01:07.000]  街門翻閉,推磨的聲微小,雀鳥一叫,人就起來,唱歌的女子也都睡眠。
[00:01:07.000 --> 00:01:15.500]  人怕高處,路又有驚慌,恨樹開花,乍晚成為重擔。
[00:01:15.500 --> 00:01:34.500]  所願的也都廢掉,因為人歸他永遠的家,吊桑的在街上往來。銀斷折斷,金罐破裂,瓶子在船旁損壞,水輪在井口破裂。
[00:01:34.500 --> 00:01:40.500]  神歸於地,靈仍歸於自靈的神。
[00:01:40.500 --> 00:01:48.500]  傳統上來說,這一段《十二章》一至七節,是在描述一個人的年老情況的描述。
[00:01:48.500 --> 00:02:02.500]  我想一般人來說,大家都可能會這樣想的,一般人都若果沒有任何天災還禍,也都沒有若果你身體裡面不知道有什麼隱性心臟病,什麼基因有什麼特別問題,
[00:02:02.500 --> 00:02:09.500]  若果沒有這些東西的話,一般人應該都活到老年的,你都認為你自己應該活到老年的,是吧?
[00:02:09.500 --> 00:02:12.500]  我估計我們都可能有七十歲,八十歲。
[00:02:12.500 --> 00:02:18.500]  上年香港有一個報告,就講香港人的平均壽命。
[00:02:18.500 --> 00:02:26.500]  男的多少歲?七十?多一點,八十一點三二歲。
[00:02:26.500 --> 00:02:35.500]  女的高一點,女的多少呢?八十七點三四歲,超過了一半,以前日本長壽一點,現在香港超過了。
[00:02:35.500 --> 00:02:42.500]  所以我估計大家應該都有七十多八十歲左右的壽命。
[00:02:42.500 --> 00:02:47.500]  所以我們都會慢慢漸漸邁向衰老的情況。
