
[00:00:00.000 --> 00:00:04.280]  我們再一次去讀今天一段聖經
[00:00:04.280 --> 00:00:06.560]  然後我們再一起禱告
[00:00:06.560 --> 00:00:11.920]  我們讀《史能傳》第二章
[00:00:11.920 --> 00:00:14.400]  我們讀後面那幾節
[00:00:14.400 --> 00:00:27.520]  我們讀32至36節
[00:00:27.520 --> 00:00:29.760]  我們讀這五節聖經
[00:00:29.760 --> 00:00:31.240]  預備起
[00:00:31.240 --> 00:00:33.400]  這裡彼得說到
[00:00:33.400 --> 00:00:34.880]  去到的終結
[00:00:34.880 --> 00:00:35.520]  他說
[00:00:35.520 --> 00:00:37.960]  耶穌基督已經從死裡復活
[00:00:37.960 --> 00:00:40.320]  他們也為這件事作見證
[00:00:40.320 --> 00:00:43.040]  按照大衛在詩篇的預言
[00:00:43.040 --> 00:00:45.640]  耶穌基督已經從死裡復活
[00:00:45.640 --> 00:00:51.440]  被神高舉到他的右邊坐著
[00:00:51.440 --> 00:00:53.920]  他也按神所應許給他的聖靈
[00:00:53.920 --> 00:00:57.000]  將聖靈囂冠下來
[00:00:57.000 --> 00:00:58.160]  聖經裡面說
[00:00:58.160 --> 00:01:04.000]  耶穌基督這個被釘死而復活的主
[00:01:04.000 --> 00:01:08.360]  他已經是為主為基督
[00:01:08.360 --> 00:01:09.760]  為主為基督
[00:01:09.760 --> 00:01:11.680]  對以色列人聽到
[00:01:11.680 --> 00:01:13.920]  對我們今天的意義是什麼呢?
[00:01:13.920 --> 00:01:16.960]  今天我們會從這段聖經看到
[00:01:16.960 --> 00:01:18.960]  耶穌為主為基督
[00:01:18.960 --> 00:01:21.960]  對我們是何等重要的一個訊息
[00:01:21.960 --> 00:01:23.240]  我們一起禱告
[00:01:27.680 --> 00:01:29.280]  天父上帝
[00:01:29.280 --> 00:01:32.280]  當我們俯伏在祢面前
[00:01:32.280 --> 00:01:36.040]  我們感覺知道自己的卑微
[00:01:36.040 --> 00:01:40.920]  但當我們舉目仰望尊榮的上帝的時候
[00:01:40.920 --> 00:01:44.560]  我們又感受到我們是何等的尊貴
[00:01:44.560 --> 00:01:48.680]  因為我們卑微的生命是祢創造
[00:01:48.680 --> 00:01:50.240]  我們縱然有限
[00:01:50.240 --> 00:01:52.080]  但祢是無限
[00:01:52.080 --> 00:01:58.600]  祢要使用我們這些雅氣、小人物
[00:01:58.600 --> 00:02:00.960]  去為我們成就大事
[00:02:00.960 --> 00:02:03.040]  好像今天我們讀這段經文
[00:02:03.040 --> 00:02:04.840]  祢怎樣使用彼得
