
[00:00:00.000 --> 00:00:01.300]  好 頂節目平安
[00:00:01.300 --> 00:00:04.240]  我們今天去思考一下
[00:00:04.240 --> 00:00:06.980]  信得有把握有確據
[00:00:06.980 --> 00:00:10.180]  我看到Michelle用小朋友的那個
[00:00:10.180 --> 00:00:12.440]  我想她現在應該長大了
[00:00:12.440 --> 00:00:13.740]  我記得網上看過
[00:00:13.740 --> 00:00:15.000]  小朋友已經長大了很多
[00:00:15.000 --> 00:00:17.540]  所以現在的拳頭比較厲害
[00:00:17.540 --> 00:00:20.680]  顯示那份的把握和確據
[00:00:20.680 --> 00:00:23.240]  同時幫助我們今天去學習
[00:00:23.240 --> 00:00:25.480]  如何信得有把握有確據
[00:00:25.480 --> 00:00:28.000]  我們一起祈禱
[00:00:28.000 --> 00:00:29.240]  親愛的主人 我們要多謝你
[00:00:29.240 --> 00:00:31.040]  讓我們藉著你的說話
[00:00:31.040 --> 00:00:32.540]  去建立我們的生命
[00:00:32.540 --> 00:00:36.080]  幫助我們更加堅定地依靠你自己
[00:00:36.080 --> 00:00:39.380]  求你這樣帶領我們一起去思考
[00:00:39.380 --> 00:00:41.440]  創世紀和希伯來書
[00:00:41.440 --> 00:00:42.480]  就求你幫助我們
[00:00:42.480 --> 00:00:43.540]  聽我們祈禱
[00:00:43.540 --> 00:00:45.640]  奉耶穌名字而求
[00:00:45.640 --> 00:00:46.600]  阿們
[00:00:46.600 --> 00:00:52.240]  不知道大家有沒有玩過這個遊戲
[00:00:52.240 --> 00:00:54.140]  就叫夾公仔機
[00:00:54.140 --> 00:00:55.480]  有多少人玩過夾公仔機的
[00:00:55.480 --> 00:00:56.440]  請你舉手
[00:00:56.440 --> 00:00:59.640]  碧姐 Jenny Rose
[00:00:59.640 --> 00:01:00.980]  全部都有玩過
[00:01:00.980 --> 00:01:02.980]  這些不是年輕人的玩意
[00:01:02.980 --> 00:01:04.580]  用心也有玩過
[00:01:04.580 --> 00:01:06.980]  荔園
[00:01:06.980 --> 00:01:09.780]  有些人不知道什麼是荔園
[00:01:09.780 --> 00:01:10.740]  荔園年代
[00:01:10.740 --> 00:01:12.780]  你暴露了你的秘密
[00:01:12.780 --> 00:01:15.380]  我也知道你在說什麼
[00:01:15.380 --> 00:01:17.040]  我當時還很小
[00:01:17.040 --> 00:01:22.280]  現在又不同
[00:01:22.280 --> 00:01:24.540]  現在的夾公仔機和以前很不一樣
[00:01:24.540 --> 00:01:28.280]  這裏給大家看一幅圖
[00:01:28.280 --> 00:01:29.640]  夾公仔
[00:01:29.640 --> 00:01:34.480]  夾公仔這個玩意蠻流行的
[00:01:34.480 --> 00:01:35.980]  很多人都玩
[00:01:35.980 --> 00:01:37.580]  不過我想問一個問題
[00:01:37.580 --> 00:01:40.740]  你知不知道日本 香港和美國的夾公仔機
[00:01:40.740 --> 00:01:42.480]  有什麼分別
[00:01:42.480 --> 00:01:45.780]  或者你去玩的時候有什麼明顯分別
[00:01:45.780 --> 00:01:48.680]  你有沒有玩過美國的夾公仔機
[00:01:48.680 --> 00:01:49.380]  沒有玩過
[00:01:49.380 --> 00:01:50.680]  美國沒有玩過嗎
[00:01:50.680 --> 00:01:52.380]  只有這兩個玩過
[00:01:52.380 --> 00:01:54.180]  那你通常去哪裏玩
[00:01:54.180 --> 00:01:55.480]  那些玩偶不同
[00:01:55.480 --> 00:01:57.180]  當然不同
[00:01:57.180 --> 00:02:01.480]  你知不知道最多人去哪個國家玩夾公仔機
[00:02:01.480 --> 00:02:03.080]  日本 香港和美國
[00:02:03.080 --> 00:02:04.480]  日本
[00:02:04.480 --> 00:02:08.280]  重點就是為什麼這麼多人喜歡去日本玩夾公仔機
[00:02:08.280 --> 00:02:09.880]  容易夾到
[00:02:09.880 --> 00:02:11.280]  玩偶好看一點
[00:02:11.280 --> 00:02:13.580]  多一點款式
[00:02:13.580 --> 00:02:15.180]  無論怎樣也好
[00:02:15.180 --> 00:02:15.980]  最重要是什麼
