
[00:00:00.000 --> 00:00:07.960]  有一個青年人帶著新婚太太回來探望他自己的婆婆
[00:00:07.960 --> 00:00:13.080]  他婆婆是跟他一直生活的,跟他們一起住
[00:00:13.080 --> 00:00:17.560]  婆婆是幫助爸爸媽媽照顧青年人
[00:00:17.560 --> 00:00:20.000]  所以青年人很疼愛婆婆
[00:00:20.000 --> 00:00:22.880]  後來青年人大了之後,他自己結了婚
[00:00:22.880 --> 00:00:25.680]  成家立室在其他地方工作
[00:00:25.680 --> 00:00:28.160]  這次他回來探望婆婆
[00:00:28.160 --> 00:00:30.160]  他知道婆婆年紀大了
[00:00:30.160 --> 00:00:36.160]  他就不在家裏住,搬到老人家居住
[00:00:36.160 --> 00:00:37.840]  於是他打電話給婆婆
[00:00:37.840 --> 00:00:41.040]  他說:婆婆,我回來要來探望你
[00:00:41.040 --> 00:00:43.600]  婆婆說:好呀,我想你來
[00:00:43.600 --> 00:00:45.840]  不過我教你怎樣來
[00:00:45.840 --> 00:00:48.880]  婆婆說:我是住13樓的
[00:00:48.880 --> 00:00:54.000]  不過我們這個大廈沒有13樓,只有14樓
[00:00:54.000 --> 00:00:59.840]  所以你進來的時候,用你的手肘去碰14樓
[00:00:59.840 --> 00:01:03.160]  有個按鈕按14樓,我就會開門
[00:01:03.160 --> 00:01:06.520]  開門之後,你進去坐電梯
[00:01:06.520 --> 00:01:10.800]  坐電梯的時候,你用的手肘又要碰14號
[00:01:10.800 --> 00:01:13.440]  14號就上到我這裏
[00:01:13.440 --> 00:01:17.360]  青年人說:婆婆,我明白,我明白現在的樓是這樣的
[00:01:17.360 --> 00:01:21.240]  不過我不明白,為甚麼要用手肘來按呢?
[00:01:21.240 --> 00:01:22.880]  而不是用手指來按呢?
[00:01:22.880 --> 00:01:27.040]  婆婆就跟他說:你為甚麼會問這個問題?
[00:01:27.040 --> 00:01:28.800]  你這麼遠來探望婆婆
[00:01:28.800 --> 00:01:33.000]  你不是兩隻手都拿著很多東西來探望婆婆的嗎?
[00:01:33.000 --> 00:01:37.480]  所以你就用手肘來推門和按
[00:01:37.480 --> 00:01:39.880]  今天我和各位一起的思想就是
[00:01:39.880 --> 00:01:42.520]  我們來到愛我們的主的面前
[00:01:42.520 --> 00:01:46.640]  亦都是愛我們的教會的面前
[00:01:46.640 --> 00:01:50.960]  我們來到這個地方,我們帶了些甚麼來呢?
[00:01:50.960 --> 00:01:53.400]  今天我想和各位一起的思想
[00:01:53.400 --> 00:01:57.400]  在三十年之後,我們怎樣去建造教會呢?
[00:01:57.400 --> 00:01:59.440]  如何再建造教會?
[00:01:59.440 --> 00:02:02.480]  建造教會是要帶一些東西來建造教會的
[00:02:02.480 --> 00:02:04.240]  我們是帶了些甚麼東西來?
[00:02:04.240 --> 00:02:05.520]  我們又有沒有帶?
