
[00:00:00.000 --> 00:00:02.000]  中文字幕:Sky Vision Media
[00:00:30.000 --> 00:00:35.320]  「葉子也不枯幹,凡他所作的,盡都順利」
[00:00:35.320 --> 00:00:36.680]  經文告訴我們
[00:00:36.680 --> 00:00:37.880]  只要作義人
[00:00:37.880 --> 00:00:42.440]  「葉子也不枯幹,凡他所作的,盡都順利」
[00:00:42.440 --> 00:00:45.080]  但在現實裡卻不是這樣
[00:00:45.080 --> 00:00:47.920]  因為義人的生活未必一切平順
[00:00:47.920 --> 00:00:51.200]  而有時惡人反而一帆風順
[00:00:51.200 --> 00:00:53.880]  到詩篇第三篇第一節
[00:00:53.880 --> 00:00:56.200]  義人都被困難所環繞
[00:00:56.200 --> 00:01:00.400]  他說:「耶和華啊!我的敵人何其加增?」
[00:01:00.400 --> 00:01:02.520]  接著的一百四十多篇詩篇
[00:01:02.520 --> 00:01:06.000]  描述了生命裡充滿了各樣的境況
[00:01:06.000 --> 00:01:10.000]  詩人就是在讚美、哀求、質問
[00:01:10.000 --> 00:01:13.360]  求赦免和感恩的當中前行
[00:01:13.360 --> 00:01:16.560]  這就是生命真實的寫照
[00:01:16.560 --> 00:01:20.040]  詩篇第一篇講述義人和惡人的生活
[00:01:20.040 --> 00:01:22.400]  表現和結局上的比較
[00:01:22.400 --> 00:01:24.600]  這是全卷詩篇的開首
[00:01:24.600 --> 00:01:26.920]  亦要表達神關注義人
[00:01:26.920 --> 00:01:29.360]  並且和他們有特別的關係
[00:01:29.360 --> 00:01:31.560]  選擇作義人或作惡人
[00:01:31.560 --> 00:01:33.800]  是你和我生命的選擇
[00:01:33.800 --> 00:01:36.400]  而人唯有紮根在神的話語
[00:01:36.400 --> 00:01:40.040]  在大小的艱難裡經歷有神的同在
[00:01:40.040 --> 00:01:42.600]  才可以在患難中不倒下
[00:01:42.600 --> 00:01:43.920]  整卷詩篇
[00:01:43.920 --> 00:01:47.920]  詩人在最後以一篇讚美詩去總結一生
[00:01:47.920 --> 00:01:51.000]  去回顧上帝在當中的作為
[00:01:51.000 --> 00:01:53.600]  詩篇一百五十篇一到二節說
[00:01:53.600 --> 00:01:55.520]  你們要讚美耶和華
[00:01:55.520 --> 00:01:57.840]  在神的聖所讚美祂
[00:01:57.840 --> 00:02:00.880]  在祂顯能力的窮倉讚美祂
[00:02:00.880 --> 00:02:03.800]  要因祂的大能作為讚美祂
[00:02:03.800 --> 00:02:07.080]  按著祂極美的大德讚美祂
[00:02:07.080 --> 00:02:07.960]  兄弟姐妹
[00:02:07.960 --> 00:02:10.040]  在生命的跌宕當中
[00:02:10.040 --> 00:02:13.240]  你有勇氣和信心選擇做義人嗎?
