
[00:00:00.000 --> 00:00:04.640]  今日講嘅訊息係我哋喺尋求營嘅時候出現過嘅
[00:00:04.640 --> 00:00:06.640]  呢個經文同埋訊息
[00:00:06.640 --> 00:00:09.640]  咁我哋讀下今日嘅經文
[00:00:09.640 --> 00:00:14.640]  我哋個題目叫「敬畏靠近神」
[00:00:14.640 --> 00:00:19.440]  我記得係童工領袖嘅時候都有個呼求
[00:00:19.440 --> 00:00:24.240]  就係呼求我哋唔好好似百姓咁好驚唔敢去親近神
[00:00:24.240 --> 00:00:28.840]  反而好似摩西咁樣帶住一個敬畏嘅心去貼近佢嘅主
[00:00:28.840 --> 00:00:30.840]  讓呢個經文鼓勵我哋
[00:00:30.840 --> 00:00:33.840]  讀我哋今日講嘅經文之前
[00:00:33.840 --> 00:00:35.840]  我哋先讀第十九章好嗎
[00:00:35.840 --> 00:00:37.840]  睇下個背景
[00:00:37.840 --> 00:00:40.840]  《出埃及記》第十九章一至到九節
[00:00:40.840 --> 00:00:44.840]  同埋十六至到廿一節
[00:00:44.840 --> 00:00:48.840]  好 大家知道呢個背景
[00:00:48.840 --> 00:00:55.840]  其實係神帶領以色列民出埃及去到曠野向地顯現
[00:00:55.840 --> 00:00:58.840]  咁你睇到百姓好驚喺呢個情況下
[00:00:58.840 --> 00:01:04.840]  十八至廿一呢四節聖經其實係好公正嘅
[00:01:04.840 --> 00:01:10.840]  喺文學上係一個首尾呼應交叉平衡嘅經文
[00:01:10.840 --> 00:01:12.840]  一陣可以睇下PowerPoint
[00:01:12.840 --> 00:01:14.840]  成個重心都要講
[00:01:14.840 --> 00:01:17.840]  我想講下我哋親近神
[00:01:17.840 --> 00:01:21.840]  我覺得神係呼喚我哋去親近佢 靠近佢
[00:01:21.840 --> 00:01:27.840]  呢度你頭先讀嘅聖經係神好似鷹咁將百姓擺喺背脊
[00:01:27.840 --> 00:01:31.840]  帶佢嚟到去到神嘅面前 歸喺神嘅名下
[00:01:31.840 --> 00:01:34.840]  其實係想我哋更加去親近佢
[00:01:34.840 --> 00:01:36.840]  大家知道呢個背景係
[00:01:36.840 --> 00:01:40.840]  以色列民喺埃及四百幾年
[00:01:40.840 --> 00:01:43.840]  其實係過關為奴嘅生活
[00:01:43.840 --> 00:01:49.840]  其實被壓榨 被法老王好多嘅逼佢做苦工
[00:01:49.840 --> 00:01:51.840]  仲殺害所有投生的
[00:01:51.840 --> 00:01:54.840]  大家知道嗰陣時以色列民真係好慘
[00:01:54.840 --> 00:01:59.840]  係神直著摩西請救呢班以色列民嚟到佢嘅面前
[00:01:59.840 --> 00:02:02.840]  與神嘅子民 即係以色列民納約
[00:02:02.840 --> 00:02:04.840]  成為聖結嘅國度
[00:02:04.840 --> 00:02:07.840]  頭先你讀嘅十九章我又講
[00:02:07.840 --> 00:02:09.840]  如果你聽我嘅話 你歸喺我名下
[00:02:09.840 --> 00:02:13.840]  就會成為祭司嘅國度 聖結嘅國民
[00:02:13.840 --> 00:02:18.840]  即係神要同我哋納約 要叫我哋成為萬國嘅祝福
[00:02:18.840 --> 00:02:23.840]  因為呢個係神紀念阿伯拉罕嘅英許
[00:02:23.840 --> 00:02:28.840]  由創世紀開始 阿多哈瓦犯罪被趕出伊甸園
[00:02:28.840 --> 00:02:33.840]  跟住羅亞嘅時代滅咗嗰一代 羅亞一家
[00:02:33.840 --> 00:02:36.840]  直到而家阿伯拉罕嘅英許
[00:02:36.840 --> 00:02:39.840]  而家神就按住佢嘅英許同埋慈愛
[00:02:39.840 --> 00:02:42.840]  去請救以色列民離開埃及
[00:02:42.840 --> 00:02:44.840]  要成為喺神嘅國度
[00:02:44.840 --> 00:02:47.840]  要成為成為萬國祝福嘅一個群體
[00:02:47.840 --> 00:02:49.840]  其實係咁嘅背景
[00:02:49.840 --> 00:02:55.840]  佢哋嚟到山下 摩西就頒下十誡 頒下神嘅律法
[00:02:55.840 --> 00:02:56.840]  同佢哋納約
[00:02:56.840 --> 00:03:02.840]  呢個聖經講 但係百姓睇到呢啲警方聽見雷轟
[00:03:02.840 --> 00:03:05.840]  又聽見又睇見 驚唔驚呀
[00:03:05.840 --> 00:03:08.840]  如果你睇緊讀十九章 十六節嗰度
[00:03:08.840 --> 00:03:13.840]  有雷轟 閃電 好似狂風暴雨咁樣
[00:03:13.840 --> 00:03:17.840]  抹雲啦 冇雨水 不過有雷電
[00:03:17.840 --> 00:03:20.840]  唔知你有冇聽過閃電 有冇聽過雷轟呢
[00:03:20.840 --> 00:03:23.840]  真係好 我聽過好大聲 好似爆炸咁樣
[00:03:23.840 --> 00:03:27.840]  好驚呀其實 即係你如果喺街如果冇地方遮掩
[00:03:27.840 --> 00:03:29.840]  佢係喺曠野嗰度
[00:03:29.840 --> 00:03:31.840]  我諗係好得人驚呀真係
[00:03:31.840 --> 00:03:35.840]  而且有冇煙呀 有 有冇火呀 有
[00:03:35.840 --> 00:03:39.840]  仲要點呀 遍山大大地震動喎
[00:03:39.840 --> 00:03:42.840]  震動喎 地震咁喎
[00:03:42.840 --> 00:03:44.840]  真係好得人驚呀其實
[00:03:44.840 --> 00:03:48.840]  跟住呢有角星 高而又高 再高
[00:03:48.840 --> 00:03:50.840]  嘩 所以你睇到其實係好嘈嘅
[00:03:50.840 --> 00:03:53.840]  有雷轟呀 有光閃電呀
[00:03:53.840 --> 00:03:56.840]  嘩 跟住有角星呀 地震動呀
[00:03:56.840 --> 00:03:59.840]  有火呀 冒煙呀 應該聞到啲味㗎
[00:03:59.840 --> 00:04:01.840]  有味覺 即係成個身體
[00:04:01.840 --> 00:04:03.840]  嘩 你睇個景況真係好得人驚呀
[00:04:03.840 --> 00:04:07.840]  我諗佢哋百姓驚呢係好自然㗎其實
