
[00:00:00.000 --> 00:00:02.000]  你們有沒有吃過這種餐?
[00:00:02.000 --> 00:00:09.000]  有嗎?真的有吃過嗎?誰吃過?
[00:00:09.000 --> 00:00:17.000]  這裏就是菜牌
[00:00:17.000 --> 00:00:19.000]  但是你知不知道這間店舖的名字叫什麼?
[00:00:19.000 --> 00:00:22.000]  很小的吧?
[00:00:22.000 --> 00:00:25.000]  五餅二魚小館
[00:00:25.000 --> 00:00:28.000]  你那裏在哪裏來的?
[00:00:31.000 --> 00:00:33.000]  你看看價錢在哪裏這麼貴
[00:00:33.000 --> 00:00:37.000]  在台灣
[00:00:37.000 --> 00:00:39.000]  如果你有機會去台灣,可以試試去找找
[00:00:39.000 --> 00:00:44.000]  九六市西平路145號
[00:00:44.000 --> 00:00:49.000]  上星期我們有一對短線隊去了台灣
[00:00:49.000 --> 00:00:51.000]  剛剛回來平安
[00:00:51.000 --> 00:00:53.000]  那你說台灣我去不了
[00:00:53.000 --> 00:00:55.000]  這間你們有沒有去過?
[00:00:58.000 --> 00:01:00.000]  在 Rollin Heights 有沒有去過?
[00:01:00.000 --> 00:01:01.000]  有沒有誰去過?
[00:01:01.000 --> 00:01:03.000]  有嗎?真的去過嗎?
[00:01:03.000 --> 00:01:05.000]  吃過嗎?
[00:01:05.000 --> 00:01:07.000]  很久以前了
[00:01:07.000 --> 00:01:09.000]  不知道現在還在不在這裏
[00:01:09.000 --> 00:01:15.000]  所以今天我跟大家
[00:01:15.000 --> 00:01:17.000]  說什麼呢?你猜
[00:01:17.000 --> 00:01:19.000]  是囉
[00:01:19.000 --> 00:01:23.000]  這個在《老九福音九章》
[00:01:23.000 --> 00:01:25.000]  十至十七節記載的一段經文
[00:01:25.000 --> 00:01:27.000]  很熟悉的了,我相信
[00:01:28.000 --> 00:01:30.000]  但是既然是
[00:01:30.000 --> 00:01:32.000]  我們說的是《老九福音》
[00:01:32.000 --> 00:01:34.000]  應該說一下
[00:01:34.000 --> 00:01:36.000]  特別的地方就是因為
[00:01:36.000 --> 00:01:38.000]  除了主耶穌復活的記載之外
[00:01:38.000 --> 00:01:42.000]  四本福音都一樣有記的事跡
[00:01:42.000 --> 00:01:44.000]  其實不是很多
[00:01:44.000 --> 00:01:46.000]  有些三本記,有些兩本
[00:01:46.000 --> 00:01:48.000]  很多有三本
[00:01:48.000 --> 00:01:50.000]  對觀福音很多時候都有記的事跡
[00:01:50.000 --> 00:01:52.000]  讓福音沒有記
[00:01:52.000 --> 00:01:54.000]  但是四本福音都有記的
[00:01:54.000 --> 00:01:56.000]  就不是很多
[00:01:58.000 --> 00:02:00.000]  復活固然是很重要
[00:02:00.000 --> 00:02:02.000]  所以四本福音書都有記
[00:02:02.000 --> 00:02:04.000]  五餅二魚
[00:02:04.000 --> 00:02:06.000]  其中一個事跡
[00:02:06.000 --> 00:02:08.000]  是四本福音書都有記的
[00:02:08.000 --> 00:02:10.000]  可見
[00:02:10.000 --> 00:02:12.000]  在初期的教會裏面
[00:02:12.000 --> 00:02:14.000]  帶來一個很重要的影響力
[00:02:14.000 --> 00:02:18.000]  在五餅二魚的事跡裏面
[00:02:18.000 --> 00:02:20.000]  深深
[00:02:20.000 --> 00:02:22.000]  令到日後的門徒
[00:02:22.000 --> 00:02:26.000]  和初期的教會
[00:02:26.000 --> 00:02:28.000]  有很多的正面影響
[00:02:28.000 --> 00:02:32.000]  事實上一直以來
[00:02:32.000 --> 00:02:34.000]  基督教的傳統裏面
[00:02:34.000 --> 00:02:36.000]  五餅二魚
[00:02:36.000 --> 00:02:38.000]  是很熟悉的
[00:02:38.000 --> 00:02:40.000]  很多文藝
[00:02:40.000 --> 00:02:42.000]  特別是藝術品
[00:02:42.000 --> 00:02:44.000]  例如書室
[00:02:44.000 --> 00:02:46.000]  他們用五餅二魚作題目
[00:02:46.000 --> 00:02:50.000]  精美的藝術品等等
[00:02:50.000 --> 00:02:52.000]  都有很多是用這個主題製作
[00:02:54.000 --> 00:02:56.000]  所以是一個
[00:02:56.000 --> 00:02:58.000]  我們很耳熟能詳
[00:02:58.000 --> 00:03:00.000]  但亦是很重要的事跡
[00:03:00.000 --> 00:03:02.000]  所以今早我們雖然熟悉
[00:03:02.000 --> 00:03:04.000]  不過亦有在座
[00:03:04.000 --> 00:03:06.000]  一些未信主或初信主的朋友
[00:03:06.000 --> 00:03:08.000]  頂姊妹
[00:03:08.000 --> 00:03:10.000]  或未必很熟悉
[00:03:10.000 --> 00:03:12.000]  我們可以仔細看一看
[00:03:12.000 --> 00:03:14.000]  經文的記載
[00:03:14.000 --> 00:03:16.000]  一同在當中領受
[00:03:16.000 --> 00:03:18.000]  神秘我們的話語
[00:03:18.000 --> 00:03:20.000]  麥克風再開大聲一點
[00:03:22.000 --> 00:03:24.000]  我們一齊讀一讀
[00:03:24.000 --> 00:03:26.000]  由路加福第九章
[00:03:26.000 --> 00:03:28.000]  第十節至第十七節
[00:03:28.000 --> 00:03:30.000]  我們與聖讀出
[00:03:30.000 --> 00:03:32.000]  請讀
[00:03:32.000 --> 00:03:34.000]  司徒回來
[00:03:34.000 --> 00:03:36.000]  將所做的事告訴耶穌
[00:03:36.000 --> 00:03:38.000]  耶穌就帶他們
[00:03:38.000 --> 00:03:40.000]  暗暗地離開那裏
[00:03:40.000 --> 00:03:42.000]  往一座城去
[00:03:42.000 --> 00:03:44.000]  那城名叫白菜大
[00:03:44.000 --> 00:03:48.000]  那萬眾人知道了
[00:03:48.000 --> 00:03:50.000]  就跟著他去
[00:03:50.000 --> 00:03:52.000]  耶穌便
[00:03:52.000 --> 00:03:54.000]  接待他們
[00:03:54.000 --> 00:03:56.000]  對他們講論
[00:03:56.000 --> 00:03:58.000]  上帝的國
[00:03:58.000 --> 00:04:00.000]  醫治那些
[00:04:00.000 --> 00:04:02.000]  須醫的人
[00:04:02.000 --> 00:04:04.000]  這裏開始說司徒
[00:04:04.000 --> 00:04:06.000]  司徒回來
[00:04:06.000 --> 00:04:08.000]  在哪裏回來
[00:04:08.000 --> 00:04:10.000]  如果你看上文就知道
[00:04:10.000 --> 00:04:12.000]  耶穌差遣他們
[00:04:12.000 --> 00:04:14.000]  這十二個司徒
[00:04:14.000 --> 00:04:16.000]  去到附近以色列的地方
