
[00:00:00.000 --> 00:00:02.360]  我們會先從一段聖經開始
[00:00:02.360 --> 00:00:07.800]  就是《耶利米蘇》35章12節到16節
[00:00:07.800 --> 00:00:08.640]  那裡是這樣說的
[00:00:08.640 --> 00:00:13.040]  那裡耶利華的話臨到耶利米蘇
[00:00:13.040 --> 00:00:16.320]  萬君之耶華以色列的神這樣說
[00:00:16.320 --> 00:00:20.400]  你去對猶大人和耶路撒冷的居民說
[00:00:20.400 --> 00:00:23.600]  你們不接受管教不聽我的話
[00:00:23.600 --> 00:00:25.440]  這是耶利華的宣告
[00:00:25.440 --> 00:00:32.200]  他說:利甲的兒子約拿達吩咐他的子孫不可學走的話
[00:00:32.200 --> 00:00:34.120]  他們已經實行了
[00:00:34.120 --> 00:00:37.040]  他們直到今天都不學走
[00:00:37.040 --> 00:00:40.160]  因為他們聽從了他們祖先的吩咐
[00:00:40.160 --> 00:00:41.120]  至於我
[00:00:41.120 --> 00:00:43.120]  我不斷告誡你們
[00:00:43.120 --> 00:00:44.760]  你們卻不聽從我
[00:00:44.760 --> 00:00:46.640]  我不斷猜險我的僕人
[00:00:46.640 --> 00:00:48.960]  眾先知對你們哪裡去
[00:00:48.960 --> 00:00:51.480]  對你們說你們各人要悔改
[00:00:51.480 --> 00:00:53.000]  離開自己的惡道
[00:00:53.000 --> 00:00:54.880]  改正你們的行為
[00:00:54.880 --> 00:00:58.080]  不可隨從先鋒必臣
[00:00:58.080 --> 00:01:01.160]  這樣你們就可以住在我此級你們
[00:01:01.160 --> 00:01:03.800]  為你們列祖的土地上
[00:01:03.800 --> 00:01:08.680]  只是你們毫不在意也沒有聽從我
[00:01:08.680 --> 00:01:14.080]  利甲的兒子約拿達的子孫實行了他們祖先吩咐他們的命令
[00:01:14.080 --> 00:01:17.760]  但這人民沒有聽從我
[00:01:17.760 --> 00:01:20.280]  約拿達不是一個很重要的角色
[00:01:20.280 --> 00:01:21.880]  在聖經出現過兩次
[00:01:21.880 --> 00:01:24.360]  第一次出現是在《楊記》上
[00:01:24.360 --> 00:01:26.960]  記得我們上一個講道系列
[00:01:26.960 --> 00:01:28.320]  其實是講道《獵王記》
[00:01:28.320 --> 00:01:29.920]  講道以利亞的生平
[00:01:29.920 --> 00:01:31.520]  以利亞有一個夢想
[00:01:31.520 --> 00:01:34.840]  就是想將巴黎的敬拜完全拆毀
[00:01:34.840 --> 00:01:37.640]  但他其實沒有完成這個夢想
[00:01:37.640 --> 00:01:40.680]  其實到他後期的服侍
[00:01:40.680 --> 00:01:41.680]  神就說
[00:01:41.680 --> 00:01:43.520]  你是不會完成這個夢想的
[00:01:43.520 --> 00:01:45.240]  不過我告訴你我怎樣完成
[00:01:45.240 --> 00:01:47.040]  你就去勾勒一個人
[00:01:47.040 --> 00:01:48.320]  這個人叫耶護
[00:01:48.320 --> 00:01:51.880]  他就說你去勾勒這個人成為以色列下一任的王
[00:01:51.880 --> 00:01:53.640]  最後耶護
[00:01:53.640 --> 00:01:56.880]  反而是處理了巴黎敬拜的問題
[00:01:56.880 --> 00:01:58.000]  那麼約拿達是誰呢?
[00:01:58.000 --> 00:02:00.400]  約拿達就是那個在旁邊
[00:02:00.400 --> 00:02:02.600]  輔助耶護王
[00:02:02.600 --> 00:02:06.800]  去拆毀了整個以色列巴黎敬拜的人
[00:02:06.800 --> 00:02:10.640]  這是第一次聖經提到他的名字
[00:02:10.640 --> 00:02:13.000]  第二次聖經再提到他的名字
[00:02:13.000 --> 00:02:14.840]  就是今天我們讀的經文
[00:02:14.840 --> 00:02:17.760]  那時已經是240年之後了
[00:02:17.760 --> 00:02:21.160]  所以換句話說約拿達在處理了巴黎敬拜之後
[00:02:21.160 --> 00:02:25.200]  他為他的家族留下了一條家規
[00:02:25.200 --> 00:02:28.240]  很儒格的家規就是不可以喝酒
[00:02:28.240 --> 00:02:30.800]  這個當然不是以色列舊約的律法
