
[00:00:00.000 --> 00:00:02.480]  好,那說回我讀書的年代
[00:00:02.480 --> 00:00:04.940]  我讀書的年代,我大學的年代
[00:00:04.940 --> 00:00:09.920]  我的學校的校長就是剛剛去年過身的高分教授
[00:00:09.920 --> 00:00:12.320]  是啦,那就……
[00:00:12.320 --> 00:00:17.600]  大家都很熟悉,因爲都是一位我們都很尊敬的一位學者
[00:00:17.600 --> 00:00:21.720]  在我在學的時候,有兩件事我就特別有些印象
[00:00:21.720 --> 00:00:23.900]  特別在我背的同學裏面
[00:00:23.900 --> 00:00:27.740]  第一件事就是在他當年,1993年左右
[00:00:27.740 --> 00:00:31.820]  他就被委任港事顧問,大家都不知道是什麼
[00:00:31.820 --> 00:00:40.020]  就是一些要幫政府做一些聯繫,做一些意見
[00:00:40.020 --> 00:00:43.880]  但是我們當年,我是學生報的編輯
[00:00:43.880 --> 00:00:48.460]  我就覺得這些學校校長不應該碰這些的話
[00:00:48.460 --> 00:00:53.760]  應該獨立一點的,於是就有很多的反應
[00:00:53.760 --> 00:00:59.080]  於是有一次,校長就親身去到一個我們叫百萬大道
[00:00:59.080 --> 00:01:06.220]  有個全民大會,大家就一個人去面對很多同學的質詢
[00:01:06.220 --> 00:01:09.840]  很多的問題去答問
[00:01:09.840 --> 00:01:13.720]  一個人就在這裏答問題,去回應
[00:01:13.720 --> 00:01:18.280]  同年,也是剛剛學校30週年的時間
[00:01:18.280 --> 00:01:22.720]  就在那個開放日的典禮上面,發生一件事
[00:01:22.720 --> 00:01:26.680]  就當校長正正要出來去致辭的時候
[00:01:26.680 --> 00:01:34.800]  有些同學就搶咪,拉鞭,在那裏抗議
[00:01:34.800 --> 00:01:40.680]  有些擾亂,有些混亂,然後就平息了
[00:01:40.680 --> 00:01:48.560]  記者就問郭校長,校長校長你會不會懲處這班同學
[00:01:48.560 --> 00:01:51.680]  校長當時的答案就是,懲處?
[00:01:51.680 --> 00:01:54.560]  爲什麼我要懲處我的學生?
[00:01:54.560 --> 00:01:59.040]  事後呢,原來我們在很多不同的渠道知道
[00:01:59.040 --> 00:02:02.120]  其實有很多的聲音,很多的意見都說
[00:02:02.120 --> 00:02:05.240]  應該要嚴懲這班同學的
[00:02:05.240 --> 00:02:11.200]  但是,包括校長在內的幾位教授就一直堅持要不可以這樣去做
[00:02:11.200 --> 00:02:14.960]  最終就真的沒有去處罰
[00:02:14.960 --> 00:02:20.800]  後來,去到他去世之後,有一次訪問他太太
[00:02:20.800 --> 00:02:25.440]  黃美雲女士,在訪問的裏面,她又提起
[00:02:25.440 --> 00:02:31.240]  校長當年每一次跟同學激烈辯論之後
[00:02:31.240 --> 00:02:35.240]  回應很多質詢之後,回到家的時候
[00:02:35.240 --> 00:02:38.720]  她說記得她說過一句話
[00:02:38.720 --> 00:02:40.240]  說過一句話,她說
[00:02:40.240 --> 00:02:46.040]  是,做學生,什麼都反對,那些才叫學生
[00:02:46.040 --> 00:02:48.640]  就是這樣的,一個這樣的學者
[00:02:48.640 --> 00:02:51.320]  不單止是一位頂尖的學者
[00:02:51.320 --> 00:02:55.360]  更加是一位對我們來說是一個非常寬容
[00:02:55.360 --> 00:02:59.120]  非常大量,很有胸襟的一位君子
[00:02:59.120 --> 00:03:02.120]  當年當然沒有人說這些叫縱容
[00:03:02.120 --> 00:03:05.080]  不過我們說一個人
[00:03:05.080 --> 00:03:08.440]  說一個人是胸襟廣闊的時候
[00:03:08.440 --> 00:03:13.040]  我們通常是說這個人的那種修養
[00:03:13.040 --> 00:03:15.760]  說他那種的性情特質
[00:03:15.760 --> 00:03:20.000]  有句話叫「宰相的肚子裏撐得船」
[00:03:20.000 --> 00:03:23.240]  很有那個亮度,或者他見識很廣
[00:03:23.240 --> 00:03:26.360]  所以不會很執着去計較很多東西
[00:03:26.360 --> 00:03:28.200]  但我今天和大家說的就是
[00:03:28.200 --> 00:03:32.720]  在耶穌裏面,在我們神的國度的胸襟
[00:03:32.720 --> 00:03:36.480]  神的國度胸襟就不只是說我們的性情
[00:03:36.480 --> 00:03:39.960]  不是說我們究竟這個人是不是很大量
[00:03:39.960 --> 00:03:44.920]  是說我們在上帝的光照底下對主的國度
[00:03:44.920 --> 00:03:49.000]  和對我們自己生命那份的認識
[00:03:49.000 --> 00:03:51.600]  今天我會和大家用的例子就是
[00:03:51.600 --> 00:03:53.560]  施洗約翰的一生
[00:03:53.560 --> 00:03:56.400]  大家對這個人物不會太陌生
[00:03:56.400 --> 00:04:01.400]  因爲《聖經》也有一段篇章給他很多的篇幅
[00:04:01.400 --> 00:04:04.920]  特別的地方就是他未出世
[00:04:04.920 --> 00:04:08.160]  已經上帝將他一生的mission statement
[00:04:08.160 --> 00:04:12.680]  他將他生命的使命就和他爹說了
[00:04:12.680 --> 00:04:15.600]  和他的父親撒加里亞祭司說了
[00:04:15.600 --> 00:04:18.840]  在《路加芬》第一章裏面已經這樣提及
[00:04:18.840 --> 00:04:23.200]  我們見到這個job spec是非常偉大的
[00:04:23.200 --> 00:04:27.240]  就是要帶領人迴轉回神的裏面
[00:04:27.240 --> 00:04:32.200]  他要擁有先知以利亞那份的心智和能力
[00:04:32.200 --> 00:04:35.080]  說的是要帶來一個屬靈的復興
[00:04:35.080 --> 00:04:37.040]  而更加重要的是
[00:04:37.040 --> 00:04:40.520]  他要走到耶穌的前面做他的先鋒
[00:04:40.520 --> 00:04:45.200]  爲神去預備合用的百姓
[00:04:45.200 --> 00:04:48.000]  我們慢慢看約翰的生命
[00:04:48.000 --> 00:04:50.040]  他在成長之後
[00:04:50.040 --> 00:04:53.560]  他沒有留在聖殿裏面做祭司
[00:04:53.560 --> 00:04:59.680]  他反而是神呼召帶領了他去約旦河一帶的曠野地方
[00:04:59.680 --> 00:05:01.160]  在那裏教導民衆
[00:05:01.160 --> 00:05:05.760]  他說的信息在當時來說未必是很獨特
[00:05:05.760 --> 00:05:07.920]  他在說天國近了
[00:05:07.920 --> 00:05:09.920]  大家都需要去悔改
