
[00:00:00.000 --> 00:00:05.000]  這個出去了有一段時間
[00:00:05.000 --> 00:00:09.000]  這個回來之後就發現
[00:00:09.000 --> 00:00:13.000]  一下子又是土耳其大地震
[00:00:13.000 --> 00:00:18.000]  然後接著又是這個美國的這個
[00:00:18.000 --> 00:00:21.000]  Oxbury University的這個 revival
[00:00:21.000 --> 00:00:25.000]  哇 你就感覺上帝好像是在做一個大事
[00:00:25.000 --> 00:00:30.000]  有沒有 神好像在這個越來越感覺到
[00:00:30.000 --> 00:00:32.000]  這個是一個end time
[00:00:32.000 --> 00:00:36.000]  這是一個主來的日子越來越近了
[00:00:36.000 --> 00:00:41.000]  親愛的同志們 你我身在這一個時代
[00:00:41.000 --> 00:00:45.000]  你我是何等的友信
[00:00:45.000 --> 00:00:50.000]  歷世歷代的聖徒渴望主耶穌的再來
[00:00:50.000 --> 00:00:52.000]  等候主的再來
[00:00:52.000 --> 00:00:56.000]  凡是愛慕主的都渴望他再來 愛沒嗎
[00:00:56.000 --> 00:00:59.000]  親愛的同志們 我們是一群雖然在地上
[00:00:59.000 --> 00:01:03.000]  可是我們卻是仰望天家的人
[00:01:03.000 --> 00:01:05.000]  我們雖然在這個地上行走
[00:01:05.000 --> 00:01:10.000]  可是我們卻不與這個世界為伍 愛沒
[00:01:10.000 --> 00:01:16.000]  所以當我在思想這些所發生的事情的時候
[00:01:16.000 --> 00:01:22.000]  我今天要跟大家分享的其實是兩個主題
[00:01:22.000 --> 00:01:26.000]  所以我今天會特別著重復興
[00:01:26.000 --> 00:01:32.000]  下禮拜會著重宣教
[00:01:32.000 --> 00:01:36.000]  為什麼講這段聖經
[00:01:36.000 --> 00:01:40.000]  這個以塞亞書49章第五節到第六節
[00:01:40.000 --> 00:01:47.000]  這段聖經其實是我在神學院畢業 幕會了四年之後
[00:01:47.000 --> 00:01:53.000]  那時候我在尋求神到底是不是要帶領我們出去宣教
[00:01:53.000 --> 00:01:57.000]  我跟師母結婚才一年
[00:01:57.000 --> 00:02:03.000]  那麼就在有一次的禱告的中間 在讀經裡面
[00:02:03.000 --> 00:02:06.000]  神就給我這段聖經
[00:02:06.000 --> 00:02:09.000]  這段聖經其實我想很多人都練過
[00:02:09.000 --> 00:02:12.000]  但是我們仔細看這段聖經
[00:02:12.000 --> 00:02:15.000]  在這段聖經裡面講什麼呢
[00:02:15.000 --> 00:02:20.000]  他說 當然這段聖經裡面是預言耶穌基督
[00:02:20.000 --> 00:02:24.000]  所以他說耶和華從我出胎召救我做他的僕人
[00:02:24.000 --> 00:02:29.000]  要是雅各跪向他 是以色列到他那裡聚集
[00:02:29.000 --> 00:02:33.000]  原來耶和華看我為尊貴 我的神也成為我的力量
[00:02:33.000 --> 00:02:35.000]  這是僕人之歌
[00:02:35.000 --> 00:02:41.000]  接著他就說 他說現在你做我的僕人 做什麼呢
[00:02:41.000 --> 00:02:46.000]  使雅各眾支派復興
[00:02:46.000 --> 00:02:51.000]  以色列中得保全的歸回 看到沒有
[00:02:51.000 --> 00:02:55.000]  所以這邊講到以色列 這邊講到眾支派
