
[00:00:00.000 --> 00:00:04.840]  今天我們要說的就是巴勒斯坦的約
[00:00:04.840 --> 00:00:09.520]  巴勒斯坦的約我們先看看它的背景是什麼
[00:00:09.520 --> 00:00:15.160]  這個本來在西乃山所定的原先那個西乃山的約呢
[00:00:15.160 --> 00:00:16.960]  很快就破壞了
[00:00:16.960 --> 00:00:22.200]  因爲當摩西還在山上接受神的律法的時候
[00:00:22.200 --> 00:00:27.120]  山下的老百姓已經在做這個精油毒了
[00:00:27.120 --> 00:00:38.440]  所以這個等到這個西乃山這個約呢就這樣被破壞了
[00:00:38.440 --> 00:00:46.800]  那這個是在《出安節記》32章就看到這個當摩西還在山上
[00:00:46.800 --> 00:00:49.400]  他們等了好久的時候還沒下來
[00:00:49.400 --> 00:00:55.600]  所以他們就自己跟亞倫他們就做了一個精油毒
[00:00:55.600 --> 00:01:00.080]  就說這是領你們出哀悼的神
[00:01:00.080 --> 00:01:03.000]  那摩西下來的時候看見這個情況呢
[00:01:03.000 --> 00:01:10.880]  他就把在山上所領受的十條戒命那兩塊法板給摔碎了
[00:01:10.880 --> 00:01:15.400]  本來是要他們來敬拜也要伺奉也要伺奉神了
[00:01:15.400 --> 00:01:20.400]  現在他們要去伺奉這個假神伺奉這個精油毒
[00:01:20.400 --> 00:01:23.840]  所以摩西就把這兩塊法板摔碎了
[00:01:23.840 --> 00:01:28.720]  那這兩塊法板上面所寫的是十條戒命
[00:01:28.720 --> 00:01:35.200]  就是這個西乃山之約的一個重要的部分
[00:01:35.200 --> 00:01:43.080]  那這樣的話本來是西乃山的約就賜給他們律法
[00:01:43.080 --> 00:01:47.080]  但是現在他們就把這個約就破壞了
[00:01:47.080 --> 00:01:51.040]  所以這個十條戒命也就不存在了
[00:01:51.040 --> 00:01:55.520]  後來摩西得到神的啓示以後
[00:01:55.520 --> 00:01:59.840]  他又再上山再去領受這兩塊法板
[00:01:59.840 --> 00:02:02.840]  再把十條戒命領下來
[00:02:02.840 --> 00:02:07.040]  就在那個時候這個西乃山的時候
[00:02:07.040 --> 00:02:12.520]  老百姓這個百姓不知道神的本性
[00:02:12.520 --> 00:02:14.840]  神的聖潔的本性
[00:02:14.840 --> 00:02:18.960]  他也不明白自己這個罪性
[00:02:18.960 --> 00:02:24.200]  所以他們就是神就賜給他們這個約
[00:02:24.200 --> 00:02:30.080]  大家他們從這個約裏頭看到這個罪的可怕
[00:02:30.080 --> 00:02:34.320]  本來他們如果沒有這個約的話
[00:02:34.320 --> 00:02:37.080]  沒有一個標準來衡量他們的話
[00:02:37.080 --> 00:02:41.240]  那麼罪在他們裏面好像還看不見
[00:02:41.240 --> 00:02:43.880]  但是如果這個約一出來了
[00:02:43.880 --> 00:02:46.440]  提到不可這樣不可那樣的話
[00:02:46.440 --> 00:02:51.320]  他們一對照的話他們的罪就被攪動出來了
[00:02:51.320 --> 00:02:53.560]  好像是一杯水玻璃杯
[00:02:53.560 --> 00:02:56.760]  這個杯子裏頭有一杯水
[00:02:56.760 --> 00:02:59.040]  水裏頭有沉澱
[00:02:59.040 --> 00:03:01.040]  那麼你平時的話就看不出來
[00:03:01.040 --> 00:03:03.720]  好像面上的水都很乾淨的
[00:03:03.720 --> 00:03:07.480]  但是如果你在把杯子的水攪動一下的話
[00:03:07.480 --> 00:03:10.200]  那些沉澱都上來了
[00:03:10.200 --> 00:03:11.880]  這個水就污穢了
[00:03:11.880 --> 00:03:13.680]  就看到這個水了
[00:03:13.680 --> 00:03:20.000]  所以神給他們的西乃山之約把律法把誡命賜給他們
[00:03:20.000 --> 00:03:23.920]  是叫他們能夠看到自己有罪的
[00:03:23.920 --> 00:03:26.440]  看到神是聖潔的
[00:03:26.440 --> 00:03:31.960]  他們要從這個約裏頭來歸向神
[00:03:31.960 --> 00:03:33.600]  讓神來救他們
[00:03:33.600 --> 00:03:40.040]  那麼經過這個四十年
[00:03:40.040 --> 00:03:44.960]  他們這個約是經過四十年
[00:03:44.960 --> 00:03:49.680]  西乃山的約是他們出埃及第一年所定的
[00:03:49.680 --> 00:03:55.280]  那麼巴勒斯坦的約是在他們快四十年結束
[00:03:55.280 --> 00:03:58.280]  快要進迦南以前所定的
[00:03:58.280 --> 00:04:01.240]  所以中間有個四十年的時間
[00:04:01.240 --> 00:04:04.720]  那經過這四十年的曠野的漂流
[00:04:04.720 --> 00:04:11.160]  那麼以色列人終於來到這個迦南的邊界了
