
[00:00:00.000 --> 00:00:04.000]  今天和大家分享的聖經
[00:00:04.000 --> 00:00:09.200]  就是來自《路加福音》的其中一段
[00:00:09.200 --> 00:00:10.600]  最後這一段
[00:00:10.600 --> 00:00:13.400]  如果大家有留意
[00:00:13.400 --> 00:00:19.800]  基本上我們這段時間都是在講《路加福音》的主題
[00:00:19.800 --> 00:00:23.200]  今天到第十八章和第十九章
[00:00:23.200 --> 00:00:25.800]  將會講兩個故事
[00:00:25.800 --> 00:00:30.200]  兩個故事我相信大家都熟悉的
[00:00:30.200 --> 00:00:34.000]  一個是關於一個盲的人被耶穌醫好開了眼
[00:00:34.000 --> 00:00:40.400]  第二個故事跟著的就是瑞利長薩戈
[00:00:40.400 --> 00:00:42.800]  耶穌和他相遇
[00:00:42.800 --> 00:00:46.400]  為什麼要將這兩個故事一起講呢?
[00:00:46.400 --> 00:00:49.200]  有一個很重要的原因就是
[00:00:49.200 --> 00:00:54.200]  因為有一個城市將這兩個故事串在一起
[00:00:54.200 --> 00:00:56.200]  就是耶利哥
[00:00:56.200 --> 00:00:59.200]  耶穌在進入耶利哥之前
[00:00:59.200 --> 00:01:02.000]  與盲人核子相遇
[00:01:02.000 --> 00:01:03.400]  將他治好
[00:01:03.400 --> 00:01:05.400]  然後進入耶利哥
[00:01:05.400 --> 00:01:10.400]  與瑞利長薩戈相遇
[00:01:10.400 --> 00:01:14.200]  可以怎麼說呢?
[00:01:14.200 --> 00:01:17.000]  這兩個故事要放在一起
[00:01:17.000 --> 00:01:19.200]  也是《路加福音》的特色
[00:01:19.200 --> 00:01:25.800]  因為瑞利長薩戈的記載是在《路加福音》才有的
[00:01:25.800 --> 00:01:28.800]  可以說馬太、馬可、約翰都沒有講
[00:01:28.800 --> 00:01:33.800]  好像是《路加福音》刻意將這個故事串在盲人的故事一起
[00:01:33.800 --> 00:01:39.600]  然後我們發覺在薩戈的故事最後第十九章第十節
[00:01:39.600 --> 00:01:40.400]  有一句說話
[00:01:40.400 --> 00:01:44.800]  耶穌說:「人子來,謂要尋找拯救失喪的人」
[00:01:44.800 --> 00:01:47.800]  好像是一個總結
[00:01:47.800 --> 00:01:49.800]  如果我們再拉闊一點來看
[00:01:49.800 --> 00:01:52.800]  整個《路加福音》二十四章裏面
[00:01:52.800 --> 00:01:54.800]  中間有一大段落
