
[00:00:00.000 --> 00:00:05.000]  今天是父親節,我想問在座哪位父親的舉手好嗎?
[00:00:05.000 --> 00:00:11.000]  舉手,很好,我們先不要放下手
[00:00:11.000 --> 00:00:16.000]  今天我們會有一些父親節的禮物送給大家
[00:00:16.000 --> 00:00:18.000]  這個禮物是甚麼?
[00:00:18.000 --> 00:00:24.000]  龍爪手
[00:00:24.000 --> 00:00:27.000]  我們知道父親有多大壓力
[00:00:27.000 --> 00:00:31.000]  尤其是洗女兒氣你的時候,拿著那球扭一扭
[00:00:31.000 --> 00:00:33.000]  我們真的輸一輸壓
[00:00:33.000 --> 00:00:39.000]  做爸爸真的不容易
[00:00:39.000 --> 00:00:43.000]  我們做爸爸就知道有一件事
[00:00:43.000 --> 00:00:45.000]  做爸爸不容易,你看
[00:00:45.000 --> 00:00:49.000]  母親節派禮物是每個人都很舒服的
[00:00:49.000 --> 00:00:53.000]  我們父親節派禮物又要拋,又要接,又要舉手等那麼久
[00:00:53.000 --> 00:00:54.000]  左看右看
[00:00:54.000 --> 00:00:57.000]  拿完了嗎?拿完了,不單是這樣
[00:00:57.000 --> 00:01:02.000]  大家有沒有發覺父親節沒有母親節那麼大件事
[00:01:02.000 --> 00:01:04.000]  有沒有發覺好像是
[00:01:04.000 --> 00:01:08.000]  母親節看電視、看YouTube的廣告都出來了
[00:01:08.000 --> 00:01:11.000]  買車、買樓、買花、買裙、買袋,甚麼都有
[00:01:11.000 --> 00:01:14.000]  父親節極其量就買件恤衫而已
[00:01:14.000 --> 00:01:15.000]  極其量都是這樣
[00:01:15.000 --> 00:01:19.000]  你多可見到父親節會去服務買一輛車
[00:01:19.000 --> 00:01:25.000]  不會的,因為這些兒女很難會送老婆買一輛車還要開大會
[00:01:25.000 --> 00:01:27.000]  所以都很難的
[00:01:27.000 --> 00:01:29.000]  不單是這樣,父親節
[00:01:29.000 --> 00:01:32.000]  母親節、父親節我循例都會喝茶
[00:01:32.000 --> 00:01:37.000]  喝茶的時候,母親節通常都是尋找位置,正常
