
[00:00:00.000 --> 00:00:02.400]  很開心今天可以在這個週六崇拜
[00:00:02.400 --> 00:00:04.560]  和大家一起分享聖經
[00:00:04.560 --> 00:00:08.520]  多謝林牧師給我機會和大家一起分享
[00:00:08.520 --> 00:00:15.760]  一邊思想今天有什麼訊息可以一邊思想
[00:00:15.760 --> 00:00:20.280]  我就突然想起這一段很重要的經文
[00:00:20.280 --> 00:00:23.280]  其實如果大家讀聖經的時候
[00:00:23.280 --> 00:00:25.920]  你會發覺這一段聖經
[00:00:26.160 --> 00:00:30.000]  差不多是整個聖經裡關乎
[00:00:30.000 --> 00:00:35.400]  上帝自己對整個人類的救恩的歷史的起點
[00:00:35.400 --> 00:00:37.880]  是非常重要的
[00:00:37.880 --> 00:00:39.240]  大家要記得
[00:00:39.240 --> 00:00:41.000]  在新約的聖經
[00:00:41.000 --> 00:00:44.320]  馬太夫欽說到耶穌基督的家譜的時候
[00:00:44.320 --> 00:00:46.040]  記不記得馬太夫欽第一章
[00:00:46.040 --> 00:00:47.040]  他說
[00:00:47.040 --> 00:00:49.320]  「阿伯拉罕的子孫
[00:00:49.320 --> 00:00:51.400]  大衛的子孫
[00:00:51.400 --> 00:00:53.480]  耶穌基督的家譜」
[00:00:54.400 --> 00:00:58.920]  當保羅在羅馬書一路說到關於
[00:00:58.920 --> 00:01:02.160]  恩信清義的救恩的時候
[00:01:02.160 --> 00:01:04.240]  他說完一到三章
[00:01:04.240 --> 00:01:06.400]  說全人類都在罪的當中
[00:01:06.400 --> 00:01:07.480]  然後開始說
[00:01:07.480 --> 00:01:12.440]  整個世界都沒有辦法擺脫罪的權勢
[00:01:12.440 --> 00:01:15.360]  那麼上帝是用什麼方法去拯救人呢
[00:01:15.360 --> 00:01:17.760]  然後在第四章
[00:01:17.760 --> 00:01:20.320]  他就說「阿伯拉罕的信心」
[00:01:20.320 --> 00:01:21.920]  所以在保羅來說
[00:01:21.920 --> 00:01:23.280]  當他讀聖經
[00:01:23.640 --> 00:01:25.800]  當他在遇見耶穌基督之後
[00:01:25.800 --> 00:01:27.360]  知道這個
[00:01:27.360 --> 00:01:30.920]  是耶穌基督所帶來的這個福音
