
[00:00:00.000 --> 00:00:02.320]  最近我大女兒問我一個問題
[00:00:02.320 --> 00:00:04.640]  都幾貼身的
[00:00:04.640 --> 00:00:08.320]  就說她見電視新聞上面講
[00:00:08.320 --> 00:00:13.320]  現在香港人每人都有一萬元發落去銀行帳戶
[00:00:13.320 --> 00:00:16.240]  問為什麼我沒有?
[00:00:16.240 --> 00:00:18.320]  跟住我同她講你未夠18歲
[00:00:18.320 --> 00:00:21.720]  她計下數可能11年之後佢就有
[00:00:21.720 --> 00:00:24.080]  我話11年之後你未必有
[00:00:24.080 --> 00:00:27.440]  佢話好唔公平
[00:00:27.440 --> 00:00:31.080]  我諗番起我同我大女兒有時傾偈
[00:00:31.080 --> 00:00:34.000]  佢都會問一啲相關公平嘅事
[00:00:34.000 --> 00:00:37.720]  佢問過我點解你大人可以飲咖啡
[00:00:37.720 --> 00:00:40.680]  我又唔得呢?
[00:00:40.680 --> 00:00:43.000]  試下嘛
[00:00:43.000 --> 00:00:47.120]  我試一啲無咖啡因嘅比佢
[00:00:47.120 --> 00:00:49.040]  唔係夜晚就瞓唔著
[00:00:49.040 --> 00:00:51.040]  其實都好特別嘅事情
[00:00:51.040 --> 00:00:54.520]  做家長其實都要作為一個家庭裏面
[00:00:54.520 --> 00:00:57.640]  去帶領我哋嘅小朋友去教導我哋嘅小朋友
[00:00:57.640 --> 00:01:00.760]  都要面對好多關於公平嘅一件事情
[00:01:00.760 --> 00:01:03.040]  何況我哋喺教會
[00:01:03.040 --> 00:01:05.040]  喺我哋嘅職場社會當中
[00:01:05.040 --> 00:01:08.200]  同樣我哋要面對好多關於公平嘅事情
[00:01:08.200 --> 00:01:11.880]  今日喺聖經當中
[00:01:11.880 --> 00:01:15.080]  先知再次去提醒再次去督責
[00:01:15.080 --> 00:01:16.560]  作為領袖嘅
[00:01:16.560 --> 00:01:20.920]  我哋點樣睇上帝眼中嗰份公平
[00:01:20.920 --> 00:01:22.160]  首先講返尼加書
[00:01:22.160 --> 00:01:24.440]  尼加書係一個小仙之書
[00:01:24.440 --> 00:01:26.680]  佢嘅結構非常嘅清晰
[00:01:26.680 --> 00:01:29.200]  其實都係開頭嘅時候講到
[00:01:29.200 --> 00:01:33.080]  先知去講到一個審判嘅訊息
[00:01:33.080 --> 00:01:35.120]  但係都會講到一個復興
[00:01:35.120 --> 00:01:38.160]  將來要有盼望嘅一個訊息
[00:01:38.160 --> 00:01:40.640]  跟住今日第三章嘅內容裏面
[00:01:40.640 --> 00:01:43.000]  正正就係講到關於領袖
[00:01:43.000 --> 00:01:45.760]  你會見到裏面講到好多關於領袖嘅情況
[00:01:45.760 --> 00:01:49.160]  當然係講好多敗壞領袖嘅情況
[00:01:49.160 --> 00:01:51.720]  一到七節就講咗啲官長
[00:01:51.720 --> 00:01:56.680]  好敗壞呀佢哋 點樣去壓榨啲百姓
[00:01:56.680 --> 00:02:03.560]  跟住又講到啲先知點樣去敗壞
[00:02:03.560 --> 00:02:08.040]  九到十二就總結 又係講返嗰啲領袖點樣差
[00:02:08.040 --> 00:02:11.360]  但係第八節嗰度有一個特別嘅變化
[00:02:11.360 --> 00:02:14.360]  突然間講到尼加先知係點樣嘅呢
[00:02:14.360 --> 00:02:16.160]  既然嗰啲領袖咁敗壞
[00:02:16.160 --> 00:02:18.880]  但係尼加竟然係靠住神嘅靈
[00:02:18.880 --> 00:02:25.040]  行出呢啲嘅公平能力同埋嗰份嘅勇氣出嚟
[00:02:25.040 --> 00:02:27.240]  咁當然啦 尼加只不過係當時嘅先知
[00:02:27.240 --> 00:02:28.560]  但最終嘅先知呢
[00:02:28.560 --> 00:02:31.120]  我哋睇到就係最終嘅領袖呢
[00:02:31.120 --> 00:02:33.640]  就係四到六章嘅尼塞瓦
[00:02:33.640 --> 00:02:35.520]  就係指向嗰位嘅耶穌基督
[00:02:35.520 --> 00:02:40.600]  我哋知道佢嚟嘅時候會帶出最終嘅審判同埋復興
[00:02:40.600 --> 00:02:43.400]  咁我哋見到比較熟嘅一段經文就講到
[00:02:43.400 --> 00:02:49.480]  耶穌係伯尼行出世 都係喺尼加書當中出現
[00:02:49.480 --> 00:02:54.240]  咁當時嘅社會環境係點樣嘅情況呢
[00:02:54.240 --> 00:02:57.040]  同期除咗尼加之外有好多唔同嘅先知
[00:02:57.040 --> 00:02:59.760]  以塞瓦 阿摩斯 何森雅
[00:02:59.760 --> 00:03:01.760]  所以你睇返同期嗰啲先知
[00:03:01.760 --> 00:03:07.400]  要大概更加了解嗰陣時整個以色列嘅背景
