
[00:00:00.000 --> 00:00:05.860]  我們可以想像一下 每逢新朋友也好 舊朋友也好 見到面的時候
[00:00:05.860 --> 00:00:08.480]  我們當然會向對方打招呼
[00:00:08.480 --> 00:00:12.680]  最常講的第一句話 你猜是什麼話呢?
[00:00:12.680 --> 00:00:18.960]  我不信你向隔壁左右的人 或者隔壁那些人講一下 你會講什麼?
[00:00:18.960 --> 00:00:25.540]  如果不是打算長談的 你通常講第一句話會是什麼呢?
[00:00:27.040 --> 00:00:32.480]  近來好嗎? 或者最近好嗎? 或者最近好嗎?
[00:00:32.480 --> 00:00:34.700]  對方也會怎樣呢?
[00:00:34.700 --> 00:00:39.040]  很自然地衝口而出地說 好!你呢?
[00:00:39.040 --> 00:00:41.040]  好!好!
[00:00:41.040 --> 00:00:49.860]  很少會說 如果你問他 你好嗎?
[00:00:49.860 --> 00:00:51.860]  他會說 不多好
[00:00:51.860 --> 00:00:57.920]  久不久可能會看看對方的交情是怎樣
[00:00:57.920 --> 00:01:01.680]  或者場合適不適合這樣去說話
[00:01:01.680 --> 00:01:10.340]  否則你會嚇到對方 對方不知怎樣跟你說
[00:01:10.340 --> 00:01:16.040]  但我會鼓勵大家如果跟牧師打招呼的時候
[00:01:16.040 --> 00:01:21.720]  牧師說 近來不錯 如果真的有問題有困難
[00:01:21.720 --> 00:01:26.640]  不是太好 你不用客氣 真是說不是太好
[00:01:26.640 --> 00:01:34.520]  讓我們可以即時 或者在約時間一起傾下祈禱
[00:01:34.520 --> 00:01:45.280]  最近這幾個月 我不斷重複看詩篇119篇
[00:01:47.700 --> 00:01:52.040]  好像去年那樣 不斷重複看《針研》
[00:01:52.040 --> 00:01:58.840]  詩篇119篇有176節 分22段 每一段8節
[00:01:58.840 --> 00:02:04.200]  如果你不斷去看 一天看兩段或者三段
[00:02:04.200 --> 00:02:11.780]  24節最多 你一個星期會看完一次《詩篇119篇》
[00:02:11.780 --> 00:02:19.780]  我覺得很有領受 所以跟大家分享了好幾篇訊息
[00:02:19.780 --> 00:02:24.100]  都是從《詩篇119篇》裏面出來的
[00:02:24.100 --> 00:02:30.420]  我初初看的時候 都覺得這篇詩的內容好像是不斷重複
[00:02:30.420 --> 00:02:37.400]  說來說去都是幾句話 不知說到會有二十多段出來
[00:02:37.400 --> 00:02:42.800]  但是當我細心去研讀的時候
[00:02:42.800 --> 00:02:52.080]  我就發覺這篇詩其實真是很精彩 和很有深度
[00:02:52.080 --> 00:02:57.700]  我很感謝神能夠用這篇詩跟大家分享多篇訊息
[00:02:57.700 --> 00:03:02.100]  包括今天的這篇訊息
[00:03:02.100 --> 00:03:09.140]  《詩篇119篇》是講聖經的好處
[00:03:09.140 --> 00:03:13.800]  是講神的話語究竟有什麼價值呢?
[00:03:13.800 --> 00:03:20.300]  神的話語有什麼功用呢?
[00:03:20.300 --> 00:03:23.680]  《詩篇119篇》好像是一本
[00:03:23.680 --> 00:03:32.040]  編纂在神的話語的功效或者益處的一本濃縮了的聖經
[00:03:32.040 --> 00:03:34.700]  集中講這件事 是很精彩的
[00:03:34.700 --> 00:03:39.680]  看似重複 但其實是很多不同的角度告訴我們
[00:03:39.680 --> 00:03:46.680]  為什麼神的話語是那麼值得看 那麼值得去相信
[00:03:46.680 --> 00:03:54.680]  有一個初信主的弟兄曾經跟我分享過
[00:03:54.680 --> 00:03:57.680]  他說 神的話語 即是聖經的道理
[00:03:57.680 --> 00:04:06.680]  真是有道理 往往是指出了我心裏的疑惑
[00:04:06.680 --> 00:04:12.480]  而且聖經的教導實在可以指引到我的人生道路
[00:04:12.480 --> 00:04:16.180]  所以他很喜歡神的話語
[00:04:16.180 --> 00:04:23.180]  我相信我們大家都會同意那位弟兄對聖經的領受和看法
[00:04:23.180 --> 00:04:28.680]  但是聖經的好處其實不止這麼多 還有很多很多
[00:04:28.680 --> 00:04:33.680]  就著今天我們要看的這段經文來說
[00:04:33.680 --> 00:04:41.180]  聖經還可以使我們得到安慰和有希望
[00:04:41.180 --> 00:04:46.180]  這也是我今天要和大家分享的主題訊息
[00:04:46.180 --> 00:04:57.180]  神的話語可以給我們安慰和給我們對人生有希望
[00:04:57.180 --> 00:05:01.180]  根據一些研究報告指出
[00:05:01.180 --> 00:05:12.180]  一個人不吃東西可以捱到七十天
[00:05:12.180 --> 00:05:19.180]  如果一個人不喝水 可以捱到十天
[00:05:19.180 --> 00:05:23.180]  這當然是很罕有極少有的情況
[00:05:23.180 --> 00:05:28.180]  如果缺氧 即是沒有空氣缺氧
[00:05:28.180 --> 00:05:35.180]  他可以捱到最多六分鐘仍然有機會生存
[00:05:35.180 --> 00:05:42.180]  但是如果一個人發現對人生完全沒有希望的時候
[00:05:42.180 --> 00:05:47.180]  他會死亡
[00:05:47.180 --> 00:05:52.180]  有一個心臟科醫生證明這一點很對
