
[00:00:00.000 --> 00:00:02.440]  多謝師妹讓我們先聽神的禱語
[00:00:02.440 --> 00:00:03.920]  讓我們先同心地禱告
[00:00:03.920 --> 00:00:07.040]  與姐妹在聽神禱之前先同心禱告
[00:00:07.040 --> 00:00:10.120]  慈悲的父神多謝你
[00:00:10.120 --> 00:00:15.920]  讓我們在你的愛子耶穌復活的節期裏
[00:00:15.920 --> 00:00:21.080]  讓我們重新思想我們的屬靈生命與主理的關係
[00:00:21.080 --> 00:00:24.560]  甚至怎樣去承擔主理的託付
[00:00:24.560 --> 00:00:27.400]  我們將這段時間完全封禁交上
[00:00:27.400 --> 00:00:29.000]  求主理與我們同在
[00:00:29.000 --> 00:00:30.000]  我們親愛的父神
[00:00:30.000 --> 00:00:36.520]  感謝你給我們能夠在你愛子耶穌基督所成就救恩
[00:00:36.520 --> 00:00:40.600]  復活的紀念的節期的時間
[00:00:40.600 --> 00:00:46.680]  讓我們一起來為我們生命做出審查
[00:00:46.680 --> 00:00:50.360]  讓我們知道我們今天的屬靈生命
[00:00:50.360 --> 00:00:53.640]  到底我們光景是如何
[00:00:53.960 --> 00:01:02.240]  也同時讓我們再次反思我們應當怎樣來到承擔主理所託付的
[00:01:02.240 --> 00:01:04.040]  求你的幫助
[00:01:04.040 --> 00:01:05.320]  我們禱告
[00:01:05.320 --> 00:01:06.800]  奉主耶穌的名作
[00:01:06.800 --> 00:01:07.800]  Amen
[00:01:07.800 --> 00:01:14.280]  很多復活節的節期是很長的
[00:01:14.280 --> 00:01:16.640]  復活節的節期很長
[00:01:16.640 --> 00:01:18.880]  於是乎有很多人喜歡去旅行
[00:01:18.880 --> 00:01:20.960]  有很多人都喜歡去旅行
[00:01:20.960 --> 00:01:23.480]  包括很多信徒也一樣
[00:01:23.480 --> 00:01:25.160]  包括很多信徒也一樣
[00:01:25.160 --> 00:01:26.880]  說到旅行
[00:01:26.880 --> 00:01:28.960]  其實我也有很多這樣的經歷
[00:01:28.960 --> 00:01:31.440]  旅行我有很多這樣的經歷
[00:01:31.440 --> 00:01:33.880]  當我預備這堂訊息的時候
[00:01:33.880 --> 00:01:36.400]  我又想不如我又分享一下
[00:01:36.400 --> 00:01:38.120]  不是復活節的時候我去旅行
[00:01:38.120 --> 00:01:40.080]  有一次我去旅行的經歷
[00:01:40.080 --> 00:01:43.200]  所以不如我去分享一下有一次我旅行的經歷
[00:01:43.200 --> 00:01:47.600]  這一次也是我平生第一次自己去旅行
[00:01:47.600 --> 00:01:49.960]  就是去到一個共產國家旅行
[00:01:49.960 --> 00:01:53.440]  有一次也是我第一次去一個共產國家去旅行
[00:01:53.440 --> 00:01:55.120]  我就想和大家分享一下
[00:01:55.120 --> 00:01:56.640]  那一次我的經歷
[00:01:56.640 --> 00:01:59.560]  和那一次我的心情是怎麼樣的
[00:01:59.560 --> 00:02:02.520]  和大家分享一次那一次的經歷和心情
[00:02:02.520 --> 00:02:05.080]  我就和一群朋友
[00:02:05.080 --> 00:02:06.360]  和一群朋友
[00:02:06.360 --> 00:02:10.000]  當時來算是很奔波的
[00:02:10.000 --> 00:02:13.440]  我們坐車去到一個邊境裡面
[00:02:13.440 --> 00:02:15.360]  我們就進入了一個國家
[00:02:15.360 --> 00:02:16.840]  當時都是很奔波
[00:02:16.840 --> 00:02:19.320]  進入一個邊境的進入一個國家
[00:02:19.320 --> 00:02:21.720]  當我去到這個國家的時候
[00:02:21.720 --> 00:02:23.160]  進入這個國家呢
[00:02:23.160 --> 00:02:25.920]  就渾身都覺得很不舒服
[00:02:25.920 --> 00:02:27.680]  覺得渾身都不自在
[00:02:27.680 --> 00:02:29.720]  是不是因為那裡有什麼神啊
[00:02:29.720 --> 00:02:32.040]  或者那裡有很多寺廟宇啊
[00:02:32.040 --> 00:02:33.320]  不是因為這樣的原因
[00:02:33.320 --> 00:02:35.400]  不是因為那裡有很多寺廟啊
[00:02:35.400 --> 00:02:36.800]  這些原因
