
[00:00:00.000 --> 00:00:03.000]  首先想問問大家手上有沒有帶錶
[00:00:03.000 --> 00:00:05.000]  有帶錶的舉手
[00:00:05.000 --> 00:00:08.000]  準不準確的錶
[00:00:08.000 --> 00:00:10.000]  待會可以提醒我
[00:00:10.000 --> 00:00:15.000]  你知道錶的餡是什麼嗎
[00:00:15.000 --> 00:00:19.000]  是機械錶
[00:00:19.000 --> 00:00:21.000]  是錫英錶
[00:00:21.000 --> 00:00:23.000]  用電子的
[00:00:23.000 --> 00:00:26.000]  用電池的錫英錶
[00:00:26.000 --> 00:00:28.000]  要換電池的
[00:00:28.000 --> 00:00:31.000]  你可能不知道
[00:00:31.000 --> 00:00:33.000]  其他不是機械錶
[00:00:33.000 --> 00:00:35.000]  機械錶即是上鏈
[00:00:35.000 --> 00:00:37.000]  總之不用理會就行
[00:00:37.000 --> 00:00:40.000]  我戴的錶是尖浸出的
[00:00:40.000 --> 00:00:42.000]  70周年那一隻
[00:00:42.000 --> 00:00:44.000]  應該是祖國貨
[00:00:44.000 --> 00:00:47.000]  這是錫英行針錶
[00:00:47.000 --> 00:00:51.000]  如果在60年代問大家
[00:00:51.000 --> 00:00:53.000]  你戴什麼錶呢
[00:00:53.000 --> 00:00:55.000]  大部分人都會說
[00:00:55.000 --> 00:00:57.000]  機械錶
[00:00:57.000 --> 00:00:58.000]  不是哪裏出的
[00:00:58.000 --> 00:01:00.000]  瑞士出的當然是這樣說
[00:01:00.000 --> 00:01:03.000]  現在問
[00:01:03.000 --> 00:01:05.000]  祖國有
[00:01:05.000 --> 00:01:07.000]  日本有
[00:01:07.000 --> 00:01:08.000]  瑞士有
[00:01:08.000 --> 00:01:09.000]  歐洲有等等
[00:01:09.000 --> 00:01:13.000]  但已經不是整個鐘錶業是瑞士的了
[00:01:13.000 --> 00:01:18.000]  瑞士在60年代當然高峰
[00:01:18.000 --> 00:01:21.000]  他們的鐘錶業紅霸全球
[00:01:21.000 --> 00:01:24.000]  因為他們的手工精細
[00:01:25.000 --> 00:01:27.000]  瑞士機械錶很貴
[00:01:27.000 --> 00:01:29.000]  手工精細
[00:01:29.000 --> 00:01:31.000]  他們很自豪
[00:01:31.000 --> 00:01:37.000]  雖然很多人都購買他們的鐘錶
[00:01:37.000 --> 00:01:41.000]  但後來發明了一種物質
[00:01:41.000 --> 00:01:45.000]  發現用錫英可以幫助行錶
[00:01:45.000 --> 00:01:47.000]  於是就有錫英
[00:01:47.000 --> 00:01:50.000]  這個情況加上電子
[00:01:50.000 --> 00:01:53.000]  當時電子是跳字錶
[00:01:54.000 --> 00:01:56.000]  後來有電子的行針錶
[00:01:56.000 --> 00:01:59.000]  放電池進去就可以了
[00:01:59.000 --> 00:02:02.000]  當時瑞士的鐘錶業
[00:02:02.000 --> 00:02:04.000]  知道這個發明
[00:02:04.000 --> 00:02:07.000]  但拒絕用這種方法
[00:02:07.000 --> 00:02:10.000]  因為他們自豪的是
[00:02:10.000 --> 00:02:12.000]  一直以來過往
[00:02:12.000 --> 00:02:14.000]  這種精美
[00:02:14.000 --> 00:02:17.000]  這種很出色的手工
[00:02:17.000 --> 00:02:19.000]  所以拒絕
[00:02:19.000 --> 00:02:23.000]  但同一時間在東方一個國家
[00:02:23.000 --> 00:02:25.000]  哪個國家呢?
