
[00:00:00.000 --> 00:00:02.000]  今日我們一起去
[00:00:02.000 --> 00:00:06.560]  又再一起崇拜和思想上的一句說話
[00:00:06.560 --> 00:00:10.680]  我們在宣導之前,我們一起有個祈禱
[00:00:10.680 --> 00:00:18.600]  求恩主繼續的啟發我們,幫助我們
[00:00:18.600 --> 00:00:23.000]  讓我們在教會的生活當中得到建立
[00:00:23.000 --> 00:00:26.240]  亦都透過我們的參與和委身
[00:00:26.240 --> 00:00:29.440]  我們建立整個信仰的群體
[00:00:29.440 --> 00:00:34.720]  使到教會成為一個榮耀上主的教會
[00:00:34.720 --> 00:00:38.520]  令到人在當中可以得到幫助
[00:00:38.520 --> 00:00:41.560]  和認識主耶穌基督的教會
[00:00:41.560 --> 00:00:43.560]  我們恭敬地祈禱
[00:00:43.560 --> 00:00:45.760]  奉主耶穌基督的聖名
[00:00:45.760 --> 00:00:47.760]  誠心所願
[00:00:47.760 --> 00:00:51.560]  上一次的聖餐主日
[00:00:51.560 --> 00:00:53.560]  我和大家講過一個訊息
[00:00:53.560 --> 00:00:55.560]  就是以色列的心志
[00:00:56.760 --> 00:01:00.240]  有參與的可能都還有些印象
[00:01:00.240 --> 00:01:03.800]  我們提到在舊約時代有一個復興的運動
[00:01:03.800 --> 00:01:06.440]  而這個復興的發生是
[00:01:06.440 --> 00:01:15.200]  以色列它定義考究、遵行和教導上帝的律法
[00:01:15.200 --> 00:01:16.720]  上帝的說話
[00:01:16.720 --> 00:01:20.320]  它帶來了一個回歸了之後
[00:01:20.320 --> 00:01:24.480]  這些很消沉的以色列民族
[00:01:24.480 --> 00:01:26.480]  很鬆散的以色列民族
[00:01:26.480 --> 00:01:28.480]  一次的凝聚
[00:01:28.480 --> 00:01:30.480]  和一次的復興
[00:01:30.480 --> 00:01:34.480]  以色列的夢想和努力就是重尋
[00:01:34.480 --> 00:01:39.480]  或者重建昔日聖殿時代的
[00:01:39.480 --> 00:01:44.480]  那種上帝指紋的一種靈性的光輝
[00:01:44.480 --> 00:01:47.480]  可以重新建立他們
[00:01:47.480 --> 00:01:50.480]  這個其實都是每一代上帝的僕人
[00:01:50.480 --> 00:01:56.480]  和教會基督徒的一種期盼和一種努力
[00:01:56.480 --> 00:02:00.480]  這個聖餐主日
[00:02:00.480 --> 00:02:04.480]  我就想和大家從新約的聖經裏面
[00:02:04.480 --> 00:02:08.480]  用同樣的角度來思想一下
[00:02:08.480 --> 00:02:12.480]  初期的教會是一個什麼樣的光景
[00:02:12.480 --> 00:02:16.480]  我們希望可以美景重尋
[00:02:16.480 --> 00:02:19.480]  找回我們最初期的教會
[00:02:19.480 --> 00:02:21.480]  它是一個什麼樣的形態
[00:02:21.480 --> 00:02:24.480]  和為什麼它有這些元素在裏面呢
[00:02:24.480 --> 00:02:34.480]  有很多關於教會的發展的策略和方法
[00:02:34.480 --> 00:02:41.480]  我曾經參加過一個大型的研討會
[00:02:41.480 --> 00:02:44.480]  有一個講員
[00:02:44.480 --> 00:02:48.480]  他其中一句說話很觸動我
[00:02:48.480 --> 00:02:52.480]  他說我們時常都在研究一些新的方法
[00:02:52.480 --> 00:02:57.480]  其實是我們的方法不夠舊
[00:02:57.480 --> 00:03:00.480]  我們不夠舊,不是不夠新
[00:03:00.480 --> 00:03:04.480]  真正去建立教會的方法、方向
[00:03:04.480 --> 00:03:07.480]  就是回到聖經那裏
[00:03:07.480 --> 00:03:14.480]  在聖經裏面找回原則
[00:03:14.480 --> 00:03:18.480]  找回立足點、找回方向
[00:03:18.480 --> 00:03:23.480]  《史獨行傳》的第二章、全章
[00:03:23.480 --> 00:03:26.480]  可以說是講到教會的誕生
[00:03:26.480 --> 00:03:29.480]  教會是怎樣出來的
[00:03:29.480 --> 00:03:34.480]  一至到我們剛才讀的第四十七節
[00:03:34.480 --> 00:03:38.480]  我沒有要求主席今天讀完一至四十七節
[00:03:38.480 --> 00:03:41.480]  很長,讀完可能都幾分鐘
[00:03:41.480 --> 00:03:44.480]  所以只讀了四十三到四十七節
[00:03:44.480 --> 00:03:46.480]  即是最後那一段
[00:03:46.480 --> 00:03:49.480]  我們見到一個很美麗的情景
[00:03:49.480 --> 00:03:56.480]  初期的教會常常都經歷到歧視神蹟
