
[00:00:00.000 --> 00:00:03.840]  歡迎大家來到我們的周六崇拜
[00:00:03.840 --> 00:00:06.340]  上年七月我們開始研讀
[00:00:06.340 --> 00:00:08.680]  《新約聖經》當中的《約翰福音》
[00:00:08.680 --> 00:00:10.520]  上年七月我們開始研讀
[00:00:10.520 --> 00:00:12.600]  《新約聖經》裏面的《約翰福音》
[00:00:12.600 --> 00:00:16.160]  我們講到系列的題目是「榮耀君王」
[00:00:16.160 --> 00:00:19.360]  我們講到系列裏面的題目是「榮耀君王」
[00:00:19.360 --> 00:00:21.740]  經過一年多的努力
[00:00:21.740 --> 00:00:26.040]  上個星期我們終於來到《約翰福音》第九章
[00:00:26.040 --> 00:00:27.420]  經過一年多的努力
[00:00:27.420 --> 00:00:30.200]  上個星期我們終於來到《約翰福音》第九章
[00:00:30.200 --> 00:00:33.160]  即是我們用了一年的時間去讀八章的《聖經》
[00:00:33.160 --> 00:00:35.680]  即是我們用了一年的時間去讀八章的《聖經》
[00:00:35.680 --> 00:00:37.520]  上個星期終於來到第九章
[00:00:37.520 --> 00:00:39.600]  上個星期終於來到第九章
[00:00:39.600 --> 00:00:41.400]  故事一開始的時候
[00:00:41.400 --> 00:00:42.720]  故事一開始的時候
[00:00:42.720 --> 00:00:47.800]  約翰介紹我們認識一位生來失明的人物
[00:00:47.800 --> 00:00:51.960]  約翰介紹我們一名生來就是失明的人物
[00:00:51.960 --> 00:00:55.800]  這個人長年累月活在死陰黑暗中
[00:00:55.800 --> 00:00:59.600]  這個人長年累月活在死陰黑暗中
[00:00:59.600 --> 00:01:00.880]  對於猶太人來說
[00:01:00.880 --> 00:01:04.560]  一看這個人就知道他是一個大罪人
[00:01:04.560 --> 00:01:05.800]  對於猶太人來說
[00:01:05.800 --> 00:01:08.320]  這個人一看就知道他是一個大罪人
[00:01:08.320 --> 00:01:09.880]  其實這個是在映射你的
[00:01:09.880 --> 00:01:11.080]  其實這個是在映射你的
[00:01:11.080 --> 00:01:12.040]  映射我的
[00:01:12.040 --> 00:01:12.720]  映射我
[00:01:12.720 --> 00:01:15.360]  映射所有亞當的後裔
[00:01:15.360 --> 00:01:16.880]  映射所有亞當的後裔
[00:01:16.880 --> 00:01:18.080]  有趣的是
[00:01:18.080 --> 00:01:19.120]  有趣的是
[00:01:19.120 --> 00:01:20.880]  耶穌一看到這個人
[00:01:20.880 --> 00:01:22.120]  耶穌一看到這個人
[00:01:22.120 --> 00:01:23.720]  就非常的興奮
[00:01:23.720 --> 00:01:24.640]  就非常的興奮
[00:01:24.640 --> 00:01:25.880]  這個是我想像的
[00:01:25.880 --> 00:01:27.000]  這個是我的想像
[00:01:27.000 --> 00:01:31.400]  他立即行動去招募這個盒子做演員
[00:01:31.400 --> 00:01:34.600]  他立即行動去招募這個盒子做演員
[00:01:34.600 --> 00:01:36.920]  接著他就自編自導自演
[00:01:36.920 --> 00:01:38.680]  然後他自編自導自演
[00:01:38.680 --> 00:01:41.000]  為我們製作一個天國劇場
[00:01:41.000 --> 00:01:43.160]  為我們製造一個天國劇場
