
[00:00:00.000 --> 00:00:02.000]  提卿姐妹早晨
[00:00:02.000 --> 00:00:07.000]  很開心可以在這裡和大家一起分享上帝的說話
[00:00:07.000 --> 00:00:10.000]  我們一起來祈禱
[00:00:10.000 --> 00:00:12.000]  天父我們感謝祢
[00:00:12.000 --> 00:00:16.000]  還有生命氣息的都要來歌頌祢
[00:00:16.000 --> 00:00:19.000]  我們感謝祢讓我們在剛剛的時間
[00:00:19.000 --> 00:00:22.000]  我們可以用詩歌來感激
[00:00:22.000 --> 00:00:23.000]  去向祢歌頌
[00:00:23.000 --> 00:00:26.000]  我們在這個時間我們願意專心
[00:00:26.000 --> 00:00:29.000]  我們將眾人都擺在祢的面前
[00:00:29.000 --> 00:00:31.000]  我求主我求聖靈
[00:00:31.000 --> 00:00:33.000]  祢自己親自對我們說話
[00:00:33.000 --> 00:00:34.000]  祢觸摸我們的心
[00:00:34.000 --> 00:00:37.000]  藉著以利亞和以利沙的故事
[00:00:37.000 --> 00:00:38.000]  幫助我們明白
[00:00:38.000 --> 00:00:40.000]  祢今早要對我們說的
[00:00:40.000 --> 00:00:42.000]  我們都用耳朵來聽
[00:00:42.000 --> 00:00:43.000]  用心來盛載
[00:00:43.000 --> 00:00:45.000]  求祢自己親自得著
[00:00:45.000 --> 00:00:47.000]  無論叫說的聽的
[00:00:47.000 --> 00:00:48.000]  都同感一靈
[00:00:48.000 --> 00:00:49.000]  主我們感謝祢
[00:00:49.000 --> 00:00:50.000]  聽我們祈禱
[00:00:50.000 --> 00:00:52.000]  奉靠耶穌基督寶貝的名
[00:00:52.000 --> 00:00:53.000]  阿們
[00:00:53.000 --> 00:00:58.000]  今天和大家講生命的承傳者
[00:00:58.000 --> 00:01:02.000]  講到以利亞和以利沙的故事
[00:01:02.000 --> 00:01:04.000]  很明顯
[00:01:04.000 --> 00:01:07.000]  以利亞當然是長輩
[00:01:07.000 --> 00:01:08.000]  就是師父
[00:01:08.000 --> 00:01:10.000]  以利沙就是門徒
[00:01:10.000 --> 00:01:14.000]  我們今天仍然是門徒的系列
[00:01:14.000 --> 00:01:17.000]  不過在承繼的故事裡
[00:01:17.000 --> 00:01:21.000]  我想講一下通心粉廠的故事
[00:01:21.000 --> 00:01:25.000]  話說有一個叫Calvin
[00:01:25.000 --> 00:01:27.000]  他是一個麵粉廠
[00:01:27.000 --> 00:01:30.000]  一個通心粉廠的第二代
[00:01:30.000 --> 00:01:34.000]  Calvin其實他在年輕的時候
[00:01:34.000 --> 00:01:36.000]  已經去了加拿大生活
[00:01:36.000 --> 00:01:39.000]  他在加拿大生活了二十年
[00:01:39.000 --> 00:01:41.000]  在那裡他去讀書
[00:01:41.000 --> 00:01:43.000]  去接觸很多不同的人
[00:01:43.000 --> 00:01:44.000]  建立自己的家
[00:01:44.000 --> 00:01:46.000]  自己的世界
[00:01:46.000 --> 00:01:51.000]  其實他是一個廚師
[00:01:51.000 --> 00:01:53.000]  做日本餐廳
[00:01:53.000 --> 00:01:56.000]  他在加拿大的生活是不錯的
[00:01:56.000 --> 00:01:58.000]  你知道加拿大環境好一點
