
[00:00:00.000 --> 00:00:02.000]  大兄姊妹,平安
[00:00:02.000 --> 00:00:05.000]  大師兄一起祈禱
[00:00:05.000 --> 00:00:07.000]  今天我們感謝你自己的恩典
[00:00:07.000 --> 00:00:10.000]  讓我們在主耶穌的清神可以在這裡聚集
[00:00:10.000 --> 00:00:13.000]  一同敬拜你,並且一同思想
[00:00:13.000 --> 00:00:15.000]  你自己的話語,你的真理
[00:00:15.000 --> 00:00:18.000]  我們求聖靈開我們心靈的眼睛
[00:00:18.000 --> 00:00:20.000]  讓我們看得清楚聖經
[00:00:20.000 --> 00:00:24.000]  也明白聖經對我們的教導
[00:00:24.000 --> 00:00:27.000]  求你幫助垂聽
[00:00:27.000 --> 00:00:30.000]  垂聽我們的禱告,奉主耶穌基督的命
[00:00:30.000 --> 00:00:32.000]  阿們
[00:00:32.000 --> 00:00:37.000]  今天是信仰難題的最後一次
[00:00:37.000 --> 00:00:41.000]  下星期就會開始講哥林北後書
[00:00:41.000 --> 00:00:46.000]  今天要和大家討論的信仰難題就是
[00:00:46.000 --> 00:00:53.000]  不信的人能不能救,能不能救,得救
[00:00:53.000 --> 00:00:57.000]  我們講得救的意思是特別指得永生
[00:00:57.000 --> 00:01:00.000]  或者去得天堂
[00:01:00.000 --> 00:01:05.000]  很多時候當我們傳福音勸人信耶穌
[00:01:05.000 --> 00:01:07.000]  有些人就會問
[00:01:07.000 --> 00:01:10.000]  為什麼耶穌這麼霸道
[00:01:10.000 --> 00:01:14.000]  只能靠信祂才能去得天堂
[00:01:14.000 --> 00:01:18.000]  不信就要去地獄
[00:01:18.000 --> 00:01:22.000]  面對這個問題我們要怎樣回答呢
[00:01:22.000 --> 00:01:28.000]  我們也聽過華人獨有的問題是西方人不會問的
[00:01:28.000 --> 00:01:30.000]  他們的問題就是說
[00:01:30.000 --> 00:01:33.000]  我們中國的聖人好像孔夫子一樣
[00:01:33.000 --> 00:01:36.000]  能不能夠去天堂
[00:01:36.000 --> 00:01:39.000]  所以今天我選了這一段經文
[00:01:39.000 --> 00:01:42.000]  來和大家思想
[00:01:42.000 --> 00:01:45.000]  究竟聖經是怎樣教導
[00:01:45.000 --> 00:01:47.000]  怎樣講這個問題
[00:01:47.000 --> 00:01:49.000]  很多神學家解經家
[00:01:49.000 --> 00:01:52.000]  其實他們解經的時候有一個預設立場
[00:01:52.000 --> 00:01:54.000]  來解釋聖經
[00:01:54.000 --> 00:01:59.000]  他們堅決認定了一定要信耶穌才能得救
[00:01:59.000 --> 00:02:02.000]  事實上這個問題我也思考了很多年
[00:02:02.000 --> 00:02:04.000]  但是為了預備今天講到
[00:02:04.000 --> 00:02:11.000]  我也去YouTube找一些講解羅馬書第二章的視頻聽一聽
[00:02:11.000 --> 00:02:14.000]  那位講員其實也有預設立場
[00:02:14.000 --> 00:02:21.000]  將這段簡單的經文都解釋到不信耶穌的人是一定會滅亡的
[00:02:21.000 --> 00:02:23.000]  就是去地獄
[00:02:23.000 --> 00:02:28.000]  所以我想先介紹一個解釋聖經的簡單原則
[00:02:28.000 --> 00:02:31.000]  我就叫它做五民原則
[00:02:31.000 --> 00:02:34.000]  如果你沒聽過這個原則就不用驚奇
[00:02:34.000 --> 00:02:41.000]  因為這個是聖靈最近帶領我上出來的一個名稱
[00:02:41.000 --> 00:02:45.000]  其實很多解經書都有講,不過它不是這樣講
[00:02:45.000 --> 00:02:47.000]  我的五民原則就是
[00:02:47.000 --> 00:02:54.000]  「問體」、「問理」、「問智」、「問法」和「問化」
[00:02:54.000 --> 00:02:57.000]  簡單解釋一下
[00:02:57.000 --> 00:03:01.000]  「問體」是指文章的體循
[00:03:01.000 --> 00:03:05.000]  聖經裡面其實有很多不同的「問體」
[00:03:05.000 --> 00:03:08.000]  包括敘事文、試歌、比喻
[00:03:08.000 --> 00:03:11.000]  書信論述、預言等等
[00:03:11.000 --> 00:03:16.000]  不同的「問體」對解釋聖經是會有影響的
[00:03:16.000 --> 00:03:19.000]  我選的經文是黎智保羅書信
[00:03:19.000 --> 00:03:21.000]  是書信論述
[00:03:21.000 --> 00:03:27.000]  這樣就可以按表面的字義去理解
[00:03:27.000 --> 00:03:31.000]  「問理」就是指上文下理
[00:03:31.000 --> 00:03:34.000]  我們要留意上文下理
[00:03:34.000 --> 00:03:40.000]  才不會犯了斷章取義的解經毛病
[00:03:40.000 --> 00:03:46.000]  「文字」是指文字本身是有意義的
[00:03:46.000 --> 00:03:51.000]  有時候我們不能確定經文的意義的時候
[00:03:51.000 --> 00:03:54.000]  遇到一些難解的經文的時候
[00:03:54.000 --> 00:03:58.000]  我們要查一下希伯來文或者希臘文的字典
