
[00:00:00.000 --> 00:00:03.400]  或者我們一起先禱告準備我們自己
[00:00:03.400 --> 00:00:05.760]  主祐願我口中的言語
[00:00:05.760 --> 00:00:07.720]  心中的思念被祢使用
[00:00:07.720 --> 00:00:09.280]  求祢幫助我弟兄姊妹
[00:00:09.280 --> 00:00:13.560]  能夠在聽到的當中與祢相遇
[00:00:13.560 --> 00:00:16.240]  我們這樣禱告是奉主耶穌名字祈求
[00:00:16.240 --> 00:00:23.000]  今天的福音經課焦點是耶穌基督的受洗
[00:00:23.000 --> 00:00:28.400]  大家知道今天是顯現期的第一主日
[00:00:28.400 --> 00:00:32.640]  我們通常這一天都是會紀念基督領洗日
[00:00:32.640 --> 00:00:34.000]  或者基督的受洗
[00:00:34.000 --> 00:00:37.880]  而在先知書的經課選讀裏面
[00:00:37.880 --> 00:00:41.520]  就選了以塞亞書的四十九章
[00:00:41.520 --> 00:00:43.280]  一至九節做對應
[00:00:43.280 --> 00:00:46.400]  看那我的僕人
[00:00:46.400 --> 00:00:49.440]  我所扶持所揀選心裡所喜悅的
[00:00:49.440 --> 00:00:51.640]  我要將我的凌賜給他
[00:00:51.640 --> 00:00:54.040]  他必將功利傳給外邦
[00:00:55.560 --> 00:01:00.040]  這一首以塞亞書四十二章一至九節
[00:01:00.040 --> 00:01:02.200]  其實就是很出名的
[00:01:02.200 --> 00:01:06.240]  以塞亞書四首僕人之歌的第一首
[00:01:06.240 --> 00:01:09.160]  其餘那三首大家可以看看網頁
[00:01:09.160 --> 00:01:11.440]  我有引述一些經文出來
[00:01:11.440 --> 00:01:14.120]  耶穌基督受洗
[00:01:14.120 --> 00:01:18.040]  就標誌著祂在地上的侍奉開始
[00:01:18.040 --> 00:01:21.760]  而聖教會當祂選讀以塞亞書的經文
[00:01:21.760 --> 00:01:23.960]  與福音書對應的時候
[00:01:23.960 --> 00:01:25.560]  很明顯就表示
[00:01:25.560 --> 00:01:29.760]  耶穌就是這個先知書所說的僕人
[00:01:29.760 --> 00:01:36.480]  耶穌的侍奉就是應驗了先知的說法
[00:01:36.480 --> 00:01:40.240]  當然了
[00:01:40.240 --> 00:01:44.680]  我們會相信耶穌基督就是以塞亞書所說的僕人
[00:01:44.680 --> 00:01:45.920]  毫無質疑的
[00:01:45.920 --> 00:01:48.440]  不過我們反過來想的時候
[00:01:48.440 --> 00:01:52.800]  究竟先知書當祂說這個僕人的時候
[00:01:52.800 --> 00:01:57.360]  祂是真的預言幾百年之後
[00:01:57.360 --> 00:02:00.080]  一個特定的人物叫做耶穌基督
[00:02:00.080 --> 00:02:05.600]  還是好像埃特阿伯在加薩路上
[00:02:05.600 --> 00:02:06.960]  不知道大家知不知道我在說什麼
[00:02:06.960 --> 00:02:09.120]  試圖行傳
[00:02:09.120 --> 00:02:09.920]  那種問肥的
[00:02:09.920 --> 00:02:12.480]  究竟先知是在說祂自己
[00:02:12.480 --> 00:02:14.120]  還是在說第二個人呢
[00:02:14.120 --> 00:02:17.280]  究竟先知書當祂寫的時候
[00:02:17.280 --> 00:02:19.280]  或者當時的讀者
[00:02:19.280 --> 00:02:24.160]  或者舊約的讀者避老或者之後的讀者看的時候
