
[00:00:00.000 --> 00:00:04.960]  讓我們繼續在禱告裏面去仰望主的同在
[00:00:04.960 --> 00:00:07.620]  我們同心的來到神的面前
[00:00:07.620 --> 00:00:10.880]  親愛的恩主 我們仰望祢
[00:00:10.880 --> 00:00:15.720]  我們仰望祢聖靈的同在 同躬
[00:00:15.720 --> 00:00:19.640]  主呀 今天我們來到祢的面前 服侍祢 敬拜祢
[00:00:19.640 --> 00:00:22.140]  是我們莫大的福分
[00:00:22.140 --> 00:00:25.480]  主呀 讓我們珍惜今天的慰訓
[00:00:25.480 --> 00:00:29.000]  可以來到祢的面前服侍
[00:00:29.000 --> 00:00:32.000]  每個人都成為君尊的祭司
[00:00:32.000 --> 00:00:34.000]  可以侍奉祢
[00:00:34.000 --> 00:00:36.580]  這是我們想像不到的
[00:00:36.580 --> 00:00:41.740]  但主呀 祢卻是透過祢自己成就這件事
[00:00:41.740 --> 00:00:44.240]  主呀 願祢的聖靈引導我們
[00:00:44.240 --> 00:00:47.960]  有時我們很憂慮很多的工作
[00:00:47.960 --> 00:00:50.280]  很多的煩擾
[00:00:50.280 --> 00:00:54.120]  主呀 讓我們這一切來到祢的庚前的時候
[00:00:54.120 --> 00:00:57.640]  放在施恩寶座面前
[00:00:57.640 --> 00:01:00.780]  讓祢去管理 讓祢去引導
[00:01:00.780 --> 00:01:03.080]  祈禱奉基督耶穌聖名
[00:01:03.080 --> 00:01:10.940]  今天和大家思想的是一個敬拜的題目
[00:01:10.940 --> 00:01:14.000]  是講到我們要起來重讚
[00:01:14.000 --> 00:01:16.380]  剛才大家在敬拜的時候
[00:01:16.380 --> 00:01:21.040]  在詩歌敬拜的時候都聽到詩篇145篇
[00:01:21.040 --> 00:01:27.060]  透過敬拜隊很暢順的和我們宣讀了
[00:01:27.060 --> 00:01:30.720]  和大家用啟應的方式去宣讀了
[00:01:30.720 --> 00:01:36.080]  所以我今天不會太詳細去看每一節的解釋
[00:01:36.080 --> 00:01:39.400]  但我們卻是透過一個這樣的過程
[00:01:39.400 --> 00:01:46.840]  去了解整個經文背後要告訴我們的訊息是什麼
[00:01:46.840 --> 00:01:51.580]  這一篇是稱為「大衛的詩」
[00:01:51.580 --> 00:01:57.300]  而大衛的詩在聖經裏面大概有七十多篇稱為「大衛的詩」
[00:01:57.300 --> 00:02:01.540]  但大衛的詩不一定是大衛寫的
[00:02:01.540 --> 00:02:06.560]  上個學期我自己學過希伯來文
[00:02:06.560 --> 00:02:10.500]  就是一些外星的文字
[00:02:10.500 --> 00:02:17.380]  這裡就是告訴我們這是大衛的詩的意思
[00:02:17.380 --> 00:02:22.140]  其實大衛的詩有一個介詞
[00:02:22.140 --> 00:02:24.780]  就是proposition
[00:02:24.780 --> 00:02:26.380]  就好像一條蛇一樣
[00:02:26.380 --> 00:02:28.720]  這個叫做lament
[00:02:28.720 --> 00:02:32.040]  其實有很多重的意思在背後
[00:02:32.040 --> 00:02:36.460]  它可以說是由大衛來的讚美詩
[00:02:36.460 --> 00:02:38.660]  也可以說是給大衛的讚美詩
[00:02:38.660 --> 00:02:42.040]  甚至是按照大衛所寫的讚美詩
[00:02:42.040 --> 00:02:46.660]  所以就明白為什麼大衛的詩不一定是大衛所寫
[00:02:46.660 --> 00:02:48.540]  這讓我們更加明白
[00:02:48.540 --> 00:02:53.520]  了解原文的意思是有幫助我們去解釋聖經的
[00:02:53.520 --> 00:02:57.480]  所以這裡可能是一個參照大衛的生平
[00:02:57.480 --> 00:03:02.000]  或者他的信息來寫成的一首讚美詩
[00:03:02.000 --> 00:03:04.680]  而這個讚美詩是有一個很特別的
[00:03:04.680 --> 00:03:08.200]  為什麼我要列出來給大家看呢?
[00:03:08.200 --> 00:03:09.720]  大家會看到這裡
[00:03:09.720 --> 00:03:10.920]  由這裡開始
[00:03:10.920 --> 00:03:13.180]  這個叫alep
[00:03:13.180 --> 00:03:15.740]  這個好像英文的b字一樣
[00:03:15.740 --> 00:03:18.140]  這個是加g
[00:03:18.140 --> 00:03:19.040]  這個是d
[00:03:19.040 --> 00:03:23.360]  其實是按照一個順序來寫下來的
