
[00:00:00.000 --> 00:00:02.000]  待會兒我們一齊見
[00:00:02.000 --> 00:00:05.680]  親愛的父母 我們很感謝你
[00:00:05.680 --> 00:00:09.520]  雖然今晚可能香港也有很多事發生
[00:00:09.520 --> 00:00:12.080]  特別遊行還未完結
[00:00:12.080 --> 00:00:14.080]  交通很擠塞
[00:00:14.080 --> 00:00:16.720]  但是你也讓你姐妹有心
[00:00:16.720 --> 00:00:19.960]  今晚來到鑽石山浸水會議的地方
[00:00:19.960 --> 00:00:22.600]  我們要跟她閱讀聖經
[00:00:22.600 --> 00:00:25.880]  求你叫我們帶著一個謙卑受教的心
[00:00:25.880 --> 00:00:28.520]  我們願意打開你的話去讀
[00:00:28.520 --> 00:00:31.440]  我叫你的話說出來
[00:00:31.440 --> 00:00:35.120]  我們真的很想向你呼吸
[00:00:35.120 --> 00:00:38.320]  我們做一個有智慧的人
[00:00:38.320 --> 00:00:40.720]  一個真智慧的人
[00:00:40.720 --> 00:00:43.520]  今天我們不缺乏資訊
[00:00:43.520 --> 00:00:45.920]  今天我們不缺乏常識
[00:00:45.920 --> 00:00:48.720]  我們今天不缺乏很多的東西
[00:00:48.720 --> 00:00:52.320]  但我們卻很缺乏智慧
[00:00:52.320 --> 00:00:55.280]  很多人很愚蠢
[00:00:55.280 --> 00:00:58.320]  很多人效法別人
[00:00:58.320 --> 00:01:01.920]  很多人不懂分辨是非
[00:01:01.920 --> 00:01:05.120]  很多人沒有洞察的能力
[00:01:05.120 --> 00:01:09.720]  求你將真智慧賜給我們
[00:01:09.720 --> 00:01:11.320]  因為聖經說
[00:01:11.320 --> 00:01:13.320]  敬畏而華
[00:01:13.320 --> 00:01:16.120]  就是知識的開源
[00:01:16.120 --> 00:01:18.320]  敬畏而華
[00:01:18.320 --> 00:01:21.720]  就是智慧的開源
[00:01:21.720 --> 00:01:24.120]  求你叫我們心裏
[00:01:24.120 --> 00:01:25.920]  徹底地
[00:01:25.920 --> 00:01:27.520]  透徹地
[00:01:27.520 --> 00:01:29.320]  敬畏你
[00:01:29.320 --> 00:01:30.920]  尊崇你
[00:01:30.920 --> 00:01:32.320]  有你的「華」
[00:01:32.320 --> 00:01:34.520]  在我們腳前的燈
[00:01:34.520 --> 00:01:36.120]  路上的光
[00:01:36.120 --> 00:01:38.120]  以致我們不偏離
[00:01:38.120 --> 00:01:41.320]  我們後企你的道路當中
[00:01:41.320 --> 00:01:45.320]  求你今晚向我們每一位說話
[00:01:45.320 --> 00:01:49.320]  求聖靈在我們當中做感動的工作
[00:01:49.320 --> 00:01:51.720]  我們這樣仰望祈禱
[00:01:51.720 --> 00:01:53.920]  是奉耶穌基督的命求
[00:01:53.920 --> 00:01:54.920]  阿門
[00:01:57.120 --> 00:01:58.520]  一提到智慧
[00:01:58.520 --> 00:02:01.520]  可能大家馬上想起一個人
