
[00:00:00.000 --> 00:00:06.440]  現在講到一個很經典的內容
[00:00:06.440 --> 00:00:08.840]  是關於耶利哥城
[00:00:08.840 --> 00:00:11.320]  如果大家有上過兒童主義學
[00:00:11.320 --> 00:00:13.920]  或者兒童都應該有聽過這個故事
[00:00:13.920 --> 00:00:15.680]  耶利哥城大家知道是不是
[00:00:15.680 --> 00:00:17.600]  有沒有聽過 請你舉手
[00:00:17.600 --> 00:00:20.840]  耶利哥城的故事
[00:00:20.840 --> 00:00:23.680]  這個故事是很簡單的
[00:00:23.680 --> 00:00:25.120]  如果你已經拿到貓字
[00:00:25.120 --> 00:00:27.320]  我們讀一節的經文出來 好嗎
[00:00:27.320 --> 00:00:29.800]  接著我們就開始進入內容
[00:00:29.800 --> 00:00:33.000]  請打那一節經文出來 只有一節
[00:00:33.000 --> 00:00:34.320]  好像只有一節而已
[00:00:34.320 --> 00:00:35.520]  好 請讀
[00:00:35.520 --> 00:00:40.640]  於是百姓呼喊 祭司也吹角
[00:00:40.640 --> 00:00:44.120]  百姓聽見國聲 便大聲呼喊
[00:00:44.120 --> 00:00:48.280]  城牆就塌陷 百姓便上去進城
[00:00:48.280 --> 00:00:52.400]  各人往前直去 將城奪取
[00:00:52.400 --> 00:00:53.560]  這個故事很簡單
[00:00:53.560 --> 00:00:55.640]  是講到一個很堅固的城
[00:00:55.640 --> 00:00:57.240]  叫做耶利哥城
[00:00:57.240 --> 00:01:01.480]  而這些以色列人要去到當中去攻取這個城
[00:01:01.480 --> 00:01:03.480]  但是用的方法很簡單
[00:01:03.480 --> 00:01:06.040]  但是好像很複雜的一個方法
[00:01:06.040 --> 00:01:08.240]  在這裏走幾天 走了六七天
[00:01:08.240 --> 00:01:09.920]  最後叫這樣就塌陷了
[00:01:09.920 --> 00:01:11.880]  其實故事就是這麼簡單
[00:01:11.880 --> 00:01:13.880]  不過我想其實在聖經裏面
[00:01:13.880 --> 00:01:15.840]  是代表著很多的意思
[00:01:15.840 --> 00:01:18.120]  和你和我的生命有關係
[00:01:18.120 --> 00:01:21.320]  有時牆是代表著保護
[00:01:21.320 --> 00:01:28.000]  但有時亦代表著一種的難阻在我們生命裏面
[00:01:28.000 --> 00:01:29.920]  是不是在拿筆寫筆記
[00:01:29.920 --> 00:01:33.000]  你先拿筆
[00:01:33.000 --> 00:01:37.600]  我的小朋友有三個小朋友 三個兒女
[00:01:37.600 --> 00:01:41.240]  小的都十四歲 接著十七歲 二十二歲
[00:01:41.240 --> 00:01:43.360]  所以其實和你們年齡不是差很遠
[00:01:43.360 --> 00:01:44.880]  在當中的年齡
[00:01:44.880 --> 00:01:47.440]  我發覺年輕人是面對很多的問題
[00:01:47.440 --> 00:01:49.240]  我自己小時候都面對很多問題
[00:01:49.240 --> 00:01:53.240]  於是我上網看看今天美國的年輕人面對甚麼問題
[00:01:53.240 --> 00:01:54.880]  他們面對十大問題
[00:01:54.880 --> 00:01:56.440]  沒有在你的貓咪裏 沒有在你的PowerPoint裏
[00:01:56.440 --> 00:01:58.000]  請你要聽我讀出來
[00:01:58.000 --> 00:02:01.040]  第一 是一個單親家庭的問題
[00:02:01.040 --> 00:02:03.520]  在美國裏面很多的婚姻破碎
[00:02:03.520 --> 00:02:07.480]  所以很多小朋友在一個單親的家庭裏面長大
[00:02:07.480 --> 00:02:08.880]  我想不單止是單親
[00:02:08.880 --> 00:02:10.240]  甚至有些雖然有父母
[00:02:10.240 --> 00:02:13.280]  但仍然在家庭裏面有很多的張力
[00:02:13.280 --> 00:02:15.320]  很多的問題 很多的事情要面對
[00:02:15.320 --> 00:02:18.520]  這是第一個美國青少年面對的問題
[00:02:18.520 --> 00:02:22.920]  第二 是毒品與酒的問題
[00:02:22.920 --> 00:02:28.120]  很多外國在美國 例如美國或者西方國家
[00:02:28.120 --> 00:02:30.240]  酒和毒品是很普遍的事情
[00:02:30.240 --> 00:02:32.240]  在上學校可能打開書包
[00:02:32.240 --> 00:02:34.160]  不單止是書本或者IPad
[00:02:34.160 --> 00:02:36.440]  可能有一包軟性毒品在裏面
[00:02:36.440 --> 00:02:39.800]  或者是放學後一段時間都可以喝酒
[00:02:39.800 --> 00:02:41.920]  第三 這個不知道你們有沒有聽過
[00:02:41.920 --> 00:02:44.600]  他說現在的美國青少年
[00:02:44.600 --> 00:02:49.640]  是長大得太快
[00:02:49.640 --> 00:02:52.880]  即是他們很小的時候已經品嘗了一些大人
[00:02:52.880 --> 00:02:54.720]  以前我們大人才品嘗到的東西
[00:02:54.720 --> 00:02:56.800]  現在很小的時候已經品嘗到
[00:02:56.800 --> 00:02:57.960]  不知道你明不明白甚麼意思
