
[00:00:00.000 --> 00:00:02.240]  哥倫多是一個什麼地方呢?
[00:00:02.240 --> 00:00:08.640]  哥倫多現在是在希臘南部這個地方
[00:00:08.640 --> 00:00:12.420]  接近一個半島、一個海口、一個地方裡面
[00:00:12.420 --> 00:00:19.680]  所以因為它是接壤大陸和有一個海岸的關係
[00:00:19.680 --> 00:00:22.920]  所以它的交通就很發達
[00:00:22.920 --> 00:00:28.200]  交通發達,資源、經濟各方面都能夠日益發達
[00:00:28.200 --> 00:00:32.680]  再加上那裡有很多船去停泊
[00:00:32.680 --> 00:00:34.680]  有很多水手去逗留
[00:00:34.680 --> 00:00:36.680]  很多水手逗留的地方
[00:00:36.680 --> 00:00:41.120]  你會想到那個地方是一個五光十色的地方
[00:00:41.120 --> 00:00:43.880]  好像我們以往玩仔的地方
[00:00:43.880 --> 00:00:48.800]  這個都是哥倫多那個地方的情況
[00:00:48.800 --> 00:00:50.960]  在公元44年的時候
[00:00:50.960 --> 00:00:54.960]  凱撒大帝重建一個城
[00:00:54.960 --> 00:00:57.280]  成為一個羅馬的殖民地
[00:00:57.280 --> 00:01:07.320]  特別有很多退伍的軍人遷居到哥倫多這個地方
[00:01:07.320 --> 00:01:14.080]  所以慢慢這個地方就成為一個往上流的社會
[00:01:14.080 --> 00:01:19.000]  慢慢這個地方因為很多人的遷入
[00:01:19.000 --> 00:01:22.680]  商貿的發達等等
[00:01:22.680 --> 00:01:30.120]  成為一個當時很有活力有動感的一個商業的城市
[00:01:30.120 --> 00:01:34.440]  於是這個地方繼續有大量的資金流入
[00:01:34.440 --> 00:01:39.480]  有很多大型的運動的比賽在那裡舉行
[00:01:39.480 --> 00:01:41.720]  很多人去那裡參與
[00:01:41.720 --> 00:01:43.560]  很多的派對
[00:01:43.560 --> 00:01:47.720]  很多的活動
[00:01:47.720 --> 00:01:50.280]  很多的夜生活等等
[00:01:50.280 --> 00:01:56.840]  所以這個地方可以說是一個多元文化共融的一個地方
[00:01:56.840 --> 00:02:01.280]  以至保羅在這個地方去建立教會
[00:02:01.280 --> 00:02:09.000]  這個哥倫多教會都欣著在一個多元的社會
[00:02:09.000 --> 00:02:13.200]  其實裡面也充滿很多罪惡的地方裡面
[00:02:13.200 --> 00:02:15.040]  建立一間教會是不容易的
[00:02:15.040 --> 00:02:17.760]  當然這個教會裡面是神去保守
