
[00:00:00.000 --> 00:00:03.880]  我們這個聖經可信媽系列
[00:00:03.880 --> 00:00:06.120]  已經講了兩個訊息
[00:00:06.120 --> 00:00:07.640]  第一個訊息就是
[00:00:07.640 --> 00:00:10.360]  聖經是否真是神的話語
[00:00:10.360 --> 00:00:13.040]  我們說聖經真是神的話語
[00:00:13.040 --> 00:00:15.760]  是神將祂自己顯示出來
[00:00:15.760 --> 00:00:18.320]  神是透過兩種不同的啟示
[00:00:18.320 --> 00:00:20.240]  將自己顯示出來
[00:00:20.240 --> 00:00:22.280]  一種就是自然啟示
[00:00:22.280 --> 00:00:24.120]  或者是普通啟示
[00:00:24.120 --> 00:00:27.120]  這個就是神的創造
[00:00:27.120 --> 00:00:28.560]  透過神的創造
[00:00:28.560 --> 00:00:30.400]  我們知道有一位神
[00:00:30.400 --> 00:00:33.480]  但我們不能夠認識這一位神
[00:00:33.480 --> 00:00:36.000]  我們不知道他是哪一位
[00:00:36.000 --> 00:00:37.280]  神就是將他自己
[00:00:37.280 --> 00:00:40.080]  放在每個人的心裡面
[00:00:40.080 --> 00:00:42.440]  所以我們要透過特別的啟示
[00:00:42.440 --> 00:00:44.040]  就是神的話語
[00:00:44.040 --> 00:00:45.200]  來認識神
[00:00:45.200 --> 00:00:47.080]  帶領我們去耶穌基督那裡
[00:00:47.080 --> 00:00:50.240]  我們才能夠得救
[00:00:50.240 --> 00:00:52.680]  第二個訊息我們又講了
[00:00:52.680 --> 00:00:55.680]  就是神怎樣將這個啟示
[00:00:55.680 --> 00:00:58.480]  給聖經作者
[00:00:58.480 --> 00:01:02.840]  怎樣將這些密事傳達給世人
[00:01:02.840 --> 00:01:04.440]  我們說這些密事
[00:01:04.440 --> 00:01:08.080]  不是靠作者自己的智慧水平
[00:01:08.080 --> 00:01:09.400]  我們說這些密事
[00:01:09.400 --> 00:01:12.240]  不是靠概念的傳達
[00:01:12.240 --> 00:01:15.280]  也不是密書
[00:01:15.280 --> 00:01:19.440]  也更加不是在乎於讀者的感動
[00:01:19.440 --> 00:01:21.840]  你有感動沒有感動讀聖經
[00:01:21.840 --> 00:01:23.600]  聖經都是神的話語
[00:01:23.600 --> 00:01:25.480]  都是神的密事
[00:01:25.480 --> 00:01:28.600]  如果聖經真的是神的密事的話
[00:01:28.600 --> 00:01:30.960]  就應該是沒有錯的
[00:01:30.960 --> 00:01:36.520]  這個就是我們今天要講的題目
[00:01:36.520 --> 00:01:38.840]  第一點我們要講的
[00:01:38.840 --> 00:01:41.480]  神的話語是沒有錯誤
[00:01:41.480 --> 00:01:44.440]  in Arran這個字英文
[00:01:44.440 --> 00:01:46.800]  無錯誤就是說在事實上
[00:01:46.800 --> 00:01:49.320]  在內容上是沒有錯誤
[00:01:49.320 --> 00:01:51.000]  沒有矛盾
[00:01:51.000 --> 00:01:56.160]  施篇的十二篇六節、一百一十九篇的一百四十節
[00:01:56.160 --> 00:01:58.440]  和箴言的三十篇五節
[00:01:58.440 --> 00:02:00.880]  都是有這樣的思想
[00:02:00.880 --> 00:02:02.200]  今天的經文
[00:02:02.200 --> 00:02:04.920]  施篇的十八篇第三十節
[00:02:04.920 --> 00:02:06.280]  剛才我們讀過
[00:02:06.280 --> 00:02:09.960]  「或至於神,他的道是完全的」
[00:02:09.960 --> 00:02:12.240]  「而或話是煉成的」
[00:02:12.240 --> 00:02:16.600]  「凡投靠他的,他便作他們的盾牌」
[00:02:16.600 --> 00:02:18.520]  很清楚地告訴我們
[00:02:18.520 --> 00:02:22.240]  神的話語是完全的傳避
[00:02:22.240 --> 00:02:26.360]  這個字也可以解釋為無瑕疵
[00:02:26.360 --> 00:02:28.520]  絕對是沒有錯誤
[00:02:28.520 --> 00:02:31.080]  不會說謊
[00:02:31.080 --> 00:02:33.520]  我們說沒有錯誤
[00:02:33.520 --> 00:02:35.680]  是聖經的原稿
[00:02:35.680 --> 00:02:38.280]  不是我們手上的聖經
[00:02:38.280 --> 00:02:40.080]  我們知道我們手上的聖經
[00:02:40.080 --> 00:02:42.760]  是經過民事一路抄襲
[00:02:42.760 --> 00:02:45.600]  抄襲的時候他們是很小心
