
[00:00:00.000 --> 00:00:07.000]  我們今天有一個題目就是「主恩救容,願神祝福我們,請我們一起禱告」
[00:00:07.000 --> 00:00:12.000]  天父,多謝祢給我們有寶貴的話語
[00:00:12.000 --> 00:00:16.000]  求主祢幫助我們,我們的人生總是會有高高低低
[00:00:16.000 --> 00:00:20.000]  但是靠著祢的恩典,我們可以去欣然的渡過
[00:00:20.000 --> 00:00:23.000]  求主祝福幫助我們明白祢的話
[00:00:23.000 --> 00:00:26.000]  祈禱奉主耶穌基督的名,阿們
[00:00:26.000 --> 00:00:30.000]  人很多時候都會很驕傲,自我
[00:00:30.000 --> 00:00:35.000]  一有小事,看到自己的好處或者成就
[00:00:35.000 --> 00:00:37.000]  往往我們會自我膨脹
[00:00:37.000 --> 00:00:41.000]  我記得有一次我同一班搭車
[00:00:41.000 --> 00:00:44.000]  在路上有一對夫婦,是Vogue的夫婦
[00:00:44.000 --> 00:00:48.000]  這是我很早期在Vogue侍奉的時候
[00:00:48.000 --> 00:00:52.000]  通常很多人叫我做Andy,現在也是一樣
[00:00:52.000 --> 00:00:55.000]  這對夫婦跟我談過當中
[00:00:55.000 --> 00:00:58.000]  她說Andy,你聖經都很熟悉
[00:00:58.000 --> 00:01:01.000]  你讀了多少次聖經?你看過多少次?
[00:01:01.000 --> 00:01:05.000]  這個問題我就不知道怎麼回答
[00:01:05.000 --> 00:01:07.000]  因為我都沒有數過
[00:01:07.000 --> 00:01:09.000]  想著想著怎麼回答她
[00:01:09.000 --> 00:01:11.000]  然後我就想著想著
[00:01:11.000 --> 00:01:14.000]  聽說有些人說,傳道人很喜歡讀聖經
[00:01:14.000 --> 00:01:16.000]  大概五十次
[00:01:16.000 --> 00:01:21.000]  我就回答,四十次
[00:01:21.000 --> 00:01:25.000]  我想著,嘩!我這樣說,可能某些經文
[00:01:25.000 --> 00:01:28.000]  我回覆她很多次,但整本聖經四十次
[00:01:28.000 --> 00:01:30.000]  這一定是誇張了
[00:01:30.000 --> 00:01:33.000]  其實應該是說了一個大話
[00:01:33.000 --> 00:01:38.000]  人就是這樣,你的驕傲很容易會出來
[00:01:38.000 --> 00:01:40.000]  有一次,一位英國的
[00:01:40.000 --> 00:01:43.000]  很出名的史佈鎮 Spurgeon
[00:01:43.000 --> 00:01:47.000]  十個世紀的一個英國的一個很出名的木者
[00:01:47.000 --> 00:01:50.000]  他一次講完道之後就下台了
