
[00:00:00.000 --> 00:00:05.880]  2025年新榮樹宣教網絡的御苦期靈修四十天
[00:00:05.880 --> 00:00:07.480]  今次我選的主題是
[00:00:07.480 --> 00:00:10.440]  耶穌我主我神
[00:00:10.440 --> 00:00:14.080]  由四十個角度來看主耶穌基督
[00:00:14.080 --> 00:00:15.800]  今天是第十一天
[00:00:15.800 --> 00:00:20.120]  是講主耶穌一些很重要的生平要事
[00:00:20.120 --> 00:00:25.320]  昨天你知道主耶穌是受試探
[00:00:25.320 --> 00:00:27.200]  今天也是受試探
[00:00:27.200 --> 00:00:30.760]  不過我改了一個較特別、較狡猾的名字
[00:00:30.760 --> 00:00:33.280]  叫做「三打撒旦」
[00:00:33.280 --> 00:00:35.240]  有原因選擇這個名字
[00:00:35.240 --> 00:00:37.000]  一會兒再看下去
[00:00:37.000 --> 00:00:39.720]  「三次打擊撒旦」
[00:00:39.720 --> 00:00:42.280]  希望我們都會看到主耶穌
[00:00:42.280 --> 00:00:46.200]  祂怎樣來回應撒旦
[00:00:46.200 --> 00:00:48.040]  我們一起禱告
[00:00:48.040 --> 00:00:50.200]  祈求上主幫助我們
[00:00:50.200 --> 00:00:52.920]  更明白祢的心意
[00:00:52.920 --> 00:00:54.240]  多讀聖經
[00:00:54.240 --> 00:00:55.400]  了解祢的心意
[00:00:55.400 --> 00:00:58.720]  以致我們可以用祢的話語來回應撒旦
[00:00:58.720 --> 00:01:01.280]  給我們的挑戰與試探
[00:01:01.280 --> 00:01:05.280]  看到主耶穌祢的兒子有非常好的榜樣
[00:01:05.280 --> 00:01:06.960]  給我們學習
[00:01:06.960 --> 00:01:08.520]  求祢的話語充滿我們
[00:01:08.520 --> 00:01:12.320]  求聖靈時時用祢的話提醒我們
[00:01:12.320 --> 00:01:13.160]  多謝主
[00:01:13.160 --> 00:01:15.680]  祢的話語安定在天
[00:01:15.680 --> 00:01:17.600]  祢的話語滿有能力
[00:01:17.600 --> 00:01:20.640]  祢的話語打開就發出亮光
[00:01:20.640 --> 00:01:22.400]  讚美上主
[00:01:22.400 --> 00:01:24.400]  祢所講的都要成就
[00:01:24.400 --> 00:01:26.320]  因為祢是信實的主
[00:01:26.320 --> 00:01:27.320]  說有就有
[00:01:27.320 --> 00:01:28.600]  命立就立
[00:01:28.600 --> 00:01:32.400]  祢的話都是真實可靠寶貴的
[00:01:32.400 --> 00:01:34.880]  願祢得到榮耀稱讚
[00:01:34.880 --> 00:01:35.640]  我敬拜祢
[00:01:35.640 --> 00:01:37.040]  我尊崇祢
[00:01:37.040 --> 00:01:38.720]  我愛讀祢的話語
[00:01:38.720 --> 00:01:40.360]  遵行祢的話語
[00:01:40.360 --> 00:01:43.240]  以一切榮耀歸在主耶穌名下
[00:01:43.240 --> 00:01:45.480]  國道權命榮耀全是祢的
[00:01:45.480 --> 00:01:46.680]  直到永遠
[00:01:46.680 --> 00:01:48.320]  阿門
[00:01:48.320 --> 00:01:50.600]  讚美上主
[00:01:50.600 --> 00:01:52.840]  聖經比較長
[00:01:52.840 --> 00:01:55.240]  《馬達福音》第四章
[00:01:55.240 --> 00:02:00.720]  「他禁食四十晝夜,後來就餓了。」
[00:02:00.720 --> 00:02:04.400]  「那斯探人的進前來對他說:
[00:02:04.400 --> 00:02:06.600]  『你若是上帝的兒子,
[00:02:06.600 --> 00:02:10.360]  可以吩咐這些石頭變成食物。』」
[00:02:10.360 --> 00:02:14.920]  大家留意這一節第二節
[00:02:14.920 --> 00:02:17.120]  「禁食四十晝夜,後來就餓了。」
[00:02:17.120 --> 00:02:21.560]  四十晝夜就是主耶穌禁食的時期
[00:02:21.560 --> 00:02:26.000]  是主耶穌受試探的時間
[00:02:26.000 --> 00:02:29.360]  受試探四十晝夜
[00:02:29.360 --> 00:02:32.520]  即是說試探完結了
[00:02:32.520 --> 00:02:34.120]  試探完結後
[00:02:34.120 --> 00:02:36.520]  來到這個位置
[00:02:36.520 --> 00:02:38.520]  就是餓了
[00:02:38.520 --> 00:02:41.480]  試探完結後
[00:02:41.480 --> 00:02:44.240]  大家千萬不要以為
[00:02:44.240 --> 00:02:47.000]  四十天的試探中
[00:02:47.000 --> 00:02:49.360]  有三個最大的試探
[00:02:49.360 --> 00:02:50.280]  其實不是
[00:02:50.280 --> 00:02:55.080]  是四十天之後才有這三個最後的試探
[00:02:55.080 --> 00:02:56.880]  四十天裡的試探
[00:02:56.880 --> 00:02:59.000]  可以說是一般
[00:02:59.000 --> 00:03:00.560]  如果比起這三個
[00:03:00.560 --> 00:03:03.600]  最重點的試探就是一般的試探
[00:03:03.600 --> 00:03:05.040]  三個試探
[00:03:05.040 --> 00:03:08.280]  四十天都搞不定
[00:03:08.280 --> 00:03:10.640]  弄三個好的問題
[00:03:10.640 --> 00:03:13.240]  忍耐一下
[00:03:13.240 --> 00:03:17.600]  「那斯探人的進前來對他說:
[00:03:17.600 --> 00:03:24.720]  『你若是上帝的兒子,可以吩咐這些石頭變成食物。』
