
[00:00:00.000 --> 00:00:04.040]  今次講到的題目是
[00:00:04.040 --> 00:00:05.640]  「清而成聖」
[00:00:05.640 --> 00:00:12.220]  是否很熟悉的題目?
[00:00:12.220 --> 00:00:13.820]  我們信耶穌
[00:00:13.820 --> 00:00:17.560]  因信清而成聖
[00:00:17.560 --> 00:00:19.520]  這兩個名詞
[00:00:19.520 --> 00:00:23.120]  在信主的人來說
[00:00:23.120 --> 00:00:26.360]  應該都聽過很多
[00:00:26.360 --> 00:00:28.400]  講到亦有很多人講過
[00:00:28.400 --> 00:00:30.960]  我今次挑戰自己
[00:00:30.960 --> 00:00:32.240]  兩樣一起講
[00:00:32.240 --> 00:00:34.740]  因為多數的目者講到
[00:00:34.740 --> 00:00:35.840]  都是要麼講清而
[00:00:35.840 --> 00:00:37.140]  要麼已經有很多東西講
[00:00:37.140 --> 00:00:39.140]  要麼講成聖有很多東西講
[00:00:39.140 --> 00:00:42.880]  我知道我一直都喜歡講到
[00:00:42.880 --> 00:00:45.380]  將一些東西講多一點
[00:00:45.380 --> 00:00:47.980]  以致一個整體的圖畫
[00:00:47.980 --> 00:00:50.780]  可以有些連貫和清晰一點
[00:00:50.780 --> 00:00:52.360]  清而和成聖
[00:00:52.360 --> 00:00:54.420]  究竟又怎樣可以一起講呢?
[00:00:54.420 --> 00:00:56.860]  其實不是我強行將它一起講
[00:00:56.860 --> 00:00:58.960]  聖經它自己將它一起講
[00:00:58.960 --> 00:01:00.660]  我們就引一節聖經
[00:01:27.660 --> 00:01:30.920]  這是保羅寫給哥倫多教會的人
[00:01:30.920 --> 00:01:32.700]  跟他們講的說話
[00:01:32.700 --> 00:01:35.600]  原來這間教會裡面
[00:01:35.600 --> 00:01:38.940]  有些人以前做了這麼多
[00:01:38.940 --> 00:01:40.400]  神不喜悅
[00:01:40.400 --> 00:01:43.640]  不能夠進入神國的事情
[00:01:43.640 --> 00:01:45.380]  保羅跟他們說
[00:01:45.380 --> 00:01:48.340]  你們中間也有些人是這樣的
[00:01:48.340 --> 00:01:49.380]  但
[00:01:49.380 --> 00:01:51.240]  這個但就厲害了
[00:01:51.240 --> 00:01:57.260]  但如今你們奉主耶穌基督的名
[00:01:57.260 --> 00:01:59.680]  並藉著我們神的靈
[00:01:59.680 --> 00:02:04.100]  已經洗淨成聖清二了
[00:02:04.100 --> 00:02:06.500]  這段經文的好處
[00:02:06.500 --> 00:02:10.600]  好在是將成聖和清二放在一起
[00:02:10.600 --> 00:02:12.040]  放在一起
[00:02:12.040 --> 00:02:14.240]  就讓我們要去想
[00:02:14.240 --> 00:02:15.480]  聖經一直講
[00:02:15.480 --> 00:02:17.240]  說成聖講清二
[00:02:17.240 --> 00:02:18.540]  是什麼呢?
[00:02:18.540 --> 00:02:20.440]  是不是好像有些人說
[00:02:20.440 --> 00:02:24.040]  其實是兩回事
[00:02:24.040 --> 00:02:25.740]  分開的
[00:02:25.740 --> 00:02:26.980]  是不是這樣呢?
[00:02:26.980 --> 00:02:29.320]  根據聖經所講
[00:02:29.320 --> 00:02:31.120]  一直看下去就不是
