
[00:00:00.000 --> 00:00:06.540]  我剛才說,我們屬靈的生命成長,要仰望耶穌基督。
[00:00:06.540 --> 00:00:10.320]  剛才我們說,我們屬靈生命的成長,要仰望耶穌基督。
[00:00:10.320 --> 00:00:19.100]  換句話說,耶穌是我們的榜樣,耶穌在地上的時候,三年左右的時間,
[00:00:19.100 --> 00:00:29.300]  祂給我們帶領門徒們,跟祂走遍耶路撒冷和以色列的地方,
[00:00:29.300 --> 00:00:37.220]  他帶領門徒走遍耶路撒冷和以色列這個大地方,
[00:00:37.220 --> 00:00:44.880]  在這個過程當中,他就訓練門徒,今天我們讀這個聖經,
[00:00:44.880 --> 00:00:54.940]  其實大家可能也熟悉,當耶穌在地上的時候,祂做了很多的神蹟騎士,
[00:00:54.940 --> 00:01:05.500]  很多的人去擁戴祂,門徒也跟著祂,所以耶穌就到處醫病趕鬼,
[00:01:05.500 --> 00:01:18.080]  在這個過程當中,祂很忙碌,忙碌的時候,很多人逼著祂,要做一些事情,
[00:01:18.080 --> 00:01:27.060]  這個故事是什麼呢?就是在那個時候,經文一開始說那時,
[00:01:27.060 --> 00:01:35.280]  這個時候是什麼時候呢?就是祂做了很多事情,而且很多人跟隨祂,
[00:01:35.280 --> 00:01:43.040]  而且要擁戴祂,要從祂身上得到好的結果,
[00:01:43.040 --> 00:01:48.160]  所以在祂忙碌的時候,祂就離開了,
[00:01:48.160 --> 00:02:01.140]  聖經告訴我們,祂上山禱告,這個時候,祂就安靜在父神的懷中,
[00:02:01.140 --> 00:02:11.820]  我們的主常常給門徒們這個榜樣,給門徒們的榜樣,
[00:02:11.820 --> 00:02:19.840]  就是當祂忙碌的時候,很多人叫祂做一些事情的時候,
[00:02:19.840 --> 00:02:28.860]  祂有時候退出來,祂會上山禱告,這個上山禱告是幹什麼呢?
[00:02:28.860 --> 00:02:37.540]  我們的主知道,祂在地上所做的事情,完全是父神派祂來做的,
[00:02:37.540 --> 00:02:44.460]  是不是?所以我們主說,我離開了父神不能做什麼,
[00:02:44.460 --> 00:02:52.080]  祂跟父神是連在一起的,所以祂在地上的時候,
[00:02:52.080 --> 00:03:04.400]  把自己限制在人的肉體裡頭,這個時候,祂靠著父神給祂的力量,
[00:03:04.400 --> 00:03:13.440]  所以祂常常退開人間,上山禱告,找個安靜的地方,
[00:03:13.440 --> 00:03:21.140]  因為祂知道祂的力量的源泉,當祂把自己限制在肉身之間的時候,
[00:03:21.140 --> 00:03:32.920]  是父神,是天上的父神,所以這個是給我們一個榜樣,
[00:03:32.920 --> 00:03:40.720]  就是我們屬靈的生命成長,其中一個維度,
[00:03:40.720 --> 00:03:47.940]  最重要的,就是一個向上的關係,
[00:03:47.940 --> 00:04:05.200]  我這個PPT不work了,沒反應,好像沒反應,
[00:04:05.200 --> 00:04:17.640]  沒關係,就是向上的關係,我想我們每一個基督徒,
[00:04:17.640 --> 00:04:29.260]  在屬靈成長的過程當中,就是我們要跟神連接的關係,
[00:04:29.260 --> 00:04:35.920]  你和我每一個人,我們都要跟神直接的關係,
[00:04:35.920 --> 00:04:43.500]  我們要學習向耶穌基督,常常跟主連接,
[00:04:43.500 --> 00:04:49.840]  那耶穌也在祂跟門徒們的禱告裏面,
[00:04:49.840 --> 00:04:55.260]  祂就在那裏為門徒們禱告,
[00:04:55.260 --> 00:05:01.600]  在約翰福音十三章,十四章,十五章,
[00:05:01.600 --> 00:05:06.040]  耶穌基督快要離開的時候,祂跟門徒們講,
[00:05:06.040 --> 00:05:18.340]  祂說你們是什麽,你們是什麽,祂說你們是什麽,
[00:05:18.340 --> 00:05:24.800]  祂說我是什麽,我是什麽,葡萄樹,對不對,
[00:05:24.800 --> 00:05:32.640]  記不記得,耶穌說我是葡萄樹,你們是什麽,
[00:05:32.640 --> 00:05:38.980]  你們是枝子,你們離開了樹,就什麽樣子,
[00:05:38.980 --> 00:05:43.840]  就沒了,所以我們是基督徒的,
[00:05:43.840 --> 00:05:49.120]  我們必須跟我們的神連接在一起,
[00:05:49.120 --> 00:05:55.780]  那我們這群人,我們常常有很多的忙碌在世界上,
[00:05:55.780 --> 00:06:00.980]  工作的忙碌,家庭的忙碌,生活的忙碌,
[00:06:00.980 --> 00:06:05.080]  甚至服事的忙碌,常常忙碌的時候,
[00:06:05.080 --> 00:06:08.080]  我們就不知道我們的力量的源泉在哪裏,
[00:06:08.080 --> 00:06:15.680]  其實耶穌基督教導我們,我們要知道,
[00:06:15.680 --> 00:06:20.880]  常常上山禱告,跟我們的父神連接,
[00:06:20.880 --> 00:06:27.280]  跟我們的主連接,那我在英國十年了,
[00:06:27.280 --> 00:06:31.280]  常常到不同的教會去講道,
[00:06:31.280 --> 00:06:36.680]  COCM的工作是遍佈英國和歐洲,
[00:06:36.680 --> 00:06:43.780]  我們的事工也很廣,常常到不同的地方去分享,
[00:06:43.780 --> 00:06:49.480]  有時候真的是忙得不可開交,
[00:06:49.480 --> 00:06:52.880]  有一次牧師去蘇格蘭,
[00:06:52.880 --> 00:06:57.980]  蘇格蘭其實我每年都要去一次,
[00:06:57.980 --> 00:07:00.480]  蘇格蘭很漂亮對不對?
[00:07:00.480 --> 00:07:03.080]  你們有沒有去過蘇格蘭?
[00:07:03.080 --> 00:07:06.780]  都有去過,蘇格蘭最漂亮的是高地裏頭對不對?
[00:07:06.780 --> 00:07:09.580]  蘇格蘭最漂亮就是高地的地方,
[00:07:09.580 --> 00:07:14.480]  以前我不知道蘇格蘭高地是什麽意思,
[00:07:14.480 --> 00:07:18.580]  我以為是很高的地,
[00:07:18.580 --> 00:07:28.280]  其實不是,只是那個地方在他們來說是一個地區性的分別,
[00:07:28.280 --> 00:07:31.980]  但是很感謝神,確實是很美的地方,
[00:07:31.980 --> 00:07:36.580]  但是每次去了我都是在Glasgow呆,
[00:07:36.580 --> 00:07:41.180]  或者在Edinburgh,或者在Aberdeen,
[00:07:41.180 --> 00:07:46.280]  或者在Dundee,你去過蘇格蘭的人就知道了,
[00:07:46.280 --> 00:07:49.080]  這不是真正的高地對不對?
[00:07:49.080 --> 00:07:52.680]  這都是海邊的原地,
[00:07:52.680 --> 00:07:58.280]  這是低地,lowland,
[00:07:58.280 --> 00:08:03.180]  但是我的忙碌常常是在低的地方,
[00:08:03.180 --> 00:08:06.480]  所以每次去Glasgow講道,
[00:08:06.480 --> 00:08:09.480]  一講道就是一個周末,
[00:08:09.480 --> 00:08:14.280]  沒有時間去,然後開車去六個小時,
[00:08:14.280 --> 00:08:16.980]  回來有八個小時,很累,
[00:08:16.980 --> 00:08:21.880]  有一次我去了講道,
[00:08:21.880 --> 00:08:27.980]  我這次去其實也是挺辛苦的,
[00:08:27.980 --> 00:08:30.980]  也要開車上去,
