
[00:00:00.000 --> 00:00:03.500]  神啊,我們就在以下的時間
[00:00:03.500 --> 00:00:07.000]  我們將我們的心交出來
[00:00:07.000 --> 00:00:11.000]  願祢親自的對我們說話
[00:00:11.000 --> 00:00:15.000]  讓說的、聽的,都是能夠同感一靈
[00:00:15.000 --> 00:00:19.000]  我們這樣禱告,奉主耶穌名求,阿門
[00:00:19.000 --> 00:00:21.000]  好,大家請坐
[00:00:21.000 --> 00:00:27.000]  我們來到繼續說《撒慕爾記》
[00:00:27.000 --> 00:00:30.000]  今天我們說的是第十二章
[00:00:30.000 --> 00:00:33.000]  第十二章的題目是
[00:00:33.000 --> 00:00:35.000]  「你就是那人」
[00:00:35.000 --> 00:00:36.000]  「你就是他」
[00:00:36.000 --> 00:00:38.000]  「你就是這個人」
[00:00:38.000 --> 00:00:45.000]  話說在第十二章一開始的時候
[00:00:45.000 --> 00:00:48.000]  那丹仙芝就來見大衛
[00:00:48.000 --> 00:00:51.000]  他就說有一天
[00:00:51.000 --> 00:00:53.000]  有一天
[00:00:55.000 --> 00:00:58.000]  在一個城裏有兩個有錢人
[00:00:58.000 --> 00:01:02.000]  有一個有錢人,有一個窮人
[00:01:02.000 --> 00:01:05.000]  這個有錢人有很多牛羊
[00:01:05.000 --> 00:01:09.000]  但這個窮人就只有一隻羊羔
[00:01:09.000 --> 00:01:13.000]  這隻羊羔從小買回來的時候
[00:01:13.000 --> 00:01:18.000]  就和他的子女一起玩、一起吃、一起睡覺
[00:01:18.000 --> 00:01:22.000]  所以他當他好像自己的子女一樣
[00:01:22.000 --> 00:01:24.000]  誰知道
[00:01:24.000 --> 00:01:26.000]  這個有錢人有一天
[00:01:26.000 --> 00:01:28.000]  有一個貴賓來到
[00:01:28.000 --> 00:01:31.000]  他就想我要請客
[00:01:31.000 --> 00:01:33.000]  請客的時候
[00:01:33.000 --> 00:01:35.000]  他就捨不得
[00:01:35.000 --> 00:01:38.000]  他捨不得,不是有錢人很多就捨得
[00:01:38.000 --> 00:01:42.000]  他竟然捨不得在自己眾多的牛羊裏面
[00:01:42.000 --> 00:01:44.000]  拿一隻出來見客
[00:01:44.000 --> 00:01:47.000]  他就走到窮人家裏面
[00:01:47.000 --> 00:01:50.000]  拿了他唯一的一隻羊羔
[00:01:52.000 --> 00:01:54.000]  講到這裏的時候
[00:01:54.000 --> 00:01:59.000]  大衛好像一種異怒那樣
[00:01:59.000 --> 00:02:02.000]  很自然的反應,不知道是不是做慣審判官
[00:02:02.000 --> 00:02:04.000]  他接著就說
[00:02:04.000 --> 00:02:06.000]  這樣都可以?
[00:02:06.000 --> 00:02:10.000]  這個人這麼沒有憐恤的心
[00:02:10.000 --> 00:02:12.000]  該死該死
[00:02:12.000 --> 00:02:14.000]  他真的該死
[00:02:14.000 --> 00:02:16.000]  並且他說
[00:02:16.000 --> 00:02:19.000]  要按照我們的律例
[00:02:19.000 --> 00:02:20.000]  賠償的律例
[00:02:20.000 --> 00:02:23.000]  但他要償還四倍
[00:02:23.000 --> 00:02:29.000]  其實
[00:02:29.000 --> 00:02:33.000]  我不知道拿丹有沒有期望過
[00:02:33.000 --> 00:02:35.000]  這個
[00:02:35.000 --> 00:02:39.000]  由大衛的口裏面出這個審判
[00:02:39.000 --> 00:02:41.000]  因為
[00:02:41.000 --> 00:02:43.000]  在當時裏面
[00:02:43.000 --> 00:02:45.000]  拿丹就
[00:02:45.000 --> 00:02:48.000]  反應的是甚麼呢
[00:02:48.000 --> 00:02:50.000]  他轉過頭來
[00:02:50.000 --> 00:02:52.000]  他就說
[00:02:52.000 --> 00:02:54.000]  這人
[00:02:54.000 --> 00:02:56.000]  就是你
[00:02:56.000 --> 00:02:58.000]  你就是那個人
[00:02:58.000 --> 00:03:01.000]  大衛想都想不到
[00:03:01.000 --> 00:03:03.000]  他自己
[00:03:03.000 --> 00:03:05.000]  做了自己的審判官
[00:03:05.000 --> 00:03:09.000]  到底
[00:03:09.000 --> 00:03:12.000]  大衛犯了甚麼罪呢
[00:03:12.000 --> 00:03:14.000]  大衛犯了甚麼罪
[00:03:14.000 --> 00:03:16.000]  以致他跌倒呢
[00:03:19.000 --> 00:03:21.000]  我們看下去
[00:03:21.000 --> 00:03:23.000]  我們看下第九至第十四節裏面
[00:03:23.000 --> 00:03:25.000]  我們看見
[00:03:25.000 --> 00:03:27.000]  聖經就記載
[00:03:27.000 --> 00:03:29.000]  是沒有隱藏地記載
[00:03:29.000 --> 00:03:31.000]  大衛的軟弱
[00:03:31.000 --> 00:03:33.000]  大衛的犯罪
[00:03:33.000 --> 00:03:35.000]  縱然
[00:03:35.000 --> 00:03:36.000]  我們知道
[00:03:36.000 --> 00:03:40.000]  神稱大衛是一個合他心意的人
[00:03:40.000 --> 00:03:44.000]  在這裏
[00:03:44.000 --> 00:03:46.000]  我們先讀第九節和第十節
[00:03:46.000 --> 00:03:48.000]  第九節和第十節
[00:03:48.000 --> 00:03:50.000]  我們一起讀
[00:03:50.000 --> 00:03:52.000]  你為甚麼藐視耶和華的命令
[00:03:52.000 --> 00:03:55.000]  行他眼中看為惡的事呢
[00:03:55.000 --> 00:03:57.000]  你借阿滿人的刀
[00:03:57.000 --> 00:03:59.000]  殺害黑人烏尼亞
[00:03:59.000 --> 00:04:02.000]  又取了他的妻為妻
[00:04:02.000 --> 00:04:04.000]  你既藐視我
[00:04:04.000 --> 00:04:06.000]  取了黑人烏尼亞的妻為妻
[00:04:06.000 --> 00:04:08.000]  所以刀劍
[00:04:08.000 --> 00:04:12.000]  必永不離開你的家
[00:04:14.000 --> 00:04:16.000]  各位兄弟姐妹
[00:04:16.000 --> 00:04:18.000]  在這裏我們看見
[00:04:18.000 --> 00:04:20.000]  大衛的跌倒的第一件原由是甚麼呢
[00:04:20.000 --> 00:04:22.000]  是因為他藐視
[00:04:22.000 --> 00:04:24.000]  神的命令
[00:04:24.000 --> 00:04:26.000]  行神眼中
[00:04:26.000 --> 00:04:28.000]  看為惡的事
[00:04:28.000 --> 00:04:32.000]  行了甚麼惡事呢
[00:04:32.000 --> 00:04:36.000]  我假設大家
[00:04:36.000 --> 00:04:38.000]  大部份人
[00:04:38.000 --> 00:04:40.000]  在我們的
[00:04:40.000 --> 00:04:42.000]  每日讀經釋義裏面
[00:04:42.000 --> 00:04:44.000]  你是知道
[00:04:44.000 --> 00:04:46.000]  你是詳細的知道
[00:04:46.000 --> 00:04:48.000]  這個故事
[00:04:48.000 --> 00:04:50.000]  所以我不會很刻意
[00:04:50.000 --> 00:04:52.000]  詳細的去講
[00:04:52.000 --> 00:04:54.000]  但是我們在這裏真的看到
[00:04:54.000 --> 00:04:56.000]  大衛
[00:04:56.000 --> 00:04:58.000]  他怎樣藐視
[00:04:58.000 --> 00:05:00.000]  神的律法呢
[00:05:00.000 --> 00:05:04.000]  我們看到
[00:05:04.000 --> 00:05:06.000]  拿丹仙知
[00:05:06.000 --> 00:05:08.000]  他很清楚的講到
[00:05:08.000 --> 00:05:10.000]  他行了神眼中看為惡的事
[00:05:10.000 --> 00:05:12.000]  第一
[00:05:12.000 --> 00:05:14.000]  就是他
[00:05:14.000 --> 00:05:16.000]  在第十一章裏面
[00:05:16.000 --> 00:05:18.000]  第十一章提到
[00:05:18.000 --> 00:05:20.000]  有一日大衛怎樣呢
[00:05:20.000 --> 00:05:22.000]  大衛睡到
[00:05:22.000 --> 00:05:24.000]  黃昭白眼起來之後
[00:05:24.000 --> 00:05:26.000]  他在宮頂上去看
[00:05:26.000 --> 00:05:28.000]  誰知看到了甚麼呢
[00:05:28.000 --> 00:05:30.000]  看見
[00:05:30.000 --> 00:05:32.000]  就是
[00:05:32.000 --> 00:05:34.000]  有一個婦女在沐浴
[00:05:34.000 --> 00:05:36.000]  很漂亮
[00:05:36.000 --> 00:05:38.000]  這個眼浴的
[00:05:38.000 --> 00:05:40.000]  程目就將
[00:05:40.000 --> 00:05:42.000]  大衛大到犯了
[00:05:42.000 --> 00:05:44.000]  姦淫的罪
[00:05:44.000 --> 00:05:46.000]  因為他就召了
[00:05:46.000 --> 00:05:48.000]  這個
[00:05:48.000 --> 00:05:50.000]  這個
[00:05:50.000 --> 00:05:52.000]  婦人來到聖經說
[00:05:52.000 --> 00:05:54.000]  他就和她
[00:05:54.000 --> 00:05:56.000]  來到行淫
[00:05:56.000 --> 00:05:58.000]  和她同房
[00:05:58.000 --> 00:06:00.000]  並且懷了淫
[00:06:00.000 --> 00:06:04.000]  這個人是拔屎吧
[00:06:06.000 --> 00:06:08.000]  他一個屬下
[00:06:08.000 --> 00:06:10.000]  一個將領的妻子
[00:06:10.000 --> 00:06:12.000]  他是明明知道的
[00:06:12.000 --> 00:06:16.000]  大衛
[00:06:16.000 --> 00:06:18.000]  他敵不過
[00:06:18.000 --> 00:06:20.000]  情慾的試探
[00:06:20.000 --> 00:06:22.000]  有人說
[00:06:22.000 --> 00:06:24.000]  特別
[00:06:24.000 --> 00:06:26.000]  就說男性
[00:06:26.000 --> 00:06:28.000]  就是甚麼呢
[00:06:28.000 --> 00:06:30.000]  有三個試探是常常都很難
[00:06:30.000 --> 00:06:32.000]  敵得過的
[00:06:32.000 --> 00:06:34.000]  第一就是權力
[00:06:34.000 --> 00:06:36.000]  第二就是金錢和情慾
[00:06:36.000 --> 00:06:38.000]  大衛有權有勢
[00:06:38.000 --> 00:06:40.000]  有錢
