
[00:00:00.000 --> 00:00:02.960]  我們繼續看若拿書
[00:00:02.960 --> 00:00:06.880]  上一次講到若拿被魚吃了在肚子裏
[00:00:06.880 --> 00:00:08.160]  在肚腹當中
[00:00:08.160 --> 00:00:11.000]  他就三日三夜有一個禱告
[00:00:11.000 --> 00:00:12.240]  上一次就看到
[00:00:12.240 --> 00:00:15.240]  若拿雖然被魚吃了在肚子裏
[00:00:15.240 --> 00:00:19.880]  但是其實他是沒有悔改的
[00:00:19.880 --> 00:00:23.520]  他仍然是很自然在禱告當中表現出來
[00:00:23.520 --> 00:00:25.120]  但是神就很好
[00:00:25.120 --> 00:00:30.200]  神仍然給他們有第二次的機會
[00:00:30.200 --> 00:00:33.680]  這個第二次的機會就是
[00:00:33.680 --> 00:00:38.720]  耶和華的話第二次臨到若拿說
[00:00:38.720 --> 00:00:41.240]  起來往尼尼微大城去
[00:00:41.240 --> 00:00:44.840]  向其中的居民宣告我所吩咐你的話
[00:00:44.840 --> 00:00:50.240]  這裡是神給若拿有第二次的機會
[00:00:50.240 --> 00:00:56.360]  其實神可以叫魚吃了在肚子裏
[00:00:56.360 --> 00:00:58.240]  他悔改當然是好
[00:00:58.240 --> 00:00:59.800]  但他都不悔改
[00:00:59.800 --> 00:01:03.240]  不如用魚消化算了
[00:01:03.240 --> 00:01:06.040]  但是神沒有
[00:01:06.040 --> 00:01:08.120]  神仍然給他有機會
[00:01:08.120 --> 00:01:09.480]  神沒有叫魚消化
[00:01:09.480 --> 00:01:12.600]  然後把他吐出來
[00:01:12.600 --> 00:01:14.360]  套在岸上
[00:01:14.360 --> 00:01:17.560]  然後再跟他講說話
[00:01:17.560 --> 00:01:23.520]  再跟他講說話的時候要他再講之前所吩咐他的說話
[00:01:23.520 --> 00:01:29.440]  這個很明顯其實神是用憐憫的手來對待若拿
[00:01:29.440 --> 00:01:33.040]  有時其實有些事錯了就錯了
[00:01:33.040 --> 00:01:35.200]  其實沒有第二次的機會
[00:01:35.200 --> 00:01:37.840]  這個世界是很殘酷的坦白講
[00:01:37.840 --> 00:01:40.160]  你失敗了
[00:01:40.160 --> 00:01:43.720]  很多事情其實是沒有回頭的
[00:01:43.720 --> 00:01:47.080]  但是在神的當中
[00:01:47.080 --> 00:01:48.680]  神對贖他的人
[00:01:48.680 --> 00:01:51.080]  很多時候都有第二次的機會
[00:01:51.080 --> 00:01:55.440]  對若拿
[00:01:55.440 --> 00:01:59.760]  他就說你再去多一次
[00:01:59.760 --> 00:02:01.600]  他之前沒有去
[00:02:01.600 --> 00:02:03.480]  他之前失敗他沒有去
[00:02:03.480 --> 00:02:07.240]  但是現在神再給多一次機會
[00:02:07.240 --> 00:02:10.160]  你這次就應該好好去做
[00:02:10.160 --> 00:02:12.800]  你第一次錯了
[00:02:12.800 --> 00:02:14.200]  你現在第二次做的時候
[00:02:14.200 --> 00:02:16.600]  希望你都好好去做
[00:02:16.600 --> 00:02:19.480]  那若拿也知道這次就沒得逃避了
[00:02:19.480 --> 00:02:23.000]  因為那條魚在岸上吐出來的時候
[00:02:23.000 --> 00:02:24.920]  他就知道一定要去
[00:02:24.920 --> 00:02:28.720]  那就看看若拿怎麼做了
