
[00:00:00.000 --> 00:00:04.000]  各位弟兄姐妹,早晨
[00:00:04.000 --> 00:00:09.000]  今天是我們第一次在2025年的祖龍崇拜
[00:00:09.000 --> 00:00:13.000]  不如和你旁邊的弟兄姐妹說聲新年快樂吧
[00:00:13.000 --> 00:00:15.000]  好,整年沒見
[00:00:15.000 --> 00:00:18.000]  剛才我看到弟兄姐妹說,整年沒見
[00:00:18.000 --> 00:00:21.000]  我們隔了一年,我們再次回來教會
[00:00:21.000 --> 00:00:24.000]  我們要隨舊迎新
[00:00:24.000 --> 00:00:27.000]  我們在後面有什麼不同了
[00:00:27.000 --> 00:00:30.000]  看到大家都聰明了
[00:00:30.000 --> 00:00:35.000]  所以我把年題放在今天的主題裡
[00:00:35.000 --> 00:00:39.000]  裝備門徒,迎向挑戰
[00:00:39.000 --> 00:00:43.000]  在每一年,我們都可能會有一些年題的更換
[00:00:43.000 --> 00:00:46.000]  我們過年都是,我們都要大裝修
[00:00:46.000 --> 00:00:49.000]  大裝修之前可能要大掃除
[00:00:49.000 --> 00:00:51.000]  接著我們要大裝修
[00:00:51.000 --> 00:00:55.000]  我們將舊的月曆要扔走
[00:00:55.000 --> 00:00:58.000]  換新的,清理房間
[00:00:58.000 --> 00:01:00.000]  其實我們屬靈生命都是
[00:01:00.000 --> 00:01:03.000]  我們屬靈生命都可能需要有大掃除
[00:01:03.000 --> 00:01:08.000]  也都要有更新的時間
[00:01:08.000 --> 00:01:13.000]  有沒有想過,其實我們除了表面上要大掃除
[00:01:13.000 --> 00:01:15.000]  要新裝修之外
[00:01:15.000 --> 00:01:17.000]  其實如果一個屬靈生命的更新
[00:01:17.000 --> 00:01:21.000]  其實是從內裡,由上帝的靈去帶領
[00:01:21.000 --> 00:01:26.000]  有神的一個設計難度,在每個人的生命當中
[00:01:26.000 --> 00:01:28.000]  我們每一年都會很習慣的
[00:01:28.000 --> 00:01:31.000]  我們立志,新的一年我們要
[00:01:31.000 --> 00:01:34.000]  戒除一些過去的壞習慣
[00:01:34.000 --> 00:01:40.000]  說髒話,或者賭錢,或者說謊那些東西
[00:01:40.000 --> 00:01:43.000]  我想我們這裡沒有的,不過我舉例而已
[00:01:43.000 --> 00:01:45.000]  我們立志,我們要回主教學
[00:01:45.000 --> 00:01:48.000]  我們要勤讀聖經,我們要每日靈修
[00:01:48.000 --> 00:01:52.000]  但是這些外表上的行為是好的
[00:01:52.000 --> 00:01:55.000]  但是必須要加上一個內心的更新
[00:01:55.000 --> 00:01:58.000]  才能讓我們真正實踐出來
[00:01:58.000 --> 00:02:00.000]  讓聖靈更新我們的生命
[00:02:00.000 --> 00:02:02.000]  我們住在基督的裡面
[00:02:02.000 --> 00:02:06.000]  踏上這個更新的道路
[00:02:06.000 --> 00:02:08.000]  所以今天我揀選了
[00:02:08.000 --> 00:02:11.000]  《爾忽所書》4章17節24節
[00:02:11.000 --> 00:02:13.000]  就如剛才讀的經文提醒我們
[00:02:13.000 --> 00:02:18.000]  我們要隨去救我救人,穿上一個新人
[00:02:18.000 --> 00:02:21.000]  我們會看看保羅給我們什麼提示
[00:02:21.000 --> 00:02:25.000]  以致我們能夠踏上新的一年,隨舊迎新
[00:02:25.000 --> 00:02:29.000]  我們一起跪在這堂道,我們獻上禱告
[00:02:29.000 --> 00:02:31.000]  親愛的天父,我們多謝你
[00:02:31.000 --> 00:02:33.000]  帶領我們踏上新的一年
[00:02:33.000 --> 00:02:37.000]  見到立志能夠平平安安,坐在禮堂當中
[00:02:37.000 --> 00:02:39.000]  去聆聽上帝你的話語
[00:02:39.000 --> 00:02:43.000]  一同去敬拜我們三日的真神,我們向你獻上感恩
[00:02:43.000 --> 00:02:46.000]  願這一刻,你的靈繼續引導我們
[00:02:46.000 --> 00:02:50.000]  讓我們能夠專心去聽你的話語
[00:02:50.000 --> 00:02:52.000]  心靈能夠去領受
[00:02:52.000 --> 00:02:55.000]  並且願意用我們的身體去活出來
[00:02:55.000 --> 00:02:59.000]  讓孩子將你的話語擺在首位
[00:02:59.000 --> 00:03:02.000]  以致按照你的真理去宣講
[00:03:02.000 --> 00:03:06.000]  目的就是讓弟兄姊妹的生命得到更新
[00:03:06.000 --> 00:03:07.000]  隨舊迎新
[00:03:07.000 --> 00:03:09.000]  求你帶領我們今天的時間
[00:03:09.000 --> 00:03:12.000]  禱告,奉耶穌基督命求,阿們
[00:03:12.000 --> 00:03:14.000]  所以我們剛才已經讀了一段經文
[00:03:14.000 --> 00:03:16.000]  不過我們再逐一讀多一次
[00:03:16.000 --> 00:03:18.000]  首先讀出第十七節
[00:03:18.000 --> 00:03:20.000]  請大家一起,一二三
[00:03:20.000 --> 00:03:22.000]  所以我這樣說
[00:03:22.000 --> 00:03:25.000]  且在主裡鄭重地說
[00:03:25.000 --> 00:03:27.000]  你們行事為人
[00:03:27.000 --> 00:03:29.000]  不要再像外邦人
[00:03:29.000 --> 00:03:32.000]  傳虛妄的心而活
[00:03:32.000 --> 00:03:38.000]  本來就說了舊我有三大特徵
[00:03:38.000 --> 00:03:40.000]  第一個特徵是什麼呢?
[00:03:40.000 --> 00:03:42.000]  就是虛妄
[00:03:42.000 --> 00:03:45.000]  那些外邦人或未有耶穌的人
[00:03:45.000 --> 00:03:48.000]  他們的生命是傳著虛妄的心
[00:03:48.000 --> 00:03:50.000]  虛妄的意思就是說
[00:03:50.000 --> 00:03:55.000]  沒有意義,沒有用,沒有價值的生命方向
[00:03:55.000 --> 00:03:59.000]  這種人就是代表著他們的生命
[00:03:59.000 --> 00:04:01.000]  是拒絕上帝的真理
[00:04:01.000 --> 00:04:04.000]  追隨世俗的價值觀
[00:04:04.000 --> 00:04:07.000]  他內心其實是空虛的
[00:04:07.000 --> 00:04:10.000]  表面上好像很華麗
[00:04:10.000 --> 00:04:14.000]  但他是一個沒有希望,沒有意義的人生
[00:04:14.000 --> 00:04:17.000]  當我們說到虛妄的思想
[00:04:17.000 --> 00:04:19.000]  也很容易我們想起
[00:04:19.000 --> 00:04:24.000]  舊有一個很出名的經卷叫做《傳道書》
[00:04:24.000 --> 00:04:27.000]  《傳道書》的作者就是所羅門王
[00:04:27.000 --> 00:04:32.000]  是當時世代裡舉世聞名和充滿智慧
[00:04:32.000 --> 00:04:36.000]  充滿富有的一個國王,所羅門王
[00:04:36.000 --> 00:04:38.000]  但他所寫的《傳道書》裡
[00:04:38.000 --> 00:04:41.000]  他的宗旨在第一章二節說
[00:04:41.000 --> 00:04:45.000]  虛空的虛空,凡事都虛空
[00:04:45.000 --> 00:04:50.000]  正是跟保羅所寫的這篇所書的虛妄思想不謀而合
[00:04:50.000 --> 00:04:52.000]  兩者都帶出一個就是
[00:04:52.000 --> 00:04:54.000]  如果人生沒有了上帝
[00:04:54.000 --> 00:04:57.000]  就一切都虛空,沒有意義
[00:04:57.000 --> 00:04:59.000]  就好像我們在網上
[00:04:59.000 --> 00:05:03.000]  很想貼一些很清楚的東西
[00:05:03.000 --> 00:05:04.000]  多些人讚好自己
[00:05:04.000 --> 00:05:06.000]  多些人讚好自己的時候
[00:05:06.000 --> 00:05:07.000]  就覺得自己很有價值了
[00:05:07.000 --> 00:05:09.000]  在這個虛擬的網絡上
[00:05:09.000 --> 00:05:12.000]  很多人重視自己了
[00:05:12.000 --> 00:05:14.000]  剛剛在十月三十日
[00:05:14.000 --> 00:05:15.000]  我的電話壞了
[00:05:15.000 --> 00:05:17.000]  我發覺原來沒了電話
[00:05:17.000 --> 00:05:18.000]  真的很虛空
[00:05:18.000 --> 00:05:20.000]  好像你上不了網
[00:05:20.000 --> 00:05:21.000]  什麼都沒有了
[00:05:21.000 --> 00:05:24.000]  原來我們的意義感
[00:05:24.000 --> 00:05:28.000]  難道是建立在這些網上的讚好上嗎
[00:05:28.000 --> 00:05:30.000]  大家有沒有見過這個人
[00:05:30.000 --> 00:05:32.000]  這個誰
[00:05:32.000 --> 00:05:33.000]  不認識嗎
[00:05:33.000 --> 00:05:37.000]  台灣的前總統陳水扁
[00:05:37.000 --> 00:05:39.000]  當他退任之後
[00:05:39.000 --> 00:05:43.000]  被控告貪污的案件
[00:05:43.000 --> 00:05:44.000]  被判入獄
[00:05:44.000 --> 00:05:46.000]  當時他的兒子
[00:05:46.000 --> 00:05:49.000]  在2008年探監的時候
[00:05:49.000 --> 00:05:51.000]  送了一本書給陳水扁
[00:05:51.000 --> 00:05:52.000]  其實我想說這本書的
[00:05:52.000 --> 00:05:54.000]  不知道叫什麼名字
[00:05:54.000 --> 00:06:00.000]  叫做《窮得只剩下錢》
[00:06:00.000 --> 00:06:01.000]  作者是一位牧師
[00:06:01.000 --> 00:06:02.000]  黃洋明牧師
[00:06:02.000 --> 00:06:04.000]  一本心靈的書籍
