
[00:00:00.000 --> 00:00:03.300]  我都想問下大家先問一個問題先
[00:00:03.300 --> 00:00:10.500]  我想問下大家最近有冇搵人幫你手呀
[00:00:10.500 --> 00:00:18.900]  可能係有啲嘢你唔係好識處理呀或者都唔知點樣搞
[00:00:18.900 --> 00:00:19.900]  有冇呢
[00:00:19.900 --> 00:00:22.000]  有
[00:00:22.000 --> 00:00:23.600]  非常好
[00:00:23.600 --> 00:00:25.900]  我呢就有有啲朋友啦
[00:00:25.900 --> 00:00:26.500]  最近又
[00:00:26.500 --> 00:00:29.200]  即係講緊夏年會結婚喎
[00:00:29.200 --> 00:00:30.400]  咁都會問下
[00:00:30.400 --> 00:00:32.600]  其實Sandy呀
[00:00:32.600 --> 00:00:36.200]  香港呢有啲咩嘅教堂呢
[00:00:36.200 --> 00:00:39.900]  即係可以用嚟卜嚟行禮咁樣啦
[00:00:39.900 --> 00:00:42.600]  咁呀問過來人好正常啫係咪
[00:00:42.600 --> 00:00:44.600]  即係分呀結一次㗎喇嘛
[00:00:44.600 --> 00:00:47.400]  咁但係我呢確實呢
[00:00:47.400 --> 00:00:49.600]  都係用過一次咁多㗎啫
[00:00:49.600 --> 00:00:51.400]  所以呢我又唔係好答到喎
[00:00:51.400 --> 00:00:52.200]  咁呀
[00:00:52.200 --> 00:00:54.000]  另外呢有啲朋友話
[00:00:54.000 --> 00:00:54.600]  哎呀
[00:00:54.600 --> 00:00:55.200]  即係
[00:00:55.200 --> 00:00:58.600]  唔係呢度痛又嗰度痛啦
[00:00:58.600 --> 00:01:00.000]  跟住又係問我喎
[00:01:00.000 --> 00:01:01.600]  我話有冇
[00:01:01.600 --> 00:01:03.700]  醫生介紹呀
[00:01:03.700 --> 00:01:05.500]  或者有冇物理治療師呀
[00:01:05.500 --> 00:01:06.000]  咁我
[00:01:06.000 --> 00:01:07.800]  都認識有啲大英姐妹啦
[00:01:07.800 --> 00:01:10.400]  可能即係你哋都有睇過下一啲
[00:01:10.400 --> 00:01:11.400]  咁嘅醫生啦
[00:01:11.400 --> 00:01:12.000]  咁但係
[00:01:12.000 --> 00:01:14.300]  即係我覺得呢樣嘢有啲難嘅
[00:01:14.300 --> 00:01:15.000]  因為始終
[00:01:15.000 --> 00:01:17.500]  即係睇醫生呢樣嘢都係夾㗎
[00:01:17.500 --> 00:01:18.000]  咁呀
[00:01:18.000 --> 00:01:20.400]  咁呀我又係搞唔掂
[00:01:20.400 --> 00:01:21.700]  跟住呢
[00:01:21.700 --> 00:01:25.900]  又聽到有頂姐妹總係常常都會
[00:01:26.600 --> 00:01:29.200]  即係有有咩轉工嘅需要啦
[00:01:29.200 --> 00:01:31.300]  咁呀通常呢
[00:01:31.300 --> 00:01:33.100]  我相信呢啲話題係common啲嘅
[00:01:33.100 --> 00:01:34.600]  大家都係會問下㗎啦
[00:01:34.600 --> 00:01:36.000]  啊其實呢
[00:01:36.000 --> 00:01:37.900]  八卦下
[00:01:37.900 --> 00:01:39.400]  如果係大家做同行呢
[00:01:39.400 --> 00:01:40.800]  就八卦下啲firm啦
[00:01:40.800 --> 00:01:42.400]  哇嗰間係咪好伏㗎
[00:01:42.400 --> 00:01:43.800]  嗰啲人得唔得㗎
[00:01:43.800 --> 00:01:46.100]  又或者都問一問
[00:01:46.100 --> 00:01:47.900]  喂唔係喎你諗清楚先喎
[00:01:47.900 --> 00:01:48.800]  係咪先即係
[00:01:48.800 --> 00:01:50.500]  幾時走好呢年尾喎
[00:01:50.500 --> 00:01:52.400]  係咪出嚟花紅先走呢咁樣
[00:01:52.400 --> 00:01:55.100]  咁我自己呢最近呢
[00:01:55.500 --> 00:01:56.800]  都有嘢問人嘅
[00:01:56.800 --> 00:01:57.900]  咁問咩呢
[00:01:57.900 --> 00:01:59.300]  我就問下
[00:01:59.300 --> 00:02:01.500]  啊
[00:02:01.500 --> 00:02:03.600]  即係最近好多朋友啦
[00:02:03.600 --> 00:02:05.700]  開始上去北上旅行啦
[00:02:05.700 --> 00:02:07.100]  我唔知你有冇試過啦
[00:02:07.100 --> 00:02:08.700]  咁呢話說呢
[00:02:08.700 --> 00:02:10.900]  咁我都想陪下我媽媽啦
[00:02:10.900 --> 00:02:13.100]  即係上下去試下坐高鐵喎
[00:02:13.100 --> 00:02:14.100]  咁呀
[00:02:14.100 --> 00:02:16.400]  陪家人呀梗係唔好自己搞啦
[00:02:16.400 --> 00:02:17.400]  係咪梗係跟團啦
[00:02:17.400 --> 00:02:18.700]  咁但係跟團都要問㗎嘛
[00:02:18.700 --> 00:02:20.600]  因為太耐冇跟團去旅行啦
[00:02:20.600 --> 00:02:21.900]  咁我又問啦
[00:02:21.900 --> 00:02:23.400]  咁我梗係八卦下啦
[00:02:23.400 --> 00:02:25.000]  啲親友呀同事呀
[00:02:25.000 --> 00:02:26.600]  但係佢哋好多都自由行嘅
[00:02:26.600 --> 00:02:27.300]  咁
[00:02:27.300 --> 00:02:29.000]  即係結果又唔係好問到
[00:02:29.000 --> 00:02:29.500]  咁呀
[00:02:29.500 --> 00:02:30.200]  係 隨便啦
[00:02:30.200 --> 00:02:30.900]  即係更加
[00:02:30.900 --> 00:02:32.600]  即係比較出名
[00:02:32.600 --> 00:02:33.500]  最緊要貴㗎啫
[00:02:33.500 --> 00:02:34.300]  係咪呢啲嘢
[00:02:34.300 --> 00:02:36.000]  貴個有保證
[00:02:36.000 --> 00:02:36.800]  咁呀
[00:02:36.800 --> 00:02:38.100]  又搞掂咗啦
[00:02:38.100 --> 00:02:39.900]  不過我想問下大家呢
[00:02:39.900 --> 00:02:40.400]  其實
[00:02:40.400 --> 00:02:42.500]  當你搵人幫手嘅時候呢
[00:02:42.500 --> 00:02:44.400]  其實會唔會有時都唔係
[00:02:44.400 --> 00:02:46.500]  真係好幫到㗎呢
[00:02:46.500 --> 00:02:48.100]  咁
[00:02:48.100 --> 00:02:50.000]  又或者你會唔會有時都會覺得
[00:02:50.000 --> 00:02:52.200]  唉唔好煩啦
[00:02:52.200 --> 00:02:53.500]  即係又要問人
[00:02:53.900 --> 00:02:55.500]  都係靠自己算啦
[00:02:55.500 --> 00:02:57.700]  咁其實今晚呢
[00:02:57.700 --> 00:03:00.000]  我係會同大家繼續去講
[00:03:00.000 --> 00:03:01.900]  Love is an Open Door
