
[00:00:00.000 --> 00:00:02.820]  我們讀一段聖經在詩篇90篇
[00:00:02.820 --> 00:00:05.380]  兩節的聖經我們一同來念來
[00:00:05.380 --> 00:00:07.940]  願祢的作為向祢僕人顯現
[00:00:07.940 --> 00:00:10.740]  願祢的榮耀向他們子孫顯明
[00:00:10.740 --> 00:00:13.820]  願主我們神的榮美歸於我們身上
[00:00:13.820 --> 00:00:16.120]  願祢建立我們所做的功
[00:00:16.120 --> 00:00:19.960]  我們所做的功願祢建立我們就讀到這裡
[00:00:19.960 --> 00:00:24.320]  上禮拜二10月31號不但是萬聖節
[00:00:24.320 --> 00:00:26.100]  也是我們基督教
[00:00:26.620 --> 00:00:30.980]  慶祝馬丁路德500週年改教的紀念
[00:00:30.980 --> 00:00:33.800]  那是在1517年
[00:00:33.800 --> 00:00:35.840]  10月31號
[00:00:35.840 --> 00:00:40.700]  馬丁路德在德國威登堡大學教堂門口
[00:00:40.700 --> 00:00:44.280]  就張貼了95條的論點
[00:00:44.280 --> 00:00:48.640]  從此就展開了宗教改革的運動
[00:00:48.640 --> 00:00:53.000]  當我們今天回頭來看這個宗教改革的運動
[00:00:53.500 --> 00:00:57.600]  與其說它是一個教會內部的一個改革
[00:00:57.600 --> 00:01:01.960]  不如說是馬丁路德跟當時的改教者
[00:01:01.960 --> 00:01:04.260]  他們對當時的世代
[00:01:04.260 --> 00:01:06.560]  有很深深的不滿
[00:01:06.560 --> 00:01:09.880]  而產生的一種反省的運動
[00:01:09.880 --> 00:01:13.220]  當時的世代是怎麼樣一個世代呢
[00:01:13.220 --> 00:01:16.540]  教會內部十分的腐敗
[00:01:16.540 --> 00:01:18.340]  他們不傳福音
[00:01:18.340 --> 00:01:20.380]  但卻賣贖罪券
[00:01:21.400 --> 00:01:23.960]  在社會上階級的不平等
[00:01:23.960 --> 00:01:25.500]  貧富不均
[00:01:25.500 --> 00:01:28.320]  而且黑死病在蔓延
[00:01:28.320 --> 00:01:32.420]  人們的心中充滿了苦讀怨恨
[00:01:32.420 --> 00:01:35.220]  已經到了一個爆發的程度
[00:01:35.220 --> 00:01:37.540]  就在那個時刻
[00:01:37.540 --> 00:01:41.120]  馬丁路德跟當時的改教者就提出了一個
[00:01:41.120 --> 00:01:43.940]  回歸真神的一個運動
[00:01:43.940 --> 00:01:49.300]  在這個運動當中他們特別提出了非常出名的
[00:01:49.300 --> 00:01:51.100]  五個唯獨
[00:01:51.860 --> 00:01:52.380]  唯獨
[00:01:52.380 --> 00:01:54.420]  第一個唯獨
[00:01:54.420 --> 00:01:56.480]  是唯獨聖經
[00:01:56.480 --> 00:01:59.800]  換句話說不是教會的傳統
