
[00:00:00.000 --> 00:00:03.440]  回到我們小小的世界裏面
[00:00:03.440 --> 00:00:05.120]  就是《路德記》
[00:00:05.120 --> 00:00:09.120]  將由1189個拼圖
[00:00:09.120 --> 00:00:11.800]  現在回到這四個拼圖
[00:00:11.800 --> 00:00:13.440]  這個都很值得記
[00:00:13.440 --> 00:00:15.280]  如果你要去明白《路德記》
[00:00:15.280 --> 00:00:20.200]  你要發覺《路德記》好像一個天國的舞台劇
[00:00:20.200 --> 00:00:23.320]  這個舞台劇其實有四幕
[00:00:23.320 --> 00:00:26.600]  而四幕又是一個三文治
[00:00:26.600 --> 00:00:28.600]  被兩樣東西所夾著的
[00:00:28.600 --> 00:00:31.120]  一個是導引篇
[00:00:31.120 --> 00:00:34.120]  上次兩個星期之前我們看了導引篇
[00:00:34.120 --> 00:00:37.000]  我們花了一個小時去看《五字聖經》
[00:00:37.000 --> 00:00:38.400]  很重要的
[00:00:38.400 --> 00:00:41.400]  而最後的終結篇也是很重要的
[00:00:41.400 --> 00:00:44.680]  中間這四幕我又不可以說它不重要
[00:00:44.680 --> 00:00:46.480]  但我想告訴你
[00:00:46.480 --> 00:00:49.080]  這四幕其實都是
[00:00:49.080 --> 00:00:50.080]  怎麼說呢
[00:00:50.080 --> 00:00:56.280]  是在導引篇和終結篇中間的一些發展
[00:00:56.280 --> 00:00:59.400]  所以今天我們可以看6至22節
[00:00:59.400 --> 00:01:00.400]  OK的
[00:01:00.400 --> 00:01:02.840]  但是導引篇我們不可能
[00:01:02.840 --> 00:01:06.760]  花這麼短的時間可以看這麼多節數的
[00:01:06.760 --> 00:01:07.440]  OK
[00:01:07.440 --> 00:01:11.360]  你要明白整本《路德記》
[00:01:11.360 --> 00:01:14.760]  你一定要明白導引篇所說的話
[00:01:14.760 --> 00:01:17.080]  導引篇一開始的時候
[00:01:17.080 --> 00:01:19.800]  是在史詩統治的時候
[00:01:19.800 --> 00:01:21.680]  有一個饑荒
[00:01:21.680 --> 00:01:22.280]  OK
[00:01:22.280 --> 00:01:25.360]  這兩樣東西其實是有關係的
[00:01:26.560 --> 00:01:30.040]  史詩統治的時候是什麼時候呢
[00:01:30.040 --> 00:01:33.120]  就不是兵荒馬亂的時候這麼簡單
[00:01:33.120 --> 00:01:37.200]  你一想起史詩統治的時候
[00:01:37.200 --> 00:01:40.760]  你應該馬上想起這幾樣東西
[00:01:40.760 --> 00:01:45.560]  就是那些人在做他眼中看為對的事
[00:01:45.560 --> 00:01:47.480]  而這些他所做的事
[00:01:47.480 --> 00:01:50.560]  在耶和華眼中是看為惡
[00:01:50.560 --> 00:01:53.280]  你必須要記得這件事
[00:01:53.280 --> 00:01:58.160]  所以《路德記》最後要解決的問題
[00:01:58.160 --> 00:02:00.440]  就不是你的生活的問題
[00:02:00.440 --> 00:02:02.160]  不是你有沒有老公的問題
[00:02:02.160 --> 00:02:04.600]  不是有沒有兒子的問題
[00:02:04.600 --> 00:02:08.720]  不是你空空還是滿滿的問題
[00:02:08.720 --> 00:02:11.920]  《路德記》最終要解決的問題是史詩記的問題
[00:02:11.920 --> 00:02:14.440]  史詩記的問題是罪的問題
[00:02:14.440 --> 00:02:17.760]  史詩記的問題是這些人在做他們眼中看為對
[00:02:17.760 --> 00:02:20.440]  耶和華眼中看為惡的事情
[00:02:20.440 --> 00:02:21.760]  如果你還記得
[00:02:21.760 --> 00:02:23.760]  史詩記呢
[00:02:23.760 --> 00:02:24.840]  所以我們這次真的很棒
[00:02:24.840 --> 00:02:26.920]  因為前幾個月我們剛剛讀過史詩記
[00:02:26.920 --> 00:02:27.880]  起碼有些人
[00:02:27.880 --> 00:02:31.080]  起碼我這次都比較熟一點
[00:02:31.080 --> 00:02:34.040]  史詩記分為三部
[00:02:34.040 --> 00:02:36.880]  概論、主體和結論
[00:02:36.880 --> 00:02:40.960]  而三部都是兩次不斷兩個重覆的
[00:02:40.960 --> 00:02:44.160]  兩個概論說到他們軍事上的失敗
[00:02:44.160 --> 00:02:45.440]  屬靈上的失敗
[00:02:45.440 --> 00:02:48.840]  兩個盤旋下降的
[00:02:48.840 --> 00:02:50.320]  說到他十二個史詩
[00:02:50.320 --> 00:02:51.440]  一個比一個差
[00:02:51.440 --> 00:02:53.520]  兩個盤旋下降
[00:02:53.520 --> 00:02:55.960]  一個循環
[00:02:55.960 --> 00:02:59.160]  最後兩個無王
[00:02:59.160 --> 00:03:02.360]  那些人在妄行他們自己使意的呼求
[00:03:02.360 --> 00:03:06.160]  我們以色列人中
[00:03:06.160 --> 00:03:08.560]  以色列國中沒有王
[00:03:08.560 --> 00:03:11.080]  於是他們在呼籲
[00:03:11.080 --> 00:03:14.840]  所以這個是《路德記》要面對
[00:03:14.840 --> 00:03:15.720]  要針對
[00:03:15.720 --> 00:03:19.280]  要求上帝解決的問題
[00:03:19.280 --> 00:03:22.880]  就不是你生活中的問題
[00:03:22.880 --> 00:03:25.000]  我想帶多一樣東西出來
[00:03:25.000 --> 00:03:27.840]  就是這個旱災
[00:03:27.840 --> 00:03:33.040]  其實也是反映了當時那些人的屬靈的生命
[00:03:33.040 --> 00:03:34.880]  而這個旱災
[00:03:34.880 --> 00:03:37.200]  其實我可以說是一個
[00:03:37.200 --> 00:03:40.880]  聖經上帝話語的旱災
[00:03:40.880 --> 00:03:42.760]  你們如果
[00:03:42.760 --> 00:03:47.840]  如果你沒有聽過我上次講史詩記
[00:03:47.840 --> 00:03:49.880]  你有興趣有時間
[00:03:49.880 --> 00:03:53.360]  你可以回到《True Kitchen》上去聽
[00:03:53.360 --> 00:03:56.000]  尤其是我們去到最終的結尾
[00:03:56.000 --> 00:03:59.360]  那五章聖經是很恐怖的
[00:03:59.360 --> 00:04:00.800]  恐怖在哪裡呢?
