
[00:00:00.000 --> 00:00:04.000]  我們盼望真的在過那個疫情可以
[00:00:04.000 --> 00:00:06.640]  受控以後 希望可以更多的
[00:00:06.640 --> 00:00:10.680]  在真的是一起見面吃飯
[00:00:10.680 --> 00:00:15.480]  所以你還好嗎 是我們最近常常去跟別人的
[00:00:15.480 --> 00:00:16.040]  問候
[00:00:16.040 --> 00:00:20.360]  但我今天很想跟各位來看一段的經文 其實一節
[00:00:20.360 --> 00:00:20.920]  經文
[00:00:20.920 --> 00:00:21.880]  這個是
[00:00:21.880 --> 00:00:26.640]  提到我們身體 心靈的健康
[00:00:26.640 --> 00:00:29.240]  所以剛才我們在禱告的時候 我們也
[00:00:30.960 --> 00:00:34.560]  讓我們知道 其實我們每一個人都有我們身心
[00:00:34.560 --> 00:00:35.320]  的需要
[00:00:35.320 --> 00:00:39.480]  但是原來我們在一個人的健康裡面
[00:00:39.480 --> 00:00:43.520]  來看的時候 不單只是我們有身心的需要
[00:00:43.520 --> 00:00:47.400]  其實我覺得我們還有一個叫靈的需要 所以有
[00:00:47.400 --> 00:00:49.680]  一個身心靈的健康
[00:00:49.680 --> 00:00:51.880]  更是我們需要關注的
[00:00:51.880 --> 00:00:55.920]  今天我要用的經文是在聖經當中的
[00:00:55.920 --> 00:00:56.960]  馬太福音
[00:00:58.000 --> 00:01:02.160]  馬太福音是一卷是在聖經當中的 也算是
[00:01:02.160 --> 00:01:05.120]  放在我們新約聖經裡面的 一開始就有
[00:01:05.120 --> 00:01:06.840]  這個是有一個很
[00:01:06.840 --> 00:01:11.480]  著名 或者說我們都叫做一個很重要的
[00:01:11.480 --> 00:01:12.920]  耶穌的講章
[00:01:12.920 --> 00:01:17.320]  叫做登山寶訓 因為他開始的時候在一個山上
[00:01:17.320 --> 00:01:19.360]  跟那個群人來
[00:01:19.360 --> 00:01:21.000]  教導他們
[00:01:21.000 --> 00:01:24.800]  所以我們這個從馬太福音的第五到第七章
[00:01:24.800 --> 00:01:26.920]  我們把它叫做登山寶訓
[00:01:27.200 --> 00:01:31.120]  在當中 其中一個很出名的我們叫做八福
[00:01:31.120 --> 00:01:33.920]  這個有一個叫八福
[00:01:33.920 --> 00:01:37.640]  這個從馬太福音的第五章第三節開始就有的
[00:01:37.640 --> 00:01:39.320]  這是第一福
[00:01:39.320 --> 00:01:43.600]  所以我邀請各位 這個可能對你來說不一定
[00:01:43.600 --> 00:01:47.200]  很熟悉 但我希望如果你有機會的話
[00:01:47.200 --> 00:01:50.320]  你可以回去慢慢看這個馬太福音第五章的
[00:01:50.320 --> 00:01:54.200]  這個八福 或者說整個第五到第七章的登山寶訓
[00:01:54.200 --> 00:01:56.360]  到底是在講什麼
[00:01:56.880 --> 00:01:59.000]  其實也不難讀 我告訴你
[00:01:59.000 --> 00:02:01.760]  你不要以為聖經是有時候很難明白
[00:02:01.760 --> 00:02:05.640]  其實你慢慢把那個登山寶訓多念幾遍的話
[00:02:05.640 --> 00:02:10.000]  大概你就能夠也掌握到當中很重要的一些
[00:02:10.000 --> 00:02:14.840]  也是很切身的一個我們的生活上的需要
[00:02:14.840 --> 00:02:17.760]  所以這個我用了三個翻譯版本
[00:02:17.760 --> 00:02:19.960]  一個是我們常常用的和和本
[00:02:19.960 --> 00:02:22.360]  另外一個就是和修版
[00:02:22.360 --> 00:02:25.400]  這個一個比較 我們叫做和和本的修訂版
[00:02:25.560 --> 00:02:28.600]  另外一個是叫現代中文譯本的聖經
[00:02:28.600 --> 00:02:34.200]  他們可以把這節的經文能夠讓我們可以了解更多
[00:02:34.200 --> 00:02:38.960]  所以我想邀請各位把這三節的經文都可以輪流讀一遍
[00:02:38.960 --> 00:02:40.520]  我們就把它讀完
[00:02:40.520 --> 00:02:45.480]  看你慢慢可以知道這節經文的更多的意思是怎麼樣
[00:02:45.480 --> 00:02:49.680]  可以看到我們一起來讀這三節同一節的經文
[00:02:49.680 --> 00:02:50.800]  不過不同的翻譯
[00:02:50.800 --> 00:02:52.120]  好 預備來
[00:02:52.120 --> 00:02:54.800]  虛心的人有福了
[00:02:55.160 --> 00:02:57.680]  因為天國是他們的
[00:02:57.680 --> 00:03:00.840]  心靈貧窮的人有福了
[00:03:00.840 --> 00:03:03.800]  因為天國是他們的
[00:03:03.800 --> 00:03:08.920]  承認自己靈性貧乏的人多麼有福啊
[00:03:08.920 --> 00:03:12.120]  他們是天國的子民
[00:03:12.120 --> 00:03:16.600]  我告訴各位這個在八福裡面
[00:03:16.600 --> 00:03:18.600]  雖然我們把它叫做八福
[00:03:18.600 --> 00:03:21.800]  它就是提到什麼人什麼人怎麼樣有福
[00:03:22.200 --> 00:03:27.520]  但是我想告訴各位八福其實那個重點
[00:03:27.520 --> 00:03:30.600]  不在我們要得什麼的福氣
[00:03:30.600 --> 00:03:33.800]  我要得什麼的福分在當中
[00:03:33.800 --> 00:03:36.120]  反而是我想各位留意
[00:03:36.120 --> 00:03:39.760]  就是說它是講到一個我們作為天國的子民
[00:03:39.760 --> 00:03:41.600]  我們作為上帝的兒女
[00:03:41.600 --> 00:03:44.920]  我們的生命應該是一個怎麼樣的生命
[00:03:44.920 --> 00:03:48.960]  就是講到生命的素質比那個福更重要
[00:03:48.960 --> 00:03:51.400]  我從一個問題開始
[00:03:51.840 --> 00:03:53.760]  我有一顆怎樣的心
[00:03:53.760 --> 00:03:57.120]  你還好嗎
[00:03:57.120 --> 00:03:59.040]  這個是我們剛才說的問號
[00:03:59.040 --> 00:04:00.920]  當然這個你還好嗎
[00:04:00.920 --> 00:04:03.120]  這個大概是很少知道你是怎麼樣
[00:04:03.120 --> 00:04:05.680]  你健康嗎
[00:04:05.680 --> 00:04:06.840]  大概是這樣子
[00:04:06.840 --> 00:04:10.040]  最近如果有人問候你說你在香港健康嗎
[00:04:10.040 --> 00:04:14.640]  特別是在你家鄉的父母朋友親戚
[00:04:14.640 --> 00:04:16.120]  他打電話問候你
[00:04:16.120 --> 00:04:17.440]  大概是很關心你
[00:04:17.440 --> 00:04:18.120]  還好嗎
[00:04:18.120 --> 00:04:20.440]  那個香港好像不太行
[00:04:21.720 --> 00:04:24.800]  我們那個大陸已經清零了
[00:04:24.800 --> 00:04:25.560]  還是歸零
[00:04:25.560 --> 00:04:29.440]  就香港好像還是有什麼源頭不明的
[00:04:29.440 --> 00:04:30.360]  那個越來越多
[00:04:30.360 --> 00:04:33.640]  這個所以就很關心你健康嗎
[00:04:33.640 --> 00:04:37.120]  所以我就說這個健康是怎麼樣的
[00:04:37.120 --> 00:04:42.360]  如果最近這幾年大概我們都多認識一個WHO
[00:04:42.360 --> 00:04:44.000]  那個世界衛生組織
[00:04:44.000 --> 00:04:49.280]  所以就大概就知道什麼叫健康
[00:04:49.640 --> 00:04:52.840]  當然我們比較多聽一點是聽什麼
[00:04:52.840 --> 00:04:54.280]  叫那個公共衛生
[00:04:54.280 --> 00:04:57.800]  然後還有什麼流行病學
[00:04:57.800 --> 00:04:59.560]  還有什麼傳染病
[00:04:59.560 --> 00:05:00.920]  這些都是我們常
[00:05:00.920 --> 00:05:04.480]  但是這個最重要的關鍵反而是就是說
[00:05:04.480 --> 00:05:06.600]  到底你健康嗎
[00:05:06.600 --> 00:05:08.680]  那個健康是怎麼呢
[00:05:08.680 --> 00:05:13.400]  如果你有興趣可以上網去找到那個健康的定義是什麼
[00:05:13.400 --> 00:05:14.960]  他是講到我們的身體
[00:05:14.960 --> 00:05:17.720]  我們的精神的心理
[00:05:18.440 --> 00:05:21.320]  然後我們的社群的關係那個狀態
[00:05:21.320 --> 00:05:24.320]  都是一個在和諧的一個狀態當中
[00:05:24.320 --> 00:05:25.400]  我們就是健康
[00:05:25.400 --> 00:05:28.800]  所以這個今天我們問候別人的健康
[00:05:28.800 --> 00:05:32.640]  大概就是關心他有沒有那個COVID-19
[00:05:32.640 --> 00:05:34.080]  在你身上還是怎麼樣
[00:05:34.080 --> 00:05:37.840]  還是你有沒有那個什麼時候可以
[00:05:37.840 --> 00:05:40.320]  那個狀態怎麼樣
[00:05:40.320 --> 00:05:42.360]  這個只是身體的健康
[00:05:42.360 --> 00:05:48.560]  我們都說其實今天那個那個新冠肺炎
[00:05:48.560 --> 00:05:51.400]  其實帶來的不只是身體健康的影響
[00:05:51.400 --> 00:05:52.400]  更多是什麼
[00:05:52.400 --> 00:05:54.840]  我們的精神心理狀態
[00:05:54.840 --> 00:05:57.800]  更多是其實跟那個社群關係有關係
[00:05:57.800 --> 00:05:59.280]  就是跟我們的經濟狀況
[00:05:59.280 --> 00:06:00.880]  這個大概是那個
[00:06:00.880 --> 00:06:05.240]  所以我們健康大概就是多看到不單只是我們身體
[00:06:05.240 --> 00:06:09.040]  但我很想從一個再多一個角度來看
[00:06:09.560 --> 00:06:13.240]  其實我們不單只是要看身體心理精神
[00:06:13.240 --> 00:06:15.440]  跟那個你跟人之間的關係
[00:06:15.440 --> 00:06:18.360]  更多的我想從一個信仰角度
[00:06:18.360 --> 00:06:21.080]  我們說這個是心靈的健康
[00:06:21.080 --> 00:06:23.200]  如果用英文來說
[00:06:23.200 --> 00:06:26.720]  WHO那個定義是講到
