
[00:00:00.000 --> 00:00:03.080]  很高興再一次和大家一起在主日
[00:00:03.080 --> 00:00:04.720]  每一次在這裏聚集的時候
[00:00:04.720 --> 00:00:07.120]  我們相信都不是突然的
[00:00:07.120 --> 00:00:09.680]  不要把它當成一個routine的聚會
[00:00:09.680 --> 00:00:11.560]  我們求主的靈與我們同在
[00:00:11.560 --> 00:00:13.400]  我們一起有一個禱告好嗎
[00:00:13.400 --> 00:00:15.160]  恩主是的我們來到你的面前
[00:00:15.160 --> 00:00:17.720]  主啊主啊我們將這一段時間
[00:00:17.720 --> 00:00:19.400]  主啊將這個場地
[00:00:19.400 --> 00:00:21.080]  將在這裏的每一個人
[00:00:21.080 --> 00:00:23.200]  每一顆心都分別爲聖
[00:00:23.200 --> 00:00:24.760]  仰望在你的面前
[00:00:24.760 --> 00:00:26.480]  主啊你是說話的神
[00:00:26.480 --> 00:00:29.600]  你在古時偶藉着衆仙之多方多次
[00:00:29.600 --> 00:00:31.000]  小遇我們的列祖
[00:00:31.000 --> 00:00:32.360]  你在這末後的時候
[00:00:32.360 --> 00:00:35.120]  再一次藉着你的兒子來小遇我們
[00:00:35.120 --> 00:00:37.600]  主啊讓臺上講的臺下聽的
[00:00:37.600 --> 00:00:39.440]  我們一同在你面前受教
[00:00:39.440 --> 00:00:41.360]  你越過僕人一切的軟弱
[00:00:41.360 --> 00:00:43.280]  親自對你的教會說話
[00:00:43.280 --> 00:00:45.840]  我們把以下時間恭敬仰望在你的手中
[00:00:45.840 --> 00:00:47.840]  奉耶穌基督的名禱告
[00:00:47.840 --> 00:00:51.480]  阿門
[00:00:51.480 --> 00:00:54.440]  我今天要跟大家分享真言
[00:00:54.440 --> 00:00:57.640]  雖然我讓大家幫助
[00:00:57.640 --> 00:00:59.560]  讀了第一章的第一節
[00:00:59.560 --> 00:01:01.360]  到一節至八節
[00:01:01.360 --> 00:01:03.320]  這是一段真言的引言
