
[00:00:00.000 --> 00:00:02.000]  鄧英千妹早晨
[00:00:02.000 --> 00:00:06.000]  今天來到去
[00:00:06.000 --> 00:00:08.000]  我想問一問大家
[00:00:08.000 --> 00:00:11.000]  上次在年尾說的那裡
[00:00:11.000 --> 00:00:14.000]  給了大家一個提示
[00:00:14.000 --> 00:00:17.000]  2013年1月4日
[00:00:17.000 --> 00:00:20.000]  國語的說法就是
[00:00:20.000 --> 00:00:22.000]  「愛你一生一世」
[00:00:22.000 --> 00:00:24.000]  我不知道有多少鄧英千妹
[00:00:24.000 --> 00:00:26.000]  你真的那天有些表示
[00:00:26.000 --> 00:00:27.000]  有些行動呢
[00:00:27.000 --> 00:00:29.000]  可不可以舉手給我看看
[00:00:29.000 --> 00:00:31.000]  都有的
[00:00:31.000 --> 00:00:33.000]  其他的沒有舉手
[00:00:33.000 --> 00:00:35.000]  可能今年整年都可以做
[00:00:35.000 --> 00:00:38.000]  因為「愛你一生一世」
[00:00:38.000 --> 00:00:40.000]  我們福敬
[00:00:40.000 --> 00:00:42.000]  接下來一季的
[00:00:42.000 --> 00:00:45.000]  刊物主題
[00:00:45.000 --> 00:00:47.000]  都是想大家分享這方面的
[00:00:47.000 --> 00:00:49.000]  一個訊息
[00:00:49.000 --> 00:00:52.000]  當然當日
[00:00:52.000 --> 00:00:54.000]  我回到教會辦公室
[00:00:54.000 --> 00:00:55.000]  工作的時候
[00:00:55.000 --> 00:00:57.000]  我都記得這件事
[00:00:57.000 --> 00:01:01.000]  所以我送了一個電郵給師母
[00:01:01.000 --> 00:01:03.000]  即是我太太
[00:01:03.000 --> 00:01:09.000]  不知道你有沒有興趣知道內容呢
[00:01:09.000 --> 00:01:13.000]  Josie 很興奮
[00:01:13.000 --> 00:01:16.000]  當然是可以公開的
[00:01:16.000 --> 00:01:18.000]  因為一句
[00:01:18.000 --> 00:01:20.000]  「愛你一生一世」
[00:01:20.000 --> 00:01:22.000]  「同心同行」
[00:01:22.000 --> 00:01:23.000]  「侍奉主」
[00:01:23.000 --> 00:01:24.000]  「服侍人」
[00:01:24.000 --> 00:01:26.000]  「一生無悔」
[00:01:26.000 --> 00:01:28.000]  就是這麼多
[00:01:28.000 --> 00:01:30.000]  真的這麼多
[00:01:30.000 --> 00:01:32.000]  你好像不太相信
[00:01:32.000 --> 00:01:34.000]  你問問師母
[00:01:34.000 --> 00:01:36.000]  師母很快又回應
[00:01:36.000 --> 00:01:38.000]  她又馬上電郵給我
[00:01:38.000 --> 00:01:43.000]  你又想不想知道她怎麼回應
[00:01:43.000 --> 00:01:47.000]  當然她的回應都比較特別
[00:01:47.000 --> 00:01:49.000]  沒有既定的答案
[00:01:49.000 --> 00:01:53.000]  她說沒有想到我會記得
[00:01:53.000 --> 00:01:57.000]  為什麼呢?因為最近她覺得我有少少老人癡呆
[00:01:57.000 --> 00:01:59.000]  經常都好像不記得一些事
[00:01:59.000 --> 00:02:04.000]  我真的要靠手機記下很多有時要做的事
[00:02:04.000 --> 00:02:09.000]  但我看見後來我又跟她說
[00:02:09.000 --> 00:02:11.000]  忘了忘不了
[00:02:11.000 --> 00:02:14.000]  如果有一天我老人癡呆的話
[00:02:14.000 --> 00:02:16.000]  我不記得所有事都好
[00:02:16.000 --> 00:02:22.000]  我不會忘記你
[00:02:22.000 --> 00:02:29.000]  好像很羨慕
[00:02:29.000 --> 00:02:33.000]  其實我們真的需要學習
[00:02:33.000 --> 00:02:39.000]  不單單是夫妻有這份恩愛和一種情
[00:02:39.000 --> 00:02:42.000]  其實我們人與人之間相處也是
[00:02:42.000 --> 00:02:44.000]  好像剛才這個例子
[00:02:44.000 --> 00:02:47.000]  如果兩夫妻
[00:02:47.000 --> 00:02:52.000]  為何你的回應會這樣
[00:02:52.000 --> 00:02:54.000]  你怕我不記得
[00:02:54.000 --> 00:02:56.000]  我當然記得
[00:02:56.000 --> 00:02:58.000]  你可能在吵架
[00:02:58.000 --> 00:03:01.000]  但反過來你用愛作出發點
[00:03:01.000 --> 00:03:04.000]  因為我試試站在她的立場想一想
[00:03:04.000 --> 00:03:07.000]  可能她的處境她的情況
[00:03:07.000 --> 00:03:09.000]  我需要去了解的時候
[00:03:09.000 --> 00:03:13.000]  其實很多問題因為神的愛
[00:03:13.000 --> 00:03:16.000]  我們可以去解決
[00:03:16.000 --> 00:03:18.000]  剛才吳牧師帶我們讀這段經文
[00:03:18.000 --> 00:03:22.000]  也是按照今年教會所定的經課
[00:03:22.000 --> 00:03:28.000]  我們是跟隨著Luke Benedict的時序
[00:03:28.000 --> 00:03:31.000]  上星期吳牧師跟我們分享了一個
[00:03:31.000 --> 00:03:33.000]  今年第一篇的講章
[00:03:33.000 --> 00:03:35.000]  很重要的愛神
[00:03:35.000 --> 00:03:38.000]  而今天我們緊接著這個訊息
[00:03:38.000 --> 00:03:39.000]  是講愛人
[00:03:39.000 --> 00:03:41.000]  我們再一次讀這段經文
[00:03:41.000 --> 00:03:45.000]  在約翰福音13章34到35節
[00:03:45.000 --> 00:03:48.000]  我賜給你們一條新命令
[00:03:48.000 --> 00:03:51.000]  乃是叫你們彼此相愛
[00:03:51.000 --> 00:03:53.000]  我怎樣愛你們
[00:03:53.000 --> 00:03:55.000]  你們也要怎樣相愛
[00:03:55.000 --> 00:03:58.000]  你們若有彼此相愛的心
[00:03:58.000 --> 00:04:00.000]  眾人因此就認出
[00:04:00.000 --> 00:04:03.000]  你們是我的門徒了
[00:04:03.000 --> 00:04:05.000]  這段經文你看看
[00:04:05.000 --> 00:04:09.000]  主耶穌是在他最後晚餐的時候
[00:04:09.000 --> 00:04:10.000]  對門徒所講的
[00:04:10.000 --> 00:04:13.000]  兩節聖經裡面出現最多的詞句
[00:04:13.000 --> 00:04:16.000]  都是在講彼此相愛
[00:04:16.000 --> 00:04:17.000]  但耶穌說
[00:04:17.000 --> 00:04:20.000]  這句好像是老生常談
[00:04:20.000 --> 00:04:22.000]  舊約也有提到
[00:04:22.000 --> 00:04:25.000]  但他提到這是新的命令
[00:04:25.000 --> 00:04:27.000]  為何為之新呢
[00:04:27.000 --> 00:04:30.000]  我們等一下會來一起思考
[00:04:30.000 --> 00:04:33.000]  我想跟大家看闊一點
[00:04:33.000 --> 00:04:36.000]  在這兩節聖經的背景
[00:04:36.000 --> 00:04:37.000]  你要了解
[00:04:37.000 --> 00:04:40.000]  就是由約翰福音13章到17章
[00:04:40.000 --> 00:04:44.000]  就是耶穌與門徒吃最後晚餐的餘節
[00:04:44.000 --> 00:04:45.000]  所發生的所有事
[00:04:45.000 --> 00:04:51.000]  在那裡是有很多耶穌的教導帶出來的
[00:04:51.000 --> 00:04:54.000]  主耶穌在13章一開始
[00:04:54.000 --> 00:04:57.000]  他是為門徒洗腳
[00:04:57.000 --> 00:05:01.000]  而且他預言他要被人出賣
[00:05:01.000 --> 00:05:06.000]  接著耶穌就講他臨終的一個遺訓
[00:05:06.000 --> 00:05:09.000]  當一個人死之前
[00:05:09.000 --> 00:05:13.000]  其實他跟大家說的話一定是很重要
[00:05:13.000 --> 00:05:15.000]  而且他不會留著那口氣
[00:05:15.000 --> 00:05:17.000]  說一些無謂的東西
[00:05:17.000 --> 00:05:20.000]  不會說哪家雲吞麵店好吃
[00:05:20.000 --> 00:05:24.000]  那時候他要與你最愛的人
[00:05:24.000 --> 00:05:25.000]  最親的人
