
[00:00:00.000 --> 00:00:03.000]  主的話就是靈
[00:00:03.000 --> 00:00:06.000]  也是能夠滋潤我們的生命
[00:00:06.000 --> 00:00:08.000]  我們有第三段經課
[00:00:08.000 --> 00:00:12.000]  是我今天和大家思想這個訊息的經課
[00:00:12.000 --> 00:00:15.000]  就是已忽所書第四章的第十七節
[00:00:15.000 --> 00:00:18.000]  至到五章的第二節
[00:00:18.000 --> 00:00:20.000]  如果有聖經方便的話
[00:00:20.000 --> 00:00:21.000]  請來到可以打開
[00:00:21.000 --> 00:00:26.000]  已忽所書第四章的第十七節
[00:00:26.000 --> 00:00:28.000]  至到五章的第二節
[00:00:28.000 --> 00:00:31.000]  我今天和大家思想的訊息
[00:00:31.000 --> 00:00:43.000]  是一種很有難忘的氣味的訊息
[00:00:43.000 --> 00:00:46.000]  在五章第二節那裡
[00:00:46.000 --> 00:00:50.000]  有兩個字是和香味有關的
[00:00:50.000 --> 00:00:51.000]  你找到嗎
[00:00:51.000 --> 00:00:55.000]  我請我的弟兄姊妹幫我們傳一傳
[00:00:55.000 --> 00:00:58.000]  一些有香味的薰衣草
[00:00:58.000 --> 00:01:04.000]  希望你每人都可以帶著一些香味
[00:01:04.000 --> 00:01:06.000]  離開這個地方
[00:01:06.000 --> 00:01:10.000]  你的生命也能夠帶著香味
[00:01:10.000 --> 00:01:12.000]  不夠薰
[00:01:12.000 --> 00:01:14.000]  其實你不用害怕
[00:01:14.000 --> 00:01:15.000]  我教你怎樣
[00:01:15.000 --> 00:01:17.000]  你只要撕了一粒
[00:01:17.000 --> 00:01:18.000]  然後搓搓它
[00:01:18.000 --> 00:01:25.000]  你的手就會香足一日
[00:01:25.000 --> 00:01:26.000]  聖經告訴我們
[00:01:26.000 --> 00:01:28.000]  我們要效法上帝
[00:01:28.000 --> 00:01:30.000]  好像蒙慈愛的兒女
[00:01:30.000 --> 00:01:33.000]  也要憑著愛心來行事
[00:01:33.000 --> 00:01:37.000]  好像耶穌基督
[00:01:37.000 --> 00:01:38.000]  耶穌基督愛我們
[00:01:38.000 --> 00:01:42.000]  為我們捨棄了自己
[00:01:42.000 --> 00:01:50.000]  當作輕香的公物和祭物獻於上帝
[00:01:50.000 --> 00:01:55.000]  我們的主耶穌是一位輕香的主
[00:01:55.000 --> 00:01:57.000]  我們作為侍奉祂的人
[00:01:57.000 --> 00:02:02.000]  也都應該成為一個輕香的人
[00:02:02.000 --> 00:02:04.000]  原來在舊約的時候
[00:02:04.000 --> 00:02:06.000]  上帝的百姓敬拜
[00:02:06.000 --> 00:02:12.000]  他們不單有聽覺上和視覺上的敬拜
[00:02:12.000 --> 00:02:14.000]  其實連他們的嗅覺
[00:02:14.000 --> 00:02:19.000]  他們都會有參與在敬拜當中
[00:02:19.000 --> 00:02:23.000]  因為他們聞到那種獨特的香
[00:02:23.000 --> 00:02:27.000]  是上帝吩咐祭司利美人
[00:02:27.000 --> 00:02:30.000]  特別調製的香
[00:02:30.000 --> 00:02:33.000]  而且還清楚地告訴他們
[00:02:33.000 --> 00:02:41.000]  這種香氣不能夠在他們私底下複製
[00:02:41.000 --> 00:02:46.000]  就是說這個香氣是專屬於上帝
[00:02:46.000 --> 00:02:48.000]  我想我們的生命
[00:02:48.000 --> 00:02:51.000]  會不會都是一個公物
[00:02:51.000 --> 00:02:53.000]  一個祭物
[00:02:53.000 --> 00:02:56.000]  是專屬於上帝的
[00:02:56.000 --> 00:02:58.000]  而我們這種生命
[00:02:58.000 --> 00:03:03.000]  也都要好像舊時的香一樣
[00:03:03.000 --> 00:03:05.000]  發出香氣
[00:03:05.000 --> 00:03:07.000]  也都如同主耶穌基督
[00:03:07.000 --> 00:03:12.000]  是承就了聖經裡面一切的預表
[00:03:12.000 --> 00:03:15.000]  是帶來真真正正的生命的功課
[00:03:15.000 --> 00:03:18.000]  和生命的實質
[00:03:18.000 --> 00:03:22.000]  祂獻上了這個輕香的祭物
[00:03:22.000 --> 00:03:25.000]  但願我們都能夠成為一個
[00:03:25.000 --> 00:03:29.000]  充滿著這個香氣的基督徒
[00:03:29.000 --> 00:03:32.000]  我不知道你最喜歡聞的味道
[00:03:32.000 --> 00:03:34.000]  是什麼味道
[00:03:34.000 --> 00:03:39.000]  姐妹們可能會喜歡某一種的香水
[00:03:39.000 --> 00:03:41.000]  喜歡吃東西的人
[00:03:41.000 --> 00:03:46.000]  可能會喜歡某一種的榴槤
[00:03:46.000 --> 00:03:48.000]  有些人聽見這個字
[00:03:48.000 --> 00:03:51.000]  就馬上掩著鼻子
[00:03:51.000 --> 00:03:53.000]  你掩著鼻子的話
[00:03:53.000 --> 00:03:56.000]  就想想另外一種你很喜歡聞的
[00:03:56.000 --> 00:03:59.000]  或者芒果
[00:03:59.000 --> 00:04:01.000]  很多種的味道
[00:04:01.000 --> 00:04:04.000]  在這個天賦創造的世界裡面
[00:04:04.000 --> 00:04:06.000]  有很多種的味道
[00:04:06.000 --> 00:04:09.000]  在它新創造的世界裡面
[00:04:09.000 --> 00:04:14.000]  都是充滿著那種香氣
[00:04:14.000 --> 00:04:18.000]  我的鼻子都感謝主
[00:04:18.000 --> 00:04:21.000]  都是頗靈敏的
[00:04:21.000 --> 00:04:24.000]  我都是很喜歡聞一些很好的味道
[00:04:24.000 --> 00:04:26.000]  上星期我在上海
[00:04:26.000 --> 00:04:28.000]  有人跟我說了一件事
[00:04:28.000 --> 00:04:30.000]  陳牧師你知不知道
[00:04:30.000 --> 00:04:31.000]  在美國加拿大
[00:04:31.000 --> 00:04:33.000]  那些人賣房子的時候
[00:04:33.000 --> 00:04:35.000]  他們總會做一件事
[00:04:35.000 --> 00:04:37.000]  我問他做什麼事
[00:04:37.000 --> 00:04:39.000]  他說當人來這裡看房子
[00:04:39.000 --> 00:04:42.000]  經紀一定會教你
[00:04:42.000 --> 00:04:47.000]  一定會煮一鍋好的咖啡
[00:04:47.000 --> 00:04:50.000]  當人們走進來看房子的時候
[00:04:50.000 --> 00:04:52.000]  這麼香的
[00:04:52.000 --> 00:04:56.000]  就會傻傻的買了那間房子
[00:04:56.000 --> 00:04:58.000]  這個小小奸詐
[00:04:58.000 --> 00:05:03.000]  不過是說香氣對人生有很重要的影響
[00:05:03.000 --> 00:05:07.000]  其實對人生更重要影響的香氣
[00:05:07.000 --> 00:05:10.000]  是我們生命的香氣
[00:05:10.000 --> 00:05:12.000]  所以很希望我們今天
[00:05:12.000 --> 00:05:14.000]  真的靠著主的恩典
[00:05:14.000 --> 00:05:16.000]  使我們能夠不斷地
[00:05:16.000 --> 00:05:20.000]  除掉生命中的臭氣
[00:05:20.000 --> 00:05:27.000]  不斷充滿生命裡面的那種香氣
