
[00:00:00.000 --> 00:00:03.880]  上一堂我們是在說家庭的角色
[00:00:03.880 --> 00:00:09.360]  我們繼續在題目上繼續說
[00:00:09.360 --> 00:00:11.480]  前幾排
[00:00:11.480 --> 00:00:17.000]  上幾堂我們說到人的成長
[00:00:17.000 --> 00:00:19.120]  又說到人的成長
[00:00:19.120 --> 00:00:22.120]  會給他一個很基礎的
[00:00:22.120 --> 00:00:25.000]  做一個最基本的基礎
[00:00:25.000 --> 00:00:27.800]  令到他屬靈的長進
[00:00:27.800 --> 00:00:29.800]  都可以發芽
[00:00:29.800 --> 00:00:33.200]  如果我們只是說屬靈的長進
[00:00:33.200 --> 00:00:36.200]  而不看他人性裏面的成長
[00:00:36.200 --> 00:00:38.200]  是凌空地看的
[00:00:38.200 --> 00:00:39.600]  是沒有可能的
[00:00:39.600 --> 00:00:41.400]  現在我們說到
[00:00:41.400 --> 00:00:43.200]  在這麼多的成長裏面
[00:00:43.200 --> 00:00:45.400]  家庭是做甚麼角色呢
[00:00:45.400 --> 00:00:48.000]  上一次我們說到
[00:00:48.000 --> 00:00:51.000]  他是做最基本的地方
[00:00:51.000 --> 00:00:59.800]  去塑造一個人的屬靈的長進
[00:00:59.800 --> 00:01:02.800]  另外他是一個家庭的教會
[00:01:02.800 --> 00:01:08.400]  即是說這個在家庭裏面的教會
[00:01:08.400 --> 00:01:11.800]  是這個小朋友或者所有的人
[00:01:11.800 --> 00:01:16.600]  他宗教的教育最起點的地方
[00:01:16.600 --> 00:01:19.800]  所以你有甚麼屬靈的意識
[00:01:19.800 --> 00:01:22.200]  神觀、世界觀
[00:01:22.200 --> 00:01:24.800]  全部都是在那個時候開始的
[00:01:24.800 --> 00:01:26.600]  另外我們說到
[00:01:26.600 --> 00:01:33.800]  這個家庭會做一個避難所的角色
[00:01:33.800 --> 00:01:37.400]  即是說如果我們善用這個家庭的話
[00:01:37.400 --> 00:01:39.400]  它將會是一個避難所
[00:01:39.400 --> 00:01:41.800]  將每一個成員在這個世界上
[00:01:41.800 --> 00:01:46.400]  或者他經過他一直這樣做工
[00:01:46.400 --> 00:01:50.000]  或者出去跟別人有交接的時候
[00:01:50.000 --> 00:01:52.600]  有相當的創傷
[00:01:52.600 --> 00:01:54.000]  可以在這裏做避難所
[00:01:54.000 --> 00:01:55.800]  得到治療的
[00:01:55.800 --> 00:02:00.000]  我們繼續說到第四個
[00:02:00.000 --> 00:02:05.600]  我們上次說到世界上的價值觀
[00:02:05.600 --> 00:02:07.600]  和神的觀念
[00:02:07.600 --> 00:02:10.000]  如果家庭是成為避難所
