
[00:00:00.000 --> 00:00:05.120]  歡迎大家參加這個新潮語職場第二講
[00:00:05.120 --> 00:00:07.940]  我好開心見到你們
[00:00:07.940 --> 00:00:09.460]  爲什麼呢
[00:00:09.460 --> 00:00:11.520]  你們是愛香港的一羣
[00:00:11.520 --> 00:00:17.140]  因爲到現在你年廿九還上班,還來聽呢
[00:00:17.140 --> 00:00:21.240]  還不去巴厘島呢
[00:00:21.240 --> 00:00:27.640]  你是相當愛香港的,你一定是留港建設經濟,留港建設教會那一類
[00:00:27.900 --> 00:00:30.980]  祝福大家
[00:00:30.980 --> 00:00:34.300]  我們這一講
[00:00:34.300 --> 00:00:35.320]  以
[00:00:35.320 --> 00:00:40.960]  將要過去的一個農曆年的新潮作爲話題
[00:00:40.960 --> 00:00:43.000]  下一講我們就會
[00:00:43.000 --> 00:00:46.080]  用文雞起舞來講
[00:00:46.080 --> 00:00:50.180]  我們中國人過年是過三次的,你知不知道
[00:00:50.180 --> 00:00:53.760]  第一,1月1號那次,新曆年
[00:00:53.760 --> 00:00:55.300]  第二
[00:00:55.300 --> 00:00:56.580]  就是年初一
[00:00:56.580 --> 00:00:57.600]  農曆年
[00:00:58.360 --> 00:01:00.160]  但是還沒過完
[00:01:00.160 --> 00:01:01.440]  還有呢
[00:01:01.440 --> 00:01:02.980]  就是立春
[00:01:02.980 --> 00:01:07.580]  今年的立春好像不知道是年初四還是怎樣
[00:01:07.580 --> 00:01:09.620]  所以過了年初四
[00:01:09.620 --> 00:01:12.180]  整個年三關
[00:01:12.180 --> 00:01:14.740]  才完全過完
[00:01:14.740 --> 00:01:16.540]  好了
[00:01:16.540 --> 00:01:19.360]  就是後年晚月在職場
[00:01:19.360 --> 00:01:22.180]  這個是一個很特別的名詞
[00:01:22.180 --> 00:01:23.200]  不過呢
[00:01:23.200 --> 00:01:25.500]  將要過去的後年
[00:01:25.500 --> 00:01:27.800]  是相當之動盪的
[00:01:28.060 --> 00:01:29.340]  真是猴子
[00:01:29.340 --> 00:01:31.140]  被我們看見
[00:01:31.140 --> 00:01:32.160]  無時停
[00:01:32.160 --> 00:01:33.440]  動來動去
[00:01:33.440 --> 00:01:35.980]  我覺得在
[00:01:35.980 --> 00:01:37.500]  我印象中
[00:01:37.500 --> 00:01:39.300]  去年整個世界
[00:01:39.300 --> 00:01:41.620]  真是很大變動
[00:01:41.620 --> 00:01:44.440]  我年尾特意
[00:01:44.440 --> 00:01:46.740]  蒐集很多張報紙
[00:01:46.740 --> 00:01:47.780]  報刊
[00:01:47.780 --> 00:01:49.540]  通常有那些
[00:01:49.540 --> 00:01:51.860]  今年十大新聞
[00:01:51.860 --> 00:01:54.160]  今年世界十大新聞
[00:01:54.160 --> 00:01:55.960]  娛樂十大新聞
[00:01:55.960 --> 00:01:57.760]  影談十大新聞
[00:01:58.020 --> 00:01:59.420]  等等
[00:01:59.420 --> 00:02:00.920]  綜合起來
[00:02:00.920 --> 00:02:02.980]  你會發現一個印象
[00:02:02.980 --> 00:02:06.040]  去年真是非常之
[00:02:06.040 --> 00:02:07.340]  大的變動
[00:02:07.340 --> 00:02:11.940]  我們說我們中國人社會以外的地區
[00:02:11.940 --> 00:02:15.520]  去年奧林匹克在南美的巴西
[00:02:15.520 --> 00:02:17.060]  本來很好
[00:02:17.060 --> 00:02:19.360]  突然之間有寨卡的病毒
[00:02:19.360 --> 00:02:20.660]  而且呢
[00:02:20.660 --> 00:02:23.740]  這個總統涉及醜聞
[00:02:23.740 --> 00:02:27.300]  就有政治的動盪
[00:02:27.560 --> 00:02:28.580]  還有
[00:02:28.580 --> 00:02:29.620]  就是
[00:02:29.620 --> 00:02:31.660]  在
[00:02:31.660 --> 00:02:33.700]  昨晚
[00:02:33.700 --> 00:02:36.780]  昨晚看新聞智利有一場
[00:02:36.780 --> 00:02:39.340]  相當大的
[00:02:39.340 --> 00:02:40.880]  一場火
[00:02:40.880 --> 00:02:44.460]  巴西又有一個煙火大爆炸
[00:02:44.460 --> 00:02:47.020]  你看電視
[00:02:47.020 --> 00:02:49.320]  那個影像很厲害
[00:02:49.320 --> 00:02:52.900]  那些火那些人那種動亂
[00:02:52.900 --> 00:02:54.180]  和你看報紙
[00:02:54.180 --> 00:02:55.720]  靜態很不同
[00:02:56.500 --> 00:02:58.300]  我今年本來
[00:02:58.300 --> 00:03:01.620]  要去土耳其或者說由去年到
[00:03:01.620 --> 00:03:02.640]  今年
[00:03:02.640 --> 00:03:05.200]  要去土耳其阿拉列山
[00:03:05.200 --> 00:03:07.000]  拍一個
[00:03:07.000 --> 00:03:08.780]  特輯
[00:03:08.780 --> 00:03:11.600]  就要去到4900米
[00:03:11.600 --> 00:03:13.400]  那個地方
[00:03:13.400 --> 00:03:15.440]  改了五次旗
[00:03:15.440 --> 00:03:17.480]  爲什麼改五次旗
[00:03:17.480 --> 00:03:20.560]  政府的登山證不批
[00:03:20.560 --> 00:03:22.360]  本來去年十月
[00:03:22.360 --> 00:03:25.160]  八月說十月去
[00:03:25.420 --> 00:03:28.740]  突然之間又有動亂
[00:03:28.740 --> 00:03:32.080]  改十一月又不知道是不是政變
[00:03:32.080 --> 00:03:34.640]  然後改一月又說
[00:03:34.640 --> 00:03:36.940]  歷來最大的風雪
[00:03:36.940 --> 00:03:38.480]  改三月
[00:03:38.480 --> 00:03:42.560]  又說都未得,俄國的大使被人行食
[00:03:42.560 --> 00:03:45.120]  現在暫時改到四月底
[00:03:45.120 --> 00:03:48.720]  我都不知道到時去不去到土耳其
[00:03:48.720 --> 00:03:50.240]  很多的變動
[00:03:50.240 --> 00:03:51.520]  中東
[00:03:51.520 --> 00:03:53.840]  敘利亞伊拉克地區
[00:03:53.840 --> 00:03:54.860]  有這個
[00:03:55.120 --> 00:03:56.660]  伊斯蘭國
[00:03:56.660 --> 00:03:59.220]  產生的難民潮
[00:03:59.220 --> 00:04:00.500]  導致歐洲
[00:04:00.500 --> 00:04:02.040]  從未見過
[00:04:02.040 --> 00:04:03.820]  歐洲是這麼動盪
[00:04:03.820 --> 00:04:07.920]  在第二次世界大戰以來
[00:04:07.920 --> 00:04:11.500]  你未見到那些難民在邊界裏面
[00:04:11.500 --> 00:04:12.520]  那種
[00:04:12.520 --> 00:04:13.800]  是踊躍
[00:04:13.800 --> 00:04:16.880]  或者無助的情況
[00:04:16.880 --> 00:04:18.680]  在敘利亞
[00:04:18.680 --> 00:04:19.440]  有
[00:04:19.440 --> 00:04:21.740]  一個古城叫阿勒普
[00:04:22.520 --> 00:04:25.340]  這個古城有千幾年的歷史
[00:04:25.340 --> 00:04:27.380]  是一個很繁華
[00:04:27.380 --> 00:04:29.440]  和很美麗的城市
[00:04:29.440 --> 00:04:30.460]  但是
[00:04:30.460 --> 00:04:31.740]  在這個
[00:04:31.740 --> 00:04:34.300]  戰爭內戰之後
[00:04:34.300 --> 00:04:37.120]  城裏面有一半的人口
[00:04:37.120 --> 00:04:38.400]  是不見了
[00:04:38.400 --> 00:04:39.680]  說的是
[00:04:39.680 --> 00:04:42.740]  這個城市是一個千萬人的城市
[00:04:42.740 --> 00:04:45.820]  有五百萬人就算你走出去
[00:04:45.820 --> 00:04:49.140]  都未必走那麼多,有相當多人
[00:04:49.140 --> 00:04:51.460]  在這個內戰當中死去
[00:04:52.220 --> 00:04:52.980]  歐洲
[00:04:52.980 --> 00:04:56.060]  德國、法國和一些其他國家
[00:04:56.060 --> 00:04:59.140]  相繼遇上這個恐襲
[00:04:59.140 --> 00:05:02.720]  其中聖誕節有人拿着一輛貨車
[00:05:02.720 --> 00:05:05.780]  直接衝入這個聖誕市場
[00:05:05.780 --> 00:05:07.320]  在影像上
[00:05:07.320 --> 00:05:09.880]  看到是相當之震撼
[00:05:09.880 --> 00:05:12.440]  在德國的火車裏面
[00:05:12.440 --> 00:05:13.720]  有隨意殺人
[00:05:13.720 --> 00:05:18.340]  令我們注意的其中一個在香港的旅客
