
[00:00:00.000 --> 00:00:03.160]  我們開始聽之前 低頭有一個禱告
[00:00:03.160 --> 00:00:08.000]  「新恩主 真是多謝祢今天讓我們可以一同去敬拜 服侍祢
[00:00:08.000 --> 00:00:09.600]  這是主祢賜給我們的恩典
[00:00:09.600 --> 00:00:12.840]  現在我們有聽主祢的話語的時間
[00:00:12.840 --> 00:00:15.200]  求父祢真的開我們的心
[00:00:15.200 --> 00:00:18.880]  讓我們願意去聆聽 並且實踐出來
[00:00:18.880 --> 00:00:22.640]  主祢 多謝祢 我們感恩禱告 逢主明求 阿門」
[00:00:22.640 --> 00:00:27.000]  今天我們會看文數記十六十七章的訊息
[00:00:27.000 --> 00:00:31.480]  講題是「站在死人與活人中間的祭司」
[00:00:31.480 --> 00:00:35.240]  文數記十六章是講可拉事件
[00:00:35.240 --> 00:00:38.680]  十七章是講到可拉事件之後
[00:00:38.680 --> 00:00:43.440]  上帝藉著亞倫的像 發芽開花
[00:00:43.440 --> 00:00:48.320]  證明了亞倫是上帝所揀選的祭司
[00:00:48.320 --> 00:00:53.000]  平息了可拉叛亂時 利斯蘭的怨氣
[00:00:53.000 --> 00:00:57.600]  所以整段經文其實是源於可拉的結黨叛亂
[00:00:57.600 --> 00:01:00.880]  所以今天我會主力和大家看第十六章
[00:01:00.880 --> 00:01:04.200]  第十六章可以說是聖經裡其中一段
[00:01:04.200 --> 00:01:06.480]  真是驚心動魄的經文
[00:01:06.480 --> 00:01:09.760]  就是關於可拉一黨 他們是叛變
[00:01:09.760 --> 00:01:13.680]  在神和人面前 他們是公然的叛亂
[00:01:13.680 --> 00:01:16.000]  如果有弟兄姊妹看過這段經文
[00:01:16.000 --> 00:01:18.280]  你會感受到神的憤怒
[00:01:18.280 --> 00:01:24.160]  並且神的管教和刑罰 都是前所未有的嚴厲
[00:01:24.160 --> 00:01:26.560]  文數記十六章其實都頗長的
[00:01:26.560 --> 00:01:28.880]  我都鼓勵大家翻開聖經
[00:01:28.880 --> 00:01:31.560]  又或者追一下我的PowerPoint
[00:01:31.560 --> 00:01:34.680]  文數記十六章其實是記錄了
[00:01:34.680 --> 00:01:38.600]  在曠野漂流的以色列人 他們兩次的叛逆
[00:01:38.600 --> 00:01:43.320]  第一次的叛逆就是文數記十六章一到四十節
[00:01:43.320 --> 00:01:49.000]  記錄了利美人可拉 流變之派的大丹亞比蘭
[00:01:49.000 --> 00:01:52.960]  聯同百姓裡面有二百五十個領袖
[00:01:52.960 --> 00:01:55.400]  都是有頭有臉的人
[00:01:55.400 --> 00:01:57.000]  他們就作亂
[00:01:57.000 --> 00:01:59.600]  然後十六章四十一到五十節
[00:01:59.600 --> 00:02:04.400]  記錄了百姓見到可拉一黨叛亂之後
[00:02:04.400 --> 00:02:07.760]  見到他們的下場是神嚴厲的審判
[00:02:07.760 --> 00:02:12.960]  但是他們第二天居然再次攻擊摩西和亞倫
[00:02:12.960 --> 00:02:16.440]  所以就換來瘟疫的惡果
[00:02:16.440 --> 00:02:20.160]  這段經文就是我們看到一群的以色列百姓
[00:02:20.160 --> 00:02:22.360]  他們是不斷的去反對
[00:02:22.360 --> 00:02:25.640]  神罰完他們 他們又再次去行惡
[00:02:25.640 --> 00:02:28.040]  是講極都不明白的一群人
[00:02:28.040 --> 00:02:29.320]  為什麼會這樣呢?
[00:02:29.320 --> 00:02:32.800]  可能就是因為在曠野的路途真的太辛苦
[00:02:32.800 --> 00:02:34.200]  他們過不了
[00:02:34.200 --> 00:02:37.280]  所以他們的期望和他們的期望不同
[00:02:37.280 --> 00:02:39.440]  所以兜兜轉轉進不了迦南
[00:02:39.440 --> 00:02:42.480]  他們就向神不斷地發怨言
[00:02:42.480 --> 00:02:46.720]  然而我們見到神是對於這群橫井叛逆的百姓
[00:02:46.720 --> 00:02:48.560]  有公義的審判
