
[00:00:00.000 --> 00:00:08.000]  不知大家覺不覺得香港人都頗注重養生
[00:00:08.000 --> 00:00:14.000]  不知是否有中國的思想養生
[00:00:14.000 --> 00:00:18.000]  我查查甚麼是養生
[00:00:18.000 --> 00:00:23.000]  原來是透過各種方法來養護生命
[00:00:23.000 --> 00:00:31.000]  達致預防疾病 保養健康 延年益壽 享受美好的生活
[00:00:31.000 --> 00:00:35.000]  於是坊間都有很多各種不同的方法
[00:00:35.000 --> 00:00:43.000]  來保養我們物質的生命
[00:00:43.000 --> 00:00:46.000]  有營養的食物 有適當的運動
[00:00:46.000 --> 00:00:50.000]  甚或一些補充劑的補充劑
[00:00:50.000 --> 00:00:55.000]  加上這幾年疫情 多了很多補充劑
[00:00:55.000 --> 00:01:03.000]  最近經常說可以幫助疫情的就是益生菌
[00:01:03.000 --> 00:01:05.000]  長度益生菌
[00:01:05.000 --> 00:01:10.000]  身體 物質的生命來養護
[00:01:10.000 --> 00:01:14.000]  還有心理 心理的養生
[00:01:14.000 --> 00:01:22.000]  就是內在的精神平衡 祥和 養心 養性
[00:01:22.000 --> 00:01:30.000]  近年都喜歡有粉彩 書法
[00:01:30.000 --> 00:01:32.000]  或者很多年了
[00:01:32.000 --> 00:01:35.000]  我想多少年的歷史我都不太知道
[00:01:35.000 --> 00:01:37.000]  太極那些
[00:01:37.000 --> 00:01:42.000]  然而一般人都忽略了靈性的生命
[00:01:42.000 --> 00:01:46.000]  甚至連基督徒都忽略了
[00:01:46.000 --> 00:01:50.000]  不是很重視靈性的護養
[00:01:50.000 --> 00:01:54.000]  令到我們跟神的關係 若即若離
[00:01:54.000 --> 00:01:57.000]  以致我們有時都會問
[00:01:57.000 --> 00:02:00.000]  究竟神的心意是怎樣的呢
[00:02:00.000 --> 00:02:04.000]  甚至我們變成一個只能夠飲奶
[00:02:04.000 --> 00:02:08.000]  不能夠吃乾糧的信徒
[00:02:08.000 --> 00:02:10.000]  很可惜
[00:02:10.000 --> 00:02:12.000]  我們又會知道
[00:02:12.000 --> 00:02:17.000]  其實身體 心靈 靈性這三方面
[00:02:17.000 --> 00:02:20.000]  其實是互相影響的
[00:02:20.000 --> 00:02:22.000]  當我們身體出現了問題
[00:02:22.000 --> 00:02:25.000]  我們喉嚨痛 流鼻水
[00:02:25.000 --> 00:02:27.000]  你立即很緊張
[00:02:27.000 --> 00:02:29.000]  我是不是中了呢
[00:02:29.000 --> 00:02:33.000]  於是乎你心裏面就有些擔心
[00:02:33.000 --> 00:02:37.000]  很焦慮
[00:02:37.000 --> 00:02:40.000]  打電話問人
[00:02:40.000 --> 00:02:42.000]  又反過來
[00:02:42.000 --> 00:02:45.000]  如我們有時
[00:02:45.000 --> 00:02:49.000]  胃痛 失眠
[00:02:49.000 --> 00:02:51.000]  我以為我真的失眠
[00:02:51.000 --> 00:02:54.000]  或者我睡覺質素不好
[00:02:54.000 --> 00:02:58.000]  原來是我心理出現了問題
[00:02:58.000 --> 00:03:03.000]  同樣身體都可以影響我們的靈性
[00:03:03.000 --> 00:03:09.000]  如果我患了一個不治的重症
[00:03:09.000 --> 00:03:14.000]  會不會動搖我對神的信心呢
[00:03:14.000 --> 00:03:16.000]  又反過來
[00:03:16.000 --> 00:03:17.000]  不是的
[00:03:17.000 --> 00:03:21.000]  我對上帝是堅定不移的相信
[00:03:21.000 --> 00:03:23.000]  那管是無名
[00:03:23.000 --> 00:03:25.000]  我們在團結的時候查經
[00:03:25.000 --> 00:03:26.000]  我們也試過
[00:03:26.000 --> 00:03:28.000]  就算有支槍指著我
[00:03:28.000 --> 00:03:30.000]  我都要堅定的相信耶穌的
[00:03:30.000 --> 00:03:35.000]  哇 真是不怕死
[00:03:35.000 --> 00:03:39.000]  我們會見到三個的生命是相互影響
[00:03:39.000 --> 00:03:41.000]  然而再說一次
[00:03:41.000 --> 00:03:45.000]  靈性的生命很容易被我們失掠
[00:03:45.000 --> 00:03:46.000]  四月底的時候
[00:03:46.000 --> 00:03:48.000]  我們恢復這個實體的崇拜
[00:03:48.000 --> 00:03:50.000]  大家見到彼此對方
[00:03:50.000 --> 00:03:52.000]  喂 你好嗎
[00:03:52.000 --> 00:03:54.000]  好久不見了
[00:03:54.000 --> 00:03:55.000]  你瘦了
[00:03:55.000 --> 00:03:56.000]  你胖了
[00:03:56.000 --> 00:03:59.000]  小朋友高了
[00:03:59.000 --> 00:04:01.000]  我們會不會問
[00:04:01.000 --> 00:04:04.000]  你最近靈修怎樣
[00:04:04.000 --> 00:04:09.000]  你最近的祈禱生活好不好
[00:04:09.000 --> 00:04:10.000]  我們很少說這樣
[00:04:10.000 --> 00:04:11.000]  會有的
[00:04:11.000 --> 00:04:13.000]  我不是全部沒有
[00:04:13.000 --> 00:04:16.000]  我肯定你們都會問
[00:04:16.000 --> 00:04:17.000]  對了
[00:04:17.000 --> 00:04:19.000]  原來有時候
[00:04:19.000 --> 00:04:23.000]  我們都忽略了我們的靈性生命
[00:04:23.000 --> 00:04:24.000]  還有很重要
[00:04:24.000 --> 00:04:25.000]  前兩樣
[00:04:25.000 --> 00:04:27.000]  我們身體的生命
[00:04:27.000 --> 00:04:29.000]  或者心理上
[00:04:29.000 --> 00:04:31.000]  都是短短幾十年的光景
[00:04:31.000 --> 00:04:34.000]  但是我們的靈性生命卻是永遠遠遠
[00:04:34.000 --> 00:04:36.000]  所以我希望大家知道
[00:04:36.000 --> 00:04:37.000]  比重在哪裡的時候
[00:04:37.000 --> 00:04:40.000]  其實我們應該重置和努力
[00:04:40.000 --> 00:04:43.000]  在靈性的生命裡面
[00:04:43.000 --> 00:04:46.000]  怎樣可以養護到我們屬靈的生命呢
[00:04:46.000 --> 00:04:49.000]  今天看《老家福音》十二章
[00:04:49.000 --> 00:04:51.000]  二十二至三十四節
[00:04:51.000 --> 00:04:53.000]  其實很熟悉
[00:04:53.000 --> 00:04:55.000]  剛才唱的那首歌
[00:04:55.000 --> 00:04:57.000]  是有不同的
[00:04:57.000 --> 00:04:58.000]  你剛才讀完之後
[00:04:58.000 --> 00:04:59.000]  是不是發覺
[00:04:59.000 --> 00:05:04.000]  剛才唱的那首詩歌《不要憂慮》
[00:05:04.000 --> 00:05:07.000]  詩歌的版本是《馬太福音》
[00:05:07.000 --> 00:05:09.000]  我們今天看的是《老家福音》
[00:05:09.000 --> 00:05:11.000]  是有不同的
[00:05:11.000 --> 00:05:13.000]  我們看看有什麼不同
[00:05:13.000 --> 00:05:16.000]  不過讓我們去看之前
[00:05:16.000 --> 00:05:18.000]  我們真的要祈禱
[00:05:18.000 --> 00:05:20.000]  祈禱的不是今天你在這裡聽到
[00:05:20.000 --> 00:05:22.000]  或者我今天在這裡說到
