
[00:00:00.000 --> 00:00:03.960]  在英文裏面有一個ING
[00:00:03.960 --> 00:00:06.200]  原來有很多用法
[00:00:06.200 --> 00:00:07.200]  我們查一查
[00:00:07.200 --> 00:00:09.040]  原來有這麼多種用法
[00:00:09.040 --> 00:00:10.720]  不過對我們來說
[00:00:10.720 --> 00:00:13.200]  最熟悉、最常用
[00:00:13.200 --> 00:00:15.400]  有什麼字會加ING呢?
[00:00:15.400 --> 00:00:18.520]  就是「現在進行式」
[00:00:18.520 --> 00:00:22.560]  加了ING就代表那件事正在發生
[00:00:22.560 --> 00:00:23.640]  正在進行
[00:00:23.640 --> 00:00:25.200]  例如
[00:00:25.200 --> 00:00:27.120]  「We are listening」
[00:00:27.120 --> 00:00:29.760]  就是「我們在聽的」
[00:00:29.760 --> 00:00:31.560]  「He is praying」
[00:00:31.560 --> 00:00:33.760]  「他正在祈禱」
[00:00:33.760 --> 00:00:35.960]  又或者我們現在打訊息
[00:00:35.960 --> 00:00:37.600]  譬如你在WhatsApp
[00:00:37.600 --> 00:00:40.720]  或者其他地方打訊息的時候
[00:00:40.720 --> 00:00:42.120]  已經很隨意了
[00:00:42.120 --> 00:00:45.120]  亦都可以有人會將ING
[00:00:45.120 --> 00:00:46.720]  加進去中文後面
[00:00:46.720 --> 00:00:49.400]  就代表那件事正在進行
[00:00:49.400 --> 00:00:50.200]  譬如
[00:00:50.200 --> 00:00:52.080]  「將要去面試了」
[00:00:52.080 --> 00:00:53.600]  「將要有重要時刻了」
[00:00:53.600 --> 00:00:54.280]  「很緊張了」
[00:00:54.280 --> 00:00:56.520]  「緊張ING」
[00:00:56.520 --> 00:00:57.560]  「緊張型」
[00:00:57.560 --> 00:00:59.280]  或者有人催你的時候
[00:00:59.280 --> 00:01:00.320]  「你走得了嗎?」
[00:01:00.320 --> 00:01:02.040]  「走緊了」
[00:01:02.040 --> 00:01:03.920]  「走」就加ING
[00:01:03.920 --> 00:01:05.680]  代表的意思就是
[00:01:05.680 --> 00:01:08.400]  「進行中就是這樣了」的時刻
[00:01:08.400 --> 00:01:10.280]  今天我預備的時候
[00:01:10.280 --> 00:01:12.560]  都在試玩一下
[00:01:12.560 --> 00:01:16.000]  就將題目加了ING
[00:01:16.000 --> 00:01:18.400]  就叫「活著ING」
[00:01:18.400 --> 00:01:20.680]  其實想一想
[00:01:20.680 --> 00:01:23.600]  「活著」這件事
[00:01:23.600 --> 00:01:25.280]  用在我們身上
[00:01:25.280 --> 00:01:27.760]  理論上都是「現在進行式」的
[00:01:27.760 --> 00:01:30.800]  是不是?
[00:01:30.800 --> 00:01:32.120]  我見到你
[00:01:32.120 --> 00:01:34.400]  我聽到你說話
[00:01:34.400 --> 00:01:35.600]  生勾勾凍在這裡
[00:01:35.600 --> 00:01:38.480]  喂 還不是活的?
[00:01:38.480 --> 00:01:39.840]  但是今天我們讀的
[00:01:39.840 --> 00:01:42.200]  《已忽所書》的經文
[00:01:42.200 --> 00:01:44.560]  作者保羅又真的對著一群
[00:01:44.560 --> 00:01:47.040]  生勾勾的人跟他們說
[00:01:47.040 --> 00:01:48.440]  「活」的相反
[00:01:48.440 --> 00:01:50.840]  就是「死」
[00:01:50.840 --> 00:01:51.480]  咦?
[00:01:51.480 --> 00:01:53.440]  說他們是曾經死了
[00:01:53.440 --> 00:01:54.640]  現在又活
